,hartford_male,hartford_female,tuple,financial_male,financial_female,svcs_male,svcs_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
39,2.675703,2.5463805,"('exploitative', 'cooperative')",1.0762093,1.1255791,1.7528936,1.5473101,1.1936774,1.0874937,0.3965987,0.33555275,1.4190165,1.3284633,0.0905532
26,2.034282,1.7678412,"('hardhearted', 'benevolent')",0.35851735,0.13358182,-0.56589484,-0.7101831,-0.27874374,-0.3977843,1.1164931,1.1576979,0.5329308,0.3902307,0.1427001
7,2.0129304,2.0886204,"('insensitive', 'sensitive')",1.2264414,1.3940952,0.69142056,0.66750914,1.0114751,1.0825694,1.012637,1.1048251,1.1909809,1.2675238,-0.0765429
71,1.9873275,1.9423636,"('diffident', 'self-confident')",1.7203561,1.5982066,-0.6535625,-0.7111637,-0.68014824,-0.8023611,0.24103631,0.22947189,0.5230019,0.4513035,0.0716984
74,1.9616485,1.9360319,"('undedicated', 'dedicated')",1.072923,1.0003378,1.4772011,1.2358464,0.96803874,0.788632,1.0475858,0.8401379,1.3054794,1.1601973,0.1452821
65,1.9614892,1.8192914,"('insecure', 'secure')",0.6996362,0.72851616,1.1359121,0.94532394,1.5189397,1.3495445,0.22943093,0.3740107,1.1090816,1.0433373,0.0657443
24,1.9282484,2.0752022,"('dishonest', 'honest')",0.79789793,0.9311744,0.35932213,0.39189816,0.687882,0.76371783,1.3223462,1.2437292,1.0191393,1.0811443,-0.062005
70,1.8600247,1.9907346,"('lethargic', 'energetic')",1.1048889,1.3778789,1.843708,1.8263423,1.9545057,1.952007,1.752368,1.8268174,1.7030991,1.7947561,-0.091657
31,-1.773486,-1.6654346,"('evil', 'good')",-1.8775836,-1.9887365,-1.610751,-1.4806883,-2.199666,-1.955276,-1.6491517,-1.6989887,-1.8221277,-1.7578247,-0.064303
10,1.765319,1.9291205,"('unsympathetic', 'sympathetic')",0.76067674,0.9104091,0.33168527,0.13645634,0.9208317,0.72380096,1.2474046,1.1316835,1.0051834,0.966294,0.0388894
40,1.7344892,1.8924077,"('stingy', 'generous')",0.800454,0.85209274,0.48703742,0.30183408,-0.09755275,-0.1293414,-0.7736523,-1.0397224,0.4301551,0.3754541,0.054701
42,1.6880864,1.6551932,"('unreliable', 'reliable')",1.1994226,1.3180553,1.1489526,1.256686,1.8647522,1.7880596,-1.3185021,-1.6395133,0.9165423,0.8756962,0.0408461
60,1.6316925,1.7986815,"('inefficient', 'efficient')",1.8655565,2.0779278,1.7860242,1.5107226,2.1991138,2.1657321,0.81095344,0.83532655,1.6586681,1.6776781,-0.01901
30,1.5573826,1.5974104,"('intolerant', 'tolerant')",1.2546202,1.3069865,1.3256533,1.1401528,1.0891262,1.0493546,0.98162293,0.96663487,1.2416811,1.2121078,0.0295733
43,1.5407735,1.5890054,"('irresponsible', 'responsible')",1.9107182,2.0647488,0.16660608,0.19371533,0.94061744,0.8844554,1.7594552,1.7146708,1.2636341,1.2893191,-0.025685
6,-1.5195116,-1.2364099,"('distant', 'open')",-1.5535088,-1.6190324,-1.8512976,-1.6491961,-1.5662597,-1.39847,-0.09225552,-0.095146365,-1.3165668,-1.199651,-0.1169158
23,1.4799768,1.4046352,"('insincere', 'sincere')",2.3099654,2.294693,0.91095114,0.70754117,0.843723,0.58545953,5.2085075,5.4214272,2.1506248,2.0827513,0.0678735
20,1.443385,1.5150807,"('rough', 'thoughtful')",0.1278201,0.1898823,0.3599442,0.3080656,0.2752236,0.21023639,0.7182803,0.7896893,0.5849307,0.6025908,-0.0176601
16,-1.4372762,-1.495479,"('unpopular', 'popular')",-1.0790765,-1.0889734,-1.1845806,-1.1075102,-0.90373224,-0.9450491,0.17353678,0.29800665,-0.8862257,-0.8678011,-0.0184246
12,1.4312339,1.4940429,"('unsupportive', 'supportive')",1.9541138,2.111916,-0.088758886,-0.03849992,-0.41030273,-0.3783171,-0.97683984,-1.1773245,0.3818893,0.4023635,-0.0204742
22,1.4222043,1.5239967,"('untrustworthy', 'trustworthy')",0.4148726,0.5248177,0.9769269,0.98022664,1.2959876,1.3734616,-0.4690704,-0.39247155,0.7281842,0.8020061,-0.0738219
51,1.3476765,1.0762731,"('uneducated', 'educated')",1.213457,1.1887047,0.8541117,0.60979146,0.8304098,0.5480653,1.2153708,0.93127453,1.0922051,0.8708219,0.2213832
32,1.3410208,1.2194858,"('unkind', 'kind')",1.1763257,1.1663129,0.85080624,0.66825765,1.705676,1.5011549,1.8294493,1.7829931,1.3806556,1.2676409,0.1130147
13,1.3404176,1.2949846,"('impolite', 'polite')",1.9363825,2.0296378,1.0232095,0.9753368,1.2496024,1.2247962,0.49100047,0.5461718,1.2081225,1.2141854,-0.0060629
21,1.2574519,1.3629508,"('immoral', 'moral')",2.0272367,2.1681874,1.8302786,1.675079,2.0104146,1.9877293,-0.21657075,-0.22568104,1.3817622,1.3936532,-0.011891
41,1.229021,1.2909927,"('unforgiving', 'forgiving')",1.3127661,1.2982384,0.116281055,0.22765583,0.22426759,0.36045706,-0.2921619,-0.24725397,0.5180347,0.586018,-0.0679833
72,1.2199397,1.1868981,"('unambitious', 'ambitious')",0.79006314,0.9780379,-0.7034102,-0.5835811,-0.49055684,-0.37896335,-0.5196001,-0.5379923,0.0592872,0.1328799,-0.0735927
83,1.2046589,1.0133926,"('powerless', 'powerful')",1.8663387,1.8507323,0.011987932,0.106685415,-0.075639635,-0.10116731,-0.56380856,-0.49364477,0.4887074,0.4751997,0.0135077
86,1.1546206,1.0073699,"('uninfluential', 'influential')",0.3767933,0.35421234,-0.41072363,-0.6499677,-0.3582551,-0.5629968,0.76473016,0.5047205,0.3054331,0.1306677,0.1747654
63,1.1423197,1.1034057,"('unperceptive', 'insightful')",2.1395943,2.1864219,0.72183204,0.7358545,1.0574963,0.87441254,1.8725989,1.8359715,1.3867682,1.3472132,0.039555
55,1.0626029,1.1587833,"('incompetent', 'clever')",0.3891191,0.5458872,1.0132443,0.8110723,0.5753898,0.4814154,0.97559196,0.83972293,0.8031897,0.7673762,0.0358135
80,1.045113,1.0654206,"('dominated', 'dominating')",0.27993363,0.42349085,1.6368041,1.5116773,1.2405853,1.2142329,-0.8730916,-0.99687284,0.6658689,0.6435898,0.0222791
14,1.0284722,0.97253215,"('antisocial', 'social')",2.110547,2.236941,0.8998366,0.8132447,1.2995812,1.3206656,-0.49777818,-0.46528167,0.9681318,0.9756205,-0.0074887
75,-1.0267566,-0.87265027,"('meek', 'impulsive')",-0.44640753,-0.26484442,0.2503171,0.5407271,-0.11881264,0.14141956,-0.6769845,-0.54784286,-0.4037289,-0.2006382,-0.2030907
