,manitowoc_male,manitowoc_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
55,-2.2246456,-2.2044904,"('incompetent', 'clever')",1.3050321,1.3824275,-0.018860936,0.1010554,-0.3128248,-0.2403359,-0.0724889
86,-2.147423,-2.0719976,"('uninfluential', 'influential')",-0.561537,-0.57109964,0.102896236,0.25769523,-0.8686879,-0.7951341,-0.0735538
28,-2.0541985,-2.154307,"('disloyal', 'loyal')",-0.85159415,-0.90570706,1.2814415,1.0704143,-0.5414504,-0.6631999,0.1217495
14,-1.8797325,-1.644895,"('antisocial', 'social')",1.1258006,1.3388262,-1.2064359,-0.84435505,-0.6534559,-0.3834746,-0.2699813
46,-1.7768614,-1.9150167,"('uncompetitive', 'competitive')",-0.08839765,-0.1719295,-0.85232985,-0.82279766,-0.905863,-0.9699146,0.0640516
10,-1.7606229,-1.6508106,"('unsympathetic', 'sympathetic')",-0.38060433,-0.40568107,-0.16859975,0.00553226,-0.7699424,-0.6836531,-0.0862893
77,-1.7289329,-1.9896531,"('unmotivated', 'motivated')",0.32553574,0.0663331,-0.39490458,-0.34767574,-0.5994339,-0.7569986,0.1575647
0,-1.646411,-1.6637734,"('unsociable', 'sociable')",0.26022318,0.4092282,-0.6516831,-0.62270623,-0.6792903,-0.6257505,-0.0535398
65,-1.5896082,-1.5872865,"('insecure', 'secure')",0.8435414,0.98879313,-0.4289376,-0.31092727,-0.3916682,-0.3031402,-0.088528
81,-1.581271,-1.5735424,"('submissive', 'aggressive')",0.58457696,0.4851391,-0.836105,-0.61993444,-0.610933,-0.5694459,-0.0414871
69,1.5737865,1.6407961,"('lazy', 'industrious')",1.1003865,1.0299,-0.51987654,-0.52147514,0.7180988,0.716407,0.0016918
58,-1.5483209,-1.4564947,"('undiscriminating', 'discriminating')",0.7456981,0.7680945,-0.13967368,-0.20322484,-0.3140988,-0.2972083,-0.0168905
23,-1.3884062,-1.5850184,"('insincere', 'sincere')",-0.11565663,-0.2157784,6.0733624,5.736877,1.5230999,1.3120267,0.2110732
59,1.3640478,1.3575481,"('foolish', 'wise')",-0.47629422,-0.2876681,0.7111736,0.5505845,0.5329757,0.5401549,-0.0071792
44,1.3608763,1.3207763,"('prejudiced', 'unprejudiced')",-0.3375672,-0.50756174,-1.4583317,-1.5129925,-0.1450075,-0.2332593,0.0882518
7,-1.3274393,-1.34619,"('insensitive', 'sensitive')",0.0112875495,0.04058285,0.88898265,0.894427,-0.1423897,-0.13706,-0.0053297
20,-1.280554,-1.2693832,"('rough', 'thoughtful')",0.71474403,0.7486851,0.8537284,0.83671266,0.0959728,0.1053382,-0.0093654
21,-1.2460331,-1.2852917,"('immoral', 'moral')",0.40537357,0.4523077,-0.7189328,-0.6918152,-0.5198641,-0.5082664,-0.0115977
