,northern_male,northern_female,tuple,trust_male,trust_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.327697,-2.564768,"('hostile', 'amicable')",-1.2974737,-1.6826414,-0.6678293,-1.0279942,-1.4310001,-1.7584678,0.3274677
77,-1.5127152,-1.6353816,"('unmotivated', 'motivated')",0.39177817,0.22256097,-1.3000743,-1.178167,-0.8070038,-0.8636626,0.0566588
16,-1.3706735,-1.2180451,"('unpopular', 'popular')",-1.3488762,-1.3402215,-0.22859174,-0.102896236,-0.9827138,-0.8870543,-0.0956595
6,-1.3170161,-1.7257589,"('distant', 'open')",-0.8633719,-0.97516334,-0.64737314,-0.8485624,-0.9425871,-1.1831616,0.2405745
12,1.2643952,1.5181968,"('unsupportive', 'supportive')",0.78736794,1.1465995,-1.8722194,-1.898894,0.0598479,0.2553008,-0.1954529
49,-1.2634089,-0.8581339,"('unable', 'able')",-0.2711901,-0.045900717,-0.25724572,-0.1149417,-0.5972816,-0.3396588,-0.2576228
5,-1.2528816,-1.5387208,"('distant', 'outgoing')",-0.91416615,-0.9036173,-0.84279245,-0.81594175,-1.0032801,-1.0860933,0.0828132
31,-1.2416036,-1.4728887,"('evil', 'good')",-1.2448003,-1.5575995,-1.2221217,-1.4072037,-1.2361752,-1.4792306,0.2430554
19,-1.2361962,-1.2457225,"('inhospitable', 'hospitable')",-1.3682464,-1.3224642,-0.7458528,-0.7654337,-1.1167652,-1.1112068,-0.0055584
35,-1.2039666,-1.1899987,"('corrupt', 'incorrupt')",-1.6751391,-1.9495257,-0.8834669,-0.9675842,-1.2541908,-1.3690362,0.1148454
4,-1.1277943,-0.7828552,"('disliked', 'liked')",-0.69146633,-0.46299836,-7.654699,-7.4172306,-3.1579863,-2.8876947,-0.2702916
69,-1.0772145,-1.3791196,"('lazy', 'industrious')",-0.1299761,-0.32942548,-1.2001648,-1.2502488,-0.8024518,-0.9862646,0.1838128
40,1.0216134,0.72786754,"('stingy', 'generous')",0.45132622,0.2517993,-1.9843096,-2.395763,-0.1704566,-0.472032,0.3015754
18,0.9923379,0.76548433,"('disagreeable', 'welcoming')",-0.29821762,-0.507407,-0.52206826,-0.75191814,0.0573507,-0.1646136,0.2219643
78,-0.97858953,-0.9849762,"('nonresilient', 'resilient')",0.7948036,0.83240986,0.030601874,0.108146206,-0.0510613,-0.0148067,-0.0362546
14,0.9734078,1.4836766,"('antisocial', 'social')",2.123617,2.4858105,-0.020389415,0.091373354,1.0255451,1.3536202,-0.3280751
