,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,male-female
26,3.0011978,3.0334914,"('hardhearted', 'benevolent')",1.0262944,1.0866164,2.013746,2.0600538,-0.0463078
50,-1.4238472,-1.3562957,"('clumsy', 'skillful')",0.29416963,0.22888073,-0.5648388,-0.5637075,-0.0011313
3,-1.405444,-1.4474058,"('repellent', 'pleasant')",0.4906081,0.45570073,-0.457418,-0.4958525,0.0384345
22,-1.3857445,-1.6225045,"('untrustworthy', 'trustworthy')",-0.68387073,-0.8761575,-1.0348076,-1.249331,0.2145234
45,-1.3147,-1.7285397,"('incompetent', 'competent')",0.03676185,-0.2095243,-0.6389691,-0.969032,0.3300629
42,-1.2798679,-1.3794972,"('unreliable', 'reliable')",-3.1630993,-3.4615932,-2.2214837,-2.4205451,0.1990614
54,-1.2122531,-1.1320069,"('incapable', 'capable')",1.0087649,0.9431393,-0.1017441,-0.0944338,-0.0073103
29,-1.2078841,-1.111815,"('unfair', 'fair')",-0.6401009,-0.7738577,-0.9239925,-0.9428363,0.0188438
77,-1.1609781,-1.3793608,"('unmotivated', 'motivated')",-0.9394932,-1.0553551,-1.0502356,-1.2173579,0.1671223
16,-1.1520187,-0.91035557,"('unpopular', 'popular')",0.24132898,0.36404908,-0.4553449,-0.2731532,-0.1821917
64,-1.1153306,-1.1384643,"('shy', 'confident')",-6.584702,-6.690019,-3.8500164,-3.9142418,0.0642254
9,0.9926613,1.0768479,"('unaffectionate', 'caring')",1.4940588,1.5690215,1.24336,1.3229346,-0.0795746
72,0.98360735,0.78686684,"('unambitious', 'ambitious')",-0.28730896,-0.37390167,0.3481492,0.2064826,0.1416666
82,-0.94278246,-1.0699712,"('poor', 'rich')",5.9432025,5.8178077,2.50021,2.3739183,0.1262917
70,-0.9402868,-1.2462437,"('lethargic', 'energetic')",0.8366476,0.6319137,-0.0518196,-0.307165,0.2553454
56,0.8953221,0.520623,"('impractical', 'practical')",0.44389772,0.2379748,0.6696099,0.3792989,0.290311
10,-0.8333463,-1.2855885,"('unsympathetic', 'sympathetic')",0.10650495,-0.040022165,-0.3634207,-0.6628053,0.2993846
76,-0.8319416,-1.1523879,"('anxious', 'daring')",0.73497283,0.6305896,-0.0484844,-0.2608991,0.2124147
33,0.8318186,1.0599608,"('wrong', 'right')",-0.16823085,-0.10666971,0.3317939,0.4766456,-0.1448517
51,-0.8078442,-0.8728384,"('uneducated', 'educated')",1.0044148,0.8980667,0.0982853,0.0126142,0.0856711
81,-0.79328746,-1.1441524,"('submissive', 'aggressive')",-0.15625279,-0.2764377,-0.4747701,-0.7102951,0.235525
44,-0.7863002,-0.8486742,"('prejudiced', 'unprejudiced')",-0.9122053,-0.90393144,-0.8492527,-0.8763028,0.0270501
19,-0.7825348,-0.398667,"('inhospitable', 'hospitable')",-0.3430462,-0.24111684,-0.5627905,-0.3198919,-0.2428986
46,-0.7588872,-1.2781726,"('uncompetitive', 'competitive')",-0.13092071,-0.23421788,-0.4449039,-0.7561952,0.3112913
18,-0.727507,-0.47577336,"('disagreeable', 'welcoming')",-0.36115378,-0.26983923,-0.5443304,-0.3728063,-0.1715241
48,0.7186849,0.4040525,"('unintelligent', 'intelligent')",0.6756665,0.51289994,0.6971757,0.4584762,0.2386995
68,-0.71168494,-0.68449855,"('dependent', 'independent')",-0.07499931,-0.19709262,-0.3933421,-0.4407956,0.0474535
69,0.70598465,0.9927724,"('lazy', 'industrious')",-0.66012055,-0.54206926,0.0229321,0.2253516,-0.2024195
75,-0.7037619,-0.60120344,"('meek', 'impulsive')",-0.5893431,-0.54570323,-0.6465524,-0.5734533,-0.0730991
73,0.688222,0.97029734,"('helpless', 'self-reliant')",-4.2267785,-4.15593,-1.7692783,-1.5928164,-0.1764619
52,-0.6555538,-0.2072172,"('irrational', 'rational')",-0.65407133,-0.54140735,-0.6548126,-0.3743123,-0.2805003
27,0.64517146,0.64492947,"('hardhearted', 'softhearted')",0.8846603,0.77888197,0.7649159,0.7119057,0.0530102
71,0.62898576,0.6935414,"('diffident', 'self-confident')",0.92733425,0.7488162,0.77816,0.7211788,0.0569812
23,-0.6199978,-0.8657129,"('insincere', 'sincere')",7.217271,6.9519057,3.2986364,3.0430965,0.2555399
78,-0.6159298,-0.6300684,"('nonresilient', 'resilient')",0.55472445,0.27762985,-0.0306027,-0.1762193,0.1456166
86,0.6155977,0.20517473,"('uninfluential', 'influential')",-0.08499673,-0.23888561,0.2653005,-0.0168554,0.2821559
31,-0.61406267,-0.17327654,"('evil', 'good')",-1.8714883,-1.6777079,-1.2427754,-0.9254922,-0.3172832
25,0.6004093,0.70094526,"('egoistic', 'altruistic')",0.24801187,0.39230868,0.4242106,0.546627,-0.1224164
58,0.58026135,0.40777147,"('undiscriminating', 'discriminating')",-0.28888738,-0.31718194,0.145687,0.0452948,0.1003922
41,-0.5786143,-0.38411942,"('unforgiving', 'forgiving')",-0.16293897,-0.03661887,-0.3707766,-0.2103691,-0.1604075
88,0.5784765,0.45469582,"('low', 'eminent')",0.041548833,0.09035358,0.3100127,0.2725247,0.037488
15,0.5771517,0.75968903,"('boring', 'funny')",0.09521943,0.15512419,0.3361856,0.4574066,-0.121221
1,0.5753085,0.64501715,"('unfriendly', 'friendly')",1.1429949,1.105825,0.8591517,0.875421,-0.0162693
0,-0.5717259,-0.89926904,"('unsociable', 'sociable')",-0.056557015,-0.25039557,-0.3141415,-0.5748323,0.2606908
84,0.5692988,0.63339823,"('inferior', 'superior')",0.7454483,0.7967433,0.6573735,0.7150707,-0.0576972
63,-0.5581683,-0.8274994,"('unperceptive', 'insightful')",1.3958434,1.1537383,0.4188375,0.1631194,0.2557181
35,-0.5311764,-0.14784619,"('corrupt', 'incorrupt')",-0.8543825,-0.7152539,-0.6927794,-0.43155,-0.2612294
74,-0.5271419,-0.6436255,"('undedicated', 'dedicated')",-0.22597161,-0.31928566,-0.3765568,-0.4814556,0.1048988
34,0.5014596,0.45283157,"('mean', 'honorable')",6.0937934,5.9880376,3.2976265,3.2204347,0.0771918
62,0.47820583,0.03223759,"('incompetent', 'brilliant')",0.727487,0.5559511,0.6028464,0.2940944,0.308752
12,0.46432364,0.36425102,"('unsupportive', 'supportive')",-1.420189,-1.5101779,-0.4779327,-0.5729634,0.0950307
79,-0.456081,-0.27317733,"('wavering', 'unwavering')",0.15262008,0.17996116,-0.1517305,-0.0466081,-0.1051224
8,0.44790727,0.5960281,"('unaffectionate', 'affectionate')",0.5688634,0.58465767,0.5083853,0.5903429,-0.0819576
60,0.42586616,-0.09190072,"('inefficient', 'efficient')",0.7028722,0.4464804,0.5643692,0.1772898,0.3870794
66,-0.4112876,-0.28360564,"('inactive', 'active')",1.1959709,1.1114695,0.3923416,0.4139319,-0.0215903
20,-0.39703855,-0.6406717,"('rough', 'thoughtful')",0.7932508,0.7056784,0.1981061,0.0325034,0.1656027
