,ust_male,ust_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.1549351,-1.962656,"('distant', 'open')",-0.32985806,0.036756597,-1.2423966,-0.9629497,-0.2794469
36,-1.7955569,-2.1247354,"('hostile', 'amicable')",-0.06389023,-0.2364083,-0.9297236,-1.1805718,0.2508482
81,1.789851,1.6386801,"('submissive', 'aggressive')",-0.24219856,-0.44140482,0.7738262,0.5986376,0.1751886
5,-1.7875979,-1.7487366,"('distant', 'outgoing')",-0.60474104,-0.3275238,-1.1961695,-1.0381302,-0.1580393
8,-1.7183487,-1.7930465,"('unaffectionate', 'affectionate')",0.36864507,0.8168021,-0.6748518,-0.4881222,-0.1867296
66,-1.6283258,-1.5878509,"('inactive', 'active')",0.04682806,0.24552402,-0.7907489,-0.6711634,-0.1195855
60,1.5785149,1.9353806,"('inefficient', 'efficient')",0.50170845,0.52380157,1.0401117,1.2295911,-0.1894794
62,1.5559348,1.6135983,"('incompetent', 'brilliant')",0.94850206,0.95226264,1.2522185,1.2829305,-0.030712
31,-1.486734,-1.3461976,"('evil', 'good')",-1.2424886,-1.1267145,-1.3646114,-1.236456,-0.1281554
1,-1.3321393,-1.2763195,"('unfriendly', 'friendly')",1.5377333,1.8418416,0.102797,0.282761,-0.179964
53,-1.2404295,-1.4614383,"('uncreative', 'creative')",0.88379073,1.027123,-0.1783194,-0.2171577,0.0388383
56,1.1937591,1.058623,"('impractical', 'practical')",0.4508691,-0.016933307,0.8223141,0.5208448,0.3014693
86,-1.1497674,-1.0987269,"('uninfluential', 'influential')",-0.17751834,-0.23260495,-0.6636429,-0.6656659,0.002023
30,1.1400868,0.8759674,"('intolerant', 'tolerant')",1.8193548,1.3960342,1.4797208,1.1360009,0.3437199
21,1.1297778,1.0456995,"('immoral', 'moral')",-0.12455858,-0.50896853,0.5026096,0.2683655,0.2342441
76,1.1198388,1.1635439,"('anxious', 'daring')",0.36001888,0.16176464,0.7399288,0.6626543,0.0772745
35,-1.0550117,-1.2344767,"('corrupt', 'incorrupt')",-0.67140067,-0.6396315,-0.8632062,-0.9370541,0.0738479
9,-1.0546535,-1.0332255,"('unaffectionate', 'caring')",1.0010489,1.3183068,-0.0268023,0.1425406,-0.1693429
2,0.95507264,0.46866944,"('unlikable', 'likable')",0.77217793,0.5559769,0.8636253,0.5123232,0.3513021
39,0.95283973,1.1511173,"('exploitative', 'cooperative')",0.015415573,0.09435082,0.4841276,0.6227341,-0.1386065
19,-0.91931117,-1.0618833,"('inhospitable', 'hospitable')",-0.304521,-0.30376512,-0.6119161,-0.6828243,0.0709082
85,-0.8865167,-1.2696512,"('insignificant', 'prestigious')",0.464393,0.39479348,-0.2110619,-0.4374288,0.2263669
70,0.8634082,0.6024935,"('lethargic', 'energetic')",1.022646,0.7996586,0.9430271,0.701076,0.2419511
67,0.8240784,0.6805272,"('doubtful', 'determined')",-0.35782176,-0.47252622,0.2331283,0.1040005,0.1291278
79,-0.8171792,-1.1749926,"('wavering', 'unwavering')",-0.27767766,-0.3109772,-0.5474284,-0.7429849,0.1955565
87,0.81082374,0.67681193,"('unsuccessful', 'successful')",1.0078586,0.77907974,0.9093412,0.7279458,0.1813954
78,-0.80520934,-0.48385468,"('nonresilient', 'resilient')",-0.04873205,0.12069308,-0.4269707,-0.1815808,-0.2453899
58,-0.7831979,-0.7890584,"('undiscriminating', 'discriminating')",0.06479047,-0.12427793,-0.3592037,-0.4566682,0.0974645
65,0.76092964,0.93977207,"('insecure', 'secure')",-0.257491,-0.3541992,0.2517193,0.2927864,-0.0410671
51,0.7485001,0.4362057,"('uneducated', 'educated')",0.8046602,0.6030906,0.7765802,0.5196481,0.2569321
80,0.7345407,1.0205909,"('dominated', 'dominating')",-1.0569125,-1.1732776,-0.1611859,-0.0763434,-0.0848425
44,0.7285667,0.5194637,"('prejudiced', 'unprejudiced')",-1.3085839,-1.4428769,-0.2900086,-0.4617066,0.171698
88,0.7239752,-0.5697272,"('low', 'eminent')",1.0682368,0.35779876,0.896106,-0.1059642,1.0020702
57,-0.7167577,-0.83475566,"('unimaginative', 'imaginative')",-2.2414582,-2.7123072,-1.479108,-1.7735314,0.2944234
29,-0.7068778,-0.64848137,"('unfair', 'fair')",-0.73857886,-0.683742,-0.7227284,-0.6661117,-0.0566167
40,-0.6970545,-0.16778155,"('stingy', 'generous')",-1.8620865,-1.5624552,-1.2795706,-0.8651184,-0.4144522
52,-0.6968134,-0.8027617,"('irrational', 'rational')",0.16514668,0.19977283,-0.2658334,-0.3014944,0.035661
14,0.6742803,0.6040144,"('antisocial', 'social')",-0.10609113,-0.632204,0.2840946,-0.0140948,0.2981894
11,0.6456692,0.32934096,"('unhelpful', 'helpful')",2.2547681,2.1331646,1.4502187,1.2312528,0.2189659
18,-0.6416196,-0.6759137,"('disagreeable', 'welcoming')",-0.20893644,-0.26463386,-0.425278,-0.4702738,0.0449958
20,0.56326133,0.59798646,"('rough', 'thoughtful')",1.2927966,1.2976315,0.9280289,0.947809,-0.0197801
69,-0.54952484,-0.38305786,"('lazy', 'industrious')",-0.7557415,-0.6229676,-0.6526332,-0.5030127,-0.1496205
42,0.5364405,0.43464142,"('unreliable', 'reliable')",-2.8056774,-3.0700574,-1.1346185,-1.317708,0.1830895
25,-0.5065396,-0.5858182,"('egoistic', 'altruistic')",1.5601375,1.4716735,0.526799,0.4429277,0.0838713
32,0.49876234,0.25600764,"('unkind', 'kind')",1.150108,1.03239,0.8244352,0.6441988,0.1802364
68,-0.49434996,-0.46124235,"('dependent', 'independent')",-0.61842495,-0.5522642,-0.5563874,-0.5067533,-0.0496341
33,-0.47440302,-0.06413634,"('wrong', 'right')",-0.8997264,-0.61705375,-0.6870647,-0.340595,-0.3464697
3,0.46778774,0.4384923,"('repellent', 'pleasant')",0.4027604,0.20571879,0.4352741,0.3221055,0.1131686
27,-0.43609434,-0.16047882,"('hardhearted', 'softhearted')",1.005268,1.291308,0.2845868,0.5654146,-0.2808278
73,0.39472342,0.4069214,"('helpless', 'self-reliant')",-3.155267,-3.0771239,-1.3802718,-1.3351012,-0.0451706
28,-0.36428946,-0.19704705,"('disloyal', 'loyal')",1.0524585,1.1018044,0.3440845,0.4523787,-0.1082942
71,-0.35756832,-0.46599323,"('diffident', 'self-confident')",0.5095384,0.54485786,0.075985,0.0394323,0.0365527
61,0.3557508,0.4920813,"('illogical', 'logical')",0.43323338,0.30911806,0.3944921,0.4005997,-0.0061076
47,0.352833,0.3648932,"('stupid', 'smart')",5.1890173,5.7797728,2.770925,3.0723329,-0.3014079
16,-0.33409193,-0.48409593,"('unpopular', 'popular')",0.7154077,0.58280057,0.1906579,0.0493523,0.1413056
12,-0.3217665,-0.121786416,"('unsupportive', 'supportive')",-1.8575534,-1.809948,-1.0896599,-0.9658672,-0.1237927
10,0.3174096,0.43360683,"('unsympathetic', 'sympathetic')",-0.35753718,-0.38848364,-0.0200638,0.0225616,-0.0426254
38,-0.30653903,-0.19398859,"('untruthful', 'truthful')",0.055545524,0.11952081,-0.1254967,-0.0372339,-0.0882628
13,0.30594546,0.42780122,"('impolite', 'polite')",-0.24424794,-0.14329976,0.0308488,0.1422507,-0.1114019
75,-0.29816124,-0.6305441,"('meek', 'impulsive')",-0.5428933,-0.5122482,-0.4205273,-0.5713962,0.1508689
26,-0.27743775,-0.56193185,"('hardhearted', 'benevolent')",1.8857077,1.6246517,0.804135,0.5313599,0.2727751
45,0.27573466,0.3384194,"('incompetent', 'competent')",0.22399625,-0.118439674,0.2498655,0.1099899,0.1398756
82,0.27268428,-0.5010654,"('poor', 'rich')",6.485354,6.5109277,3.379019,3.0049312,0.3740878
83,-0.2712319,-0.2610381,"('powerless', 'powerful')",-0.638229,-0.77811444,-0.4547305,-0.5195763,0.0648458
4,-0.26978305,-0.30015275,"('disliked', 'liked')",-6.0447364,-6.5783224,-3.1572597,-3.4392376,0.2819779
23,0.25741813,0.053069044,"('insincere', 'sincere')",5.8266587,6.060311,3.0420384,3.05669,-0.0146516
