,ameren_male,ameren_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.0754104,-1.6942492,"('unfriendly', 'friendly')",0.6761773,0.89833874,-0.6996166,-0.3979552,-0.3016614
53,-1.9139516,-1.834887,"('uncreative', 'creative')",-0.09070173,0.066386096,-1.0023267,-0.8842505,-0.1180762
8,-1.6680423,-1.327687,"('unaffectionate', 'affectionate')",-0.14252469,0.089248955,-0.9052835,-0.6192191,-0.2860644
9,-1.6479646,-1.4043214,"('unaffectionate', 'caring')",0.5778742,0.5510902,-0.5350452,-0.4266156,-0.1084296
86,-1.6275276,-1.5754832,"('uninfluential', 'influential')",-0.5605088,-0.5227099,-1.0940182,-1.0490966,-0.0449216
10,-1.409775,-1.563874,"('unsympathetic', 'sympathetic')",-0.38062695,-0.52444935,-0.895201,-1.0441617,0.1489607
46,-1.3368292,-1.3480177,"('uncompetitive', 'competitive')",-0.60079545,-0.68912655,-0.9688123,-1.0185721,0.0497598
57,-1.3278179,-1.4313502,"('unimaginative', 'imaginative')",-3.352407,-2.995984,-2.3401124,-2.2136672,-0.1264452
45,-1.2604456,-1.2717266,"('incompetent', 'competent')",-0.07697338,-0.20663999,-0.6687095,-0.7391833,0.0704738
19,-1.2109742,-1.1962318,"('inhospitable', 'hospitable')",-0.73827034,-0.64998436,-0.9746222,-0.9231081,-0.0515141
6,-1.1982645,-0.96080613,"('distant', 'open')",-1.0747831,-0.8858825,-1.1365237,-0.9233443,-0.2131794
24,-1.1219342,-0.87126577,"('dishonest', 'honest')",0.5912696,0.58979213,-0.2653323,-0.1407368,-0.1245955
66,-1.1214815,-0.89258385,"('inactive', 'active')",-0.30929652,-0.17089757,-0.715389,-0.5317407,-0.1836483
5,-1.1136392,-0.92513907,"('distant', 'outgoing')",-0.778241,-0.56777644,-0.9459401,-0.7464578,-0.1994823
77,-1.1050578,-1.0379641,"('unmotivated', 'motivated')",-0.8775745,-0.9947558,-0.9913162,-1.0163599,0.0250437
54,-1.062161,-1.0559072,"('incapable', 'capable')",0.38989106,0.36575925,-0.336135,-0.345074,0.008939
71,-0.9760119,-0.74151003,"('diffident', 'self-confident')",0.0267004,0.013938822,-0.4746557,-0.3637856,-0.1108701
58,-0.9430667,-0.90042967,"('undiscriminating', 'discriminating')",-0.052230507,0.12953907,-0.4976486,-0.3854453,-0.1122033
43,-0.9300351,-1.0467314,"('irresponsible', 'responsible')",0.36475956,0.22994629,-0.2826378,-0.4083925,0.1257547
70,-0.9195045,-1.008614,"('lethargic', 'energetic')",-0.06695102,-0.14058769,-0.4932278,-0.5746008,0.081373
73,0.89547014,1.040942,"('helpless', 'self-reliant')",-3.107492,-2.870673,-1.1060109,-0.9148655,-0.1911454
0,-0.888174,-0.9740854,"('unsociable', 'sociable')",-0.097502396,-0.16544265,-0.4928382,-0.569764,0.0769258
38,-0.8315462,-0.8139579,"('untruthful', 'truthful')",-0.15996122,-0.03820499,-0.4957537,-0.4260814,-0.0696723
23,-0.82822657,-0.9407641,"('insincere', 'sincere')",5.4904733,4.915229,2.3311234,1.9872323,0.3438911
79,-0.8277844,-0.85607064,"('wavering', 'unwavering')",-0.61252034,-0.6962731,-0.7201524,-0.7761719,0.0560195
83,-0.8275769,-0.7350823,"('powerless', 'powerful')",-1.1657915,-0.97275454,-0.9966842,-0.8539184,-0.1427658
26,-0.80056745,-0.44071323,"('hardhearted', 'benevolent')",1.0313509,1.2615381,0.1153917,0.4104125,-0.2950208
31,-0.7903882,-0.65814483,"('evil', 'good')",-1.1585423,-1.0095884,-0.9744653,-0.8338666,-0.1405987
22,-0.7732587,-0.8397131,"('untrustworthy', 'trustworthy')",-1.1606761,-1.3962843,-0.9669674,-1.1179987,0.1510313
61,-0.7697401,-0.7028965,"('illogical', 'logical')",0.46656764,0.3907435,-0.1515862,-0.1560765,0.0044903
12,-0.7376661,-0.776357,"('unsupportive', 'supportive')",-2.0223083,-1.9633303,-1.3799872,-1.3698436,-0.0101436
69,0.7348144,1.0466859,"('lazy', 'industrious')",-0.56945616,-0.3927895,0.0826791,0.3269482,-0.2442691
28,-0.73350704,-0.602211,"('disloyal', 'loyal')",0.59648836,0.59002906,-0.0685093,-0.006091,-0.0624183
88,-0.69528216,-0.29946834,"('low', 'eminent')",-0.51543564,-0.22906794,-0.6053589,-0.2642681,-0.3410908
74,-0.678576,-0.72473526,"('undedicated', 'dedicated')",-0.6873798,-0.5964715,-0.6829779,-0.6606034,-0.0223745
63,-0.6414132,-0.9444182,"('unperceptive', 'insightful')",0.5779985,0.30637947,-0.0317073,-0.3190194,0.2873121
32,-0.63053834,-0.707795,"('unkind', 'kind')",0.55165046,0.4348781,-0.0394439,-0.1364585,0.0970146
72,-0.55621123,-0.40733662,"('unambitious', 'ambitious')",-0.84141654,-0.76988226,-0.6988139,-0.5886095,-0.1102044
55,-0.54793,-0.6700549,"('incompetent', 'clever')",0.37841338,0.21541902,-0.0847583,-0.2273179,0.1425596
25,-0.53863513,-0.24289227,"('egoistic', 'altruistic')",0.5890193,0.8542848,0.0251921,0.3056963,-0.2805042
44,0.50118524,0.34108347,"('prejudiced', 'unprejudiced')",-1.4476225,-1.6369896,-0.4732186,-0.647953,0.1747344
2,0.48564425,0.68820095,"('unlikable', 'likable')",0.5099888,0.600663,0.4978165,0.6444319,-0.1466154
7,-0.48047173,-0.5827629,"('insensitive', 'sensitive')",0.20035277,0.067876585,-0.1400595,-0.2574432,0.1173837
36,-0.4734172,-0.18846844,"('hostile', 'amicable')",-0.82304096,-0.55288357,-0.6482291,-0.370676,-0.2775531
3,-0.45212257,-0.6655098,"('repellent', 'pleasant')",0.8475362,0.5883858,0.1977068,-0.038562,0.2362688
35,0.41473418,0.5465677,"('corrupt', 'incorrupt')",-0.9417574,-0.56398714,-0.2635116,-0.0087097,-0.2548019
56,-0.4112954,-0.5185454,"('impractical', 'practical')",-0.033550486,-0.06441423,-0.222423,-0.2914798,0.0690568
