,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.5578165,-2.4310427,"('uninfluential', 'influential')",-0.97404724,-1.0516819,-1.7659318,-1.7413623,-0.0245695
10,-2.1797814,-1.9538039,"('unsympathetic', 'sympathetic')",-0.5671422,-0.5074523,-1.3734618,-1.2306281,-0.1428337
1,-2.1679895,-2.1442432,"('unfriendly', 'friendly')",1.6580838,1.4059552,-0.2549528,-0.369144,0.1141912
9,-2.0011914,-1.955151,"('unaffectionate', 'caring')",1.3126956,1.1931987,-0.3442479,-0.3809761,0.0367282
69,1.8763044,1.5837576,"('lazy', 'industrious')",-0.010443859,-0.32964006,0.9329303,0.6270588,0.3058715
8,-1.8643633,-1.9340968,"('unaffectionate', 'affectionate')",1.024622,0.8295114,-0.4198707,-0.5522927,0.132422
0,-1.790746,-1.6746981,"('unsociable', 'sociable')",-0.34643555,-0.3521564,-1.0685908,-1.0134273,-0.0551635
12,-1.6373203,-1.557106,"('unsupportive', 'supportive')",-2.1631682,-2.2981002,-1.9002442,-1.9276031,0.0273589
44,1.6253378,1.5047004,"('prejudiced', 'unprejudiced')",-0.9357681,-0.958035,0.3447849,0.2733327,0.0714522
28,-1.5282453,-1.5584798,"('disloyal', 'loyal')",0.96229464,0.8827153,-0.2829753,-0.3378823,0.054907
53,-1.5059626,-1.486076,"('uncreative', 'creative')",0.6780725,0.50561935,-0.413945,-0.4902283,0.0762833
19,-1.4121853,-1.2126609,"('inhospitable', 'hospitable')",-0.7689067,-0.9027982,-1.090546,-1.0577295,-0.0328165
23,-1.4105593,-1.2513254,"('insincere', 'sincere')",5.3794713,5.7718015,1.9844561,2.2602382,-0.2757821
46,-1.3498579,-1.197225,"('uncompetitive', 'competitive')",-1.2562027,-1.1590335,-1.3030303,-1.1781292,-0.1249011
38,-1.3272451,-1.2686934,"('untruthful', 'truthful')",-0.5829939,-0.49684685,-0.9551195,-0.8827702,-0.0723493
41,-1.2740579,-1.2223274,"('unforgiving', 'forgiving')",-0.1887674,-0.37088794,-0.7314126,-0.7966076,0.065195
24,-1.2715813,-1.1327176,"('dishonest', 'honest')",0.30142254,0.46509692,-0.4850794,-0.3338103,-0.1512691
11,-1.2505779,-1.0433373,"('unhelpful', 'helpful')",1.419122,1.5646042,0.084272,0.2606334,-0.1763614
45,-1.24018,-0.9871406,"('incompetent', 'competent')",-0.343604,-0.3524968,-0.791892,-0.6698187,-0.1220733
58,-1.2346545,-1.2136364,"('undiscriminating', 'discriminating')",0.15296999,-0.11639645,-0.5408423,-0.6650164,0.1241741
63,-1.2059355,-1.0827338,"('unperceptive', 'insightful')",-0.008000277,0.028574988,-0.6069679,-0.5270794,-0.0798885
35,1.1612849,1.0332516,"('corrupt', 'incorrupt')",-0.35698387,-0.5650542,0.4021505,0.2340987,0.1680518
57,-1.1385766,-1.097305,"('unimaginative', 'imaginative')",-2.956109,-3.2000904,-2.0473428,-2.1486979,0.1013551
72,-1.04245,-0.98558486,"('unambitious', 'ambitious')",-0.70508254,-0.40180212,-0.8737662,-0.6936935,-0.1800727
43,-1.0092738,-0.90019614,"('irresponsible', 'responsible')",0.17417821,0.29938048,-0.4175478,-0.3004078,-0.11714
73,1.0082409,1.02526,"('helpless', 'self-reliant')",-2.9739664,-3.085547,-0.9828627,-1.0301435,0.0472808
32,-0.9716451,-0.82873416,"('unkind', 'kind')",0.33148748,0.4447083,-0.3200788,-0.1920129,-0.1280659
74,-0.9424722,-0.77928025,"('undedicated', 'dedicated')",-0.45034933,-0.5053088,-0.6964108,-0.6422945,-0.0541163
51,-0.9096269,-0.7116761,"('uneducated', 'educated')",-0.3613259,-0.29714546,-0.6354764,-0.5044108,-0.1310656
50,0.82271564,0.60620767,"('clumsy', 'skillful')",0.18076833,0.02461616,0.501742,0.3154119,0.1863301
