,host_male,host_female,tuple,hotels_male,hotels_female,&_male,&_female,resorts_male,resorts_female,inc_male,inc_female,average_male,average_female,male-female
5,-2.7431753,-3.0710475,"('distant', 'outgoing')",0.23246625,0.10034004,0.8606691,0.7365889,1.6809735,1.5443343,0.285724,0.31114057,0.0633315,-0.0757287,0.1390602
31,-2.647647,-2.9400911,"('evil', 'good')",-0.89275914,-0.96709865,0.050926164,-0.26153937,-0.008226626,-0.09112858,-0.8610985,-0.81551665,-0.8717609,-1.0150748,0.1433139
6,-2.4294772,-2.8340213,"('distant', 'open')",0.16553596,-0.007859465,0.872301,0.73539484,1.4305298,1.2616843,0.88015777,0.8289369,0.1838095,-0.0031729,0.1869824
39,2.2625923,2.4780693,"('exploitative', 'cooperative')",0.9086055,0.9808864,0.6875546,0.9667422,0.31871614,0.51193655,0.21431771,0.45789745,0.8783573,1.0791064,-0.2007491
13,2.0656354,2.30443,"('impolite', 'polite')",0.8024844,0.9148918,-0.018707953,0.19118214,0.13304487,0.26840824,-0.23798591,-0.2901172,0.5488942,0.677759,-0.1288648
4,-1.9564587,-2.1961567,"('disliked', 'liked')",0.115980044,0.102133095,0.48740712,0.26639494,0.73473096,0.71680784,-5.5169497,-5.788587,-1.227058,-1.3798816,0.1528236
36,-1.8916377,-2.355111,"('hostile', 'amicable')",-0.3921128,-0.6194199,0.51148784,0.056852475,1.0506395,0.8293789,0.52055246,0.47127908,-0.0402141,-0.323404,0.2831899
12,1.7671132,1.8652912,"('unsupportive', 'supportive')",1.2924027,1.3064978,0.57206076,0.5590539,1.2608293,1.2768896,-0.82820797,-1.1112542,0.8128396,0.7792956,0.033544
14,1.7635471,2.1809886,"('antisocial', 'social')",2.5222418,2.8127794,0.62228364,0.94205993,0.96251184,1.274771,-1.0833396,-0.9447577,0.957449,1.2531683,-0.2957193
80,1.7394413,1.9932426,"('dominated', 'dominating')",-0.49671525,-0.35496068,-0.5510912,-0.32343572,-1.0838412,-0.9361258,-1.5638498,-1.4877162,-0.3912112,-0.2217991,-0.1694121
