,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.4176824,-3.6722565,"('unsympathetic', 'sympathetic')",-0.10443569,-0.297944,-1.761059,-1.9851003,0.2240413
86,-2.6947396,-2.75253,"('uninfluential', 'influential')",-0.08241039,-0.33615464,-1.388575,-1.5443424,0.1557674
28,-2.5801134,-2.5474458,"('disloyal', 'loyal')",1.4513102,1.25498,-0.5644016,-0.6462329,0.0818313
24,-2.3510962,-2.3427753,"('dishonest', 'honest')",0.98201305,0.8940939,-0.6845416,-0.7243407,0.0397991
43,-2.196884,-2.2944725,"('irresponsible', 'responsible')",0.67749774,0.62080604,-0.7596931,-0.8368332,0.0771401
45,-2.1752615,-2.5028436,"('incompetent', 'competent')",0.31875095,0.0677781,-0.9282553,-1.2175328,0.2892775
13,-2.0801575,-2.1451983,"('impolite', 'polite')",-0.60131794,-0.43466637,-1.3407377,-1.2899324,-0.0508053
12,-2.0470512,-2.0036628,"('unsupportive', 'supportive')",-1.7602336,-1.8521674,-1.9036424,-1.9279151,0.0242727
23,-1.9686482,-1.8577733,"('insincere', 'sincere')",6.3902187,6.279685,2.2107854,2.2109559,-0.0001705
11,-1.9232342,-1.8238436,"('unhelpful', 'helpful')",2.1850803,2.2261162,0.130923,0.2011363,-0.0702133
0,-1.8092033,-1.994354,"('unsociable', 'sociable')",-0.21094811,-0.29162627,-1.0100757,-1.1429901,0.1329144
55,-1.729496,-2.0468903,"('incompetent', 'clever')",0.56450903,0.5032885,-0.5824935,-0.7718009,0.1893074
1,-1.7183914,-1.3926966,"('unfriendly', 'friendly')",1.4241886,1.2610906,-0.1471014,-0.065803,-0.0812984
70,-1.7119321,-1.8552164,"('lethargic', 'energetic')",0.3969886,0.20914382,-0.6574717,-0.8230363,0.1655646
30,-1.6902046,-1.6052119,"('intolerant', 'tolerant')",0.7087398,0.99474674,-0.4907324,-0.3052326,-0.1854998
81,-1.585374,-1.6568928,"('submissive', 'aggressive')",-0.32924363,-0.19516851,-0.9573088,-0.9260306,-0.0312782
46,-1.58234,-1.9581852,"('uncompetitive', 'competitive')",-0.60237765,-0.7212957,-1.0923588,-1.3397405,0.2473817
62,-1.5801908,-1.401037,"('incompetent', 'brilliant')",0.79698896,0.93481,-0.3916009,-0.2331135,-0.1584874
57,-1.5596039,-1.8369943,"('unimaginative', 'imaginative')",-3.0853913,-3.3880548,-2.3224976,-2.6125245,0.2900269
