,genzyme_male,genzyme_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.1901176,-3.317755,"('unsympathetic', 'sympathetic')",-0.4124286,-0.27676636,-1.8012731,-1.7972606,-0.0040125
45,-2.0653615,-2.191204,"('incompetent', 'competent')",-0.16954386,-0.25450054,-1.1174526,-1.2228523,0.1053997
69,1.9873723,2.3693001,"('lazy', 'industrious')",-1.1338462,-1.1360147,0.4267631,0.6166427,-0.1898796
13,-1.9125934,-1.9927906,"('impolite', 'polite')",-0.65937984,-0.6796354,-1.2859867,-1.336213,0.0502263
23,-1.8844335,-2.2554874,"('insincere', 'sincere')",6.923361,7.02906,2.5194635,2.3867862,0.1326773
57,-1.7126714,-1.9252332,"('unimaginative', 'imaginative')",-3.4343302,-3.6103506,-2.5735009,-2.767792,0.1942911
43,-1.7046113,-1.8336824,"('irresponsible', 'responsible')",0.3605781,0.21351686,-0.6720166,-0.8100828,0.1380662
3,-1.693968,-1.71963,"('repellent', 'pleasant')",0.9299291,1.0210648,-0.3820195,-0.3492826,-0.0327369
65,-1.6546354,-1.666632,"('insecure', 'secure')",-0.19663624,-0.29545704,-0.9256358,-0.9810445,0.0554087
72,-1.5970668,-1.6226388,"('unambitious', 'ambitious')",-0.24370825,-0.13769358,-0.9203875,-0.8801662,-0.0402213
7,-1.560531,-1.6734028,"('insensitive', 'sensitive')",0.7284637,0.8515145,-0.4160337,-0.4109441,-0.0050896
11,-1.5506672,-1.7133191,"('unhelpful', 'helpful')",2.1053798,1.9615294,0.2773563,0.1241052,0.1532511
24,-1.548533,-1.6126447,"('dishonest', 'honest')",0.95149827,1.0737414,-0.2985173,-0.2694516,-0.0290657
0,-1.5440608,-1.765898,"('unsociable', 'sociable')",-0.22714579,-0.4057333,-0.8856033,-1.0858157,0.2002124
46,-1.5182885,-1.5739473,"('uncompetitive', 'competitive')",-0.99394155,-1.0094539,-1.256115,-1.2917006,0.0355856
86,-1.4716347,-1.877682,"('uninfluential', 'influential')",-0.28695625,-0.36048836,-0.8792955,-1.1190852,0.2397897
14,-1.4262613,-1.3305542,"('antisocial', 'social')",-0.4475933,-0.6110297,-0.9369273,-0.9707919,0.0338646
70,-1.3819957,-1.364273,"('lethargic', 'energetic')",0.08955364,0.25691956,-0.646221,-0.5536767,-0.0925443
35,1.3067669,1.3661739,"('corrupt', 'incorrupt')",-0.48163608,-0.4245478,0.4125654,0.470813,-0.0582476
38,-1.2788025,-1.185928,"('untruthful', 'truthful')",0.19623238,0.30341592,-0.541285,-0.441256,-0.100029
28,-1.2611287,-1.4537288,"('disloyal', 'loyal')",1.3225586,1.2157059,0.030715,-0.1190115,0.1497265
21,-1.2561991,-1.443621,"('immoral', 'moral')",-0.7034959,-0.72923887,-0.9798476,-1.08643,0.1065824
5,1.2450378,1.0160271,"('distant', 'outgoing')",-0.21063775,-0.025164591,0.5172,0.4954312,0.0217688
55,-1.2121954,-1.2421567,"('incompetent', 'clever')",0.49953005,0.34339482,-0.3563327,-0.449381,0.0930483
76,-1.2044039,-1.0674359,"('anxious', 'daring')",-0.5114967,-0.5364759,-0.8579503,-0.8019559,-0.0559944
22,-1.1729878,-1.1075442,"('untrustworthy', 'trustworthy')",-0.8705355,-0.73493147,-1.0217617,-0.9212378,-0.1005239
85,1.1677613,0.87903327,"('insignificant', 'prestigious')",-0.21146461,-0.3068008,0.4781483,0.2861162,0.1920321
6,1.1397947,0.9162228,"('distant', 'open')",-0.18054675,0.041259535,0.479624,0.4787412,0.0008828
81,-1.0988497,-1.0588737,"('submissive', 'aggressive')",-1.0591904,-1.0994946,-1.07902,-1.0791841,0.0001641
