,bath_male,bath_female,tuple,&_male,&_female,body_male,body_female,works_male,works_female,inc_male,inc_female,average_male,average_female,male-female
71,2.1440413,1.7790568,"('diffident', 'self-confident')",0.22592491,0.29225957,2.0161555,1.8007932,-0.12783256,0.07223161,0.40008426,0.36660093,0.9316748,0.8621883,0.0694865
3,-1.7929901,-1.6312363,"('repellent', 'pleasant')",-0.51523304,-0.6185738,0.2413143,0.24001487,0.7462818,0.5216626,0.1703524,0.34943753,-0.2300549,-0.227739,-0.0023159
85,1.7842883,0.87409997,"('insignificant', 'prestigious')",0.42525944,0.12279992,1.710335,1.2742889,-0.89207625,-0.83387065,1.0795501,0.36333925,0.8214713,0.3601315,0.4613398
6,1.778054,1.4008839,"('distant', 'open')",0.19464481,0.22476041,0.79225373,0.51457953,-1.9490693,-1.682744,0.66168356,0.33318493,0.2955134,0.158133,0.1373804
8,1.6756557,1.2104616,"('unaffectionate', 'affectionate')",-0.8299993,-0.817976,0.13228786,-0.26600903,-1.5460516,-1.379774,0.9833317,0.71300155,0.0830449,-0.1080592,0.1911041
26,1.6681997,1.6143302,"('hardhearted', 'benevolent')",1.2374637,1.1804174,0.69376016,0.5038846,0.3275138,0.12645751,1.6362411,1.2286632,1.1126357,0.9307506,0.1818851
20,-1.6633772,-1.5387844,"('rough', 'thoughtful')",-0.30340666,-0.45140725,-0.17978902,-0.25382787,0.075377725,-0.2782229,1.0770082,0.8421934,-0.1988374,-0.3360098,0.1371724
9,1.658475,1.3621242,"('unaffectionate', 'caring')",-0.45377207,-0.42611867,0.76910233,0.56984705,-0.5270541,-0.33682972,1.3509154,1.324605,0.5595333,0.4987256,0.0608077
5,1.5722009,1.1414026,"('distant', 'outgoing')",0.13268131,0.2855904,1.1196266,1.0344156,-1.4736729,-1.1052723,0.2060978,0.020075664,0.3113867,0.2752424,0.0361443
73,1.47689,1.3821304,"('helpless', 'self-reliant')",1.3133783,1.1951687,2.5364058,2.2932885,0.053732336,0.20746022,-2.8617883,-2.773492,0.5037237,0.4609111,0.0428126
77,-1.4017296,-1.4396125,"('unmotivated', 'motivated')",-1.189845,-1.235689,-0.7831765,-0.8306316,0.06403867,-0.22169109,-1.2312667,-1.1109103,-0.9083958,-0.967707,0.0593112
10,-1.3355647,-0.7559765,"('unsympathetic', 'sympathetic')",-1.056596,-0.9638028,-1.1592487,-0.9945166,-0.0869575,-0.09497775,-0.6978366,-0.30013937,-0.8672407,-0.6218826,-0.2453581
81,-1.3285933,-0.6140071,"('submissive', 'aggressive')",-0.96518993,-0.76060665,-1.5456445,-1.2858739,0.42558452,0.3457633,-1.3484958,-0.95931095,-0.9524678,-0.6548071,-0.2976607
12,1.3184183,1.335976,"('unsupportive', 'supportive')",0.7936823,0.95881,1.5127043,1.6889713,0.4797284,0.83037555,-1.5514164,-1.2470579,0.5106234,0.713415,-0.2027916
63,-1.253023,-0.91665304,"('unperceptive', 'insightful')",0.67539763,1.0008522,-0.094706155,-0.017934572,0.5059313,0.75725204,1.0818952,1.4271331,0.183099,0.4501299,-0.2670309
15,1.2449967,1.1023281,"('boring', 'funny')",0.38590956,0.5340222,0.7308417,0.81783587,-0.95611763,-0.73417807,0.6019474,0.61826926,0.4015156,0.4676555,-0.0661399
1,1.2408407,1.0098932,"('unfriendly', 'friendly')",-0.2312654,-0.15048632,1.2092664,1.0026793,-0.1589207,-0.066467054,2.4364045,2.0035694,0.8992651,0.7598377,0.1394274
37,1.2029215,1.4165993,"('fake', 'genuine')",0.3761876,0.35129428,0.6164272,0.544435,0.2922805,0.3826607,0.6313552,0.8499757,0.6238344,0.708993,-0.0851586
56,1.1610631,1.5867562,"('impractical', 'practical')",-0.14790016,0.25708947,0.95784724,1.4307071,1.7476951,1.9468504,-0.7512908,-0.03615914,0.5934829,1.0370488,-0.4435659
29,1.1497109,1.0652136,"('unfair', 'fair')",0.35333252,0.46652204,0.44806558,0.5453016,-1.0174052,-0.9317774,-0.34854475,-0.4079569,0.1170318,0.1474606,-0.0304288
68,-1.1332127,-1.0780592,"('dependent', 'independent')",0.177611,0.110476665,-0.41279382,-0.48367235,-0.29210955,-0.5561645,0.028141703,-0.025008144,-0.3264727,-0.4064855,0.0800128
80,-1.1086419,-0.5315468,"('dominated', 'dominating')",-0.15447989,-0.006535083,-1.263198,-0.77305394,0.8243026,0.79027516,-1.5637864,-1.1694841,-0.6531607,-0.338069,-0.3150917
70,-1.0621185,-0.5381649,"('lethargic', 'energetic')",-0.14394206,0.0882514,-0.45913184,-0.1872049,-0.10449837,0.1966016,0.21778528,0.89749867,-0.3103811,0.0913964,-0.4017775
84,1.0477171,1.0142281,"('inferior', 'superior')",0.3563509,0.20573957,1.0679276,0.9556045,-0.110030904,-0.22506362,0.9550195,0.6867838,0.6633968,0.5274585,0.1359383
46,-1.0435226,-0.35272914,"('uncompetitive', 'competitive')",-0.19248454,-0.105430074,-1.6090627,-1.3292546,0.8182958,0.7293627,-1.0254743,-0.60271406,-0.6104497,-0.332153,-0.2782967
75,-1.0187607,-1.2239535,"('meek', 'impulsive')",-0.104913354,-0.07441579,0.34435716,0.44116762,-1.1936378,-0.7241614,-0.23156399,-0.27307963,-0.4409038,-0.3708885,-0.0700153
42,0.97218055,1.1162443,"('unreliable', 'reliable')",1.0124784,0.9408433,0.7596608,0.71577233,-0.53467774,-0.35299268,-2.9281168,-2.749925,-0.143695,-0.0660115,-0.0776835
2,0.9573015,0.88610685,"('unlikable', 'likable')",1.1337203,1.2324811,0.53543514,0.3578925,0.59328026,0.7634025,0.49199116,0.5389151,0.7423457,0.7557596,-0.0134139
25,0.95138526,0.6854856,"('egoistic', 'altruistic')",-0.36818796,-0.38320047,-0.12767535,-0.48159125,0.3701284,0.28825796,1.6370054,1.3437282,0.4925312,0.290536,0.2019952
22,-0.910097,-0.3921699,"('untrustworthy', 'trustworthy')",0.7462381,1.0794177,-0.533068,-0.17996034,-0.018654488,0.20437948,-1.1213138,-0.7158426,-0.367379,-0.0008351,-0.3665439
69,0.90751976,0.31322113,"('lazy', 'industrious')",1.3258815,1.0670485,1.4204996,1.3017457,0.04353401,0.10668403,-0.288159,-0.6582185,0.6818552,0.4260962,0.255759
82,-0.8554448,-0.7389089,"('poor', 'rich')",0.64064157,0.8104155,-1.3226658,-1.2750477,0.051832184,-0.018555421,5.97668,6.1130733,0.8982086,0.9781954,-0.0799868
39,0.84974676,0.886226,"('exploitative', 'cooperative')",0.016981184,0.12915106,0.042440996,0.16673154,-0.37146303,-0.46543264,0.01414603,0.061065532,0.1103704,0.1555483,-0.0451779
11,-0.83223134,-0.5171493,"('unhelpful', 'helpful')",-0.5587437,-0.26186585,0.08097418,0.34715348,0.5094858,0.7969658,1.734057,2.1920934,0.1867084,0.5114395,-0.3247311
32,0.82745373,0.9186737,"('unkind', 'kind')",0.52725196,0.51137674,0.0930499,0.1717932,0.486606,0.35703608,1.072387,1.1152682,0.6013497,0.6148296,-0.0134799
79,0.8122249,0.5349105,"('wavering', 'unwavering')",-0.13250312,0.106992565,1.2658167,1.2348471,-1.3866875,-0.92531896,0.0835993,-0.07411926,0.1284901,0.1754624,-0.0469723
88,-0.7957592,-0.8390366,"('low', 'eminent')",0.1831252,0.019794337,-0.028842948,-0.20182607,-0.09607239,-0.23462467,0.3582938,0.20105876,-0.0758511,-0.2109268,0.1350757
54,0.78110766,0.6517626,"('incapable', 'capable')",-0.7174268,-0.8348886,0.2795204,0.094669126,-1.3940111,-1.3767132,1.1774666,0.9216765,0.0253314,-0.1086987,0.1340301
51,-0.7230956,-0.421261,"('uneducated', 'educated')",0.91128683,0.98142934,-0.5548487,-0.563554,0.058111634,-0.15151787,0.5520664,0.78826463,0.0487041,0.1266722,-0.0779681
74,0.7228493,1.0174453,"('undedicated', 'dedicated')",1.0263621,1.2035675,0.90970135,0.9375213,0.5830039,0.66745675,0.14463177,0.26098585,0.6773097,0.8173953,-0.1400856
24,0.7040363,1.016123,"('dishonest', 'honest')",-0.11817209,0.042759668,-0.13653071,0.09325973,0.20956412,0.2967903,0.96818113,1.2639781,0.3254158,0.5425821,-0.2171663
87,0.69628304,0.82005006,"('unsuccessful', 'successful')",1.0422233,1.1703488,0.029798493,0.16565183,1.0027859,1.1969421,0.71123624,0.7098773,0.6964654,0.812574,-0.1161086
76,-0.6725502,-0.2944466,"('anxious', 'daring')",0.33596632,0.56361395,-1.1958992,-0.9438009,0.6396598,0.62969214,-0.35440725,0.0012662895,-0.2494461,-0.008735,-0.2407111
14,0.64905185,1.1032487,"('antisocial', 'social')",0.48786727,0.7076398,-0.5523796,-0.27224195,0.9247036,0.8735441,-1.2707462,-0.7418546,0.0476994,0.3340672,-0.2863678
