,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,male-female
55,-2.6581502,-2.7114494,"('incompetent', 'clever')",0.23849931,0.25581545,-0.40253404,-0.49000007,-1.1026875,-1.2439526,-0.9812181,-1.0473967,0.0661786
65,-2.5919056,-2.757156,"('insecure', 'secure')",0.19976647,0.28896606,-0.6588575,-0.723241,-1.2807919,-1.4056481,-1.0829471,-1.1492697,0.0663226
51,-2.1831586,-2.1791062,"('uneducated', 'educated')",-0.54374313,-0.4706654,0.4660004,0.5499541,-0.5270138,-0.46204787,-0.6969788,-0.6404663,-0.0565125
49,-1.980816,-1.9903752,"('unable', 'able')",-0.537894,-0.43142676,-0.08801545,0.2978496,-0.06494946,0.08877244,-0.6679188,-0.508795,-0.1591238
33,1.9649928,1.9960102,"('wrong', 'right')",0.49670953,0.34197184,0.86958313,0.64802665,0.31761974,0.20225982,0.9122263,0.7970671,0.1151592
50,-1.9287443,-2.1277204,"('clumsy', 'skillful')",0.47294968,0.38150948,0.006286856,-0.10858063,0.84952873,0.5955665,-0.1499947,-0.3148062,0.1648115
18,-1.8887715,-1.842216,"('disagreeable', 'welcoming')",-1.0302227,-0.9176856,0.15395929,0.29897076,-0.5207609,-0.5292394,-0.8214489,-0.7475426,-0.0739063
19,-1.8493794,-1.6725154,"('inhospitable', 'hospitable')",-1.5285828,-1.4600827,0.17933285,0.3556026,0.41460675,0.35315043,-0.6960056,-0.6059613,-0.0900443
22,-1.8297824,-1.9668736,"('untrustworthy', 'trustworthy')",0.5278845,0.49471834,0.24759705,0.15933678,-1.6861453,-1.5218624,-0.6851115,-0.7086703,0.0235588
68,-1.7673807,-1.8405972,"('dependent', 'independent')",0.6929716,0.788416,0.40276647,0.6129446,-0.72499025,-0.82196873,-0.3491582,-0.3153013,-0.0338569
76,-1.7484211,-1.6875881,"('anxious', 'daring')",0.61945325,0.8355631,-0.84038264,-0.552557,-0.9285689,-0.8871363,-0.7244798,-0.5729296,-0.1515502
26,1.6874198,1.6343851,"('hardhearted', 'benevolent')",0.8457079,0.7397609,1.6155615,1.4698414,1.1653109,1.218133,1.3285,1.2655301,0.0629699
44,-1.6042032,-1.647237,"('prejudiced', 'unprejudiced')",-0.39644566,-0.22798787,-0.7646106,-0.51210964,-1.3362294,-1.3578674,-1.0253723,-0.9363004,-0.0890719
17,-1.5385454,-1.4045285,"('nasty', 'nice')",-1.1862841,-0.88102543,-0.9443798,-0.7088379,-1.4440508,-1.4325484,-1.2783151,-1.1067351,-0.17158
85,1.5169638,1.6165701,"('insignificant', 'prestigious')",-1.1534998,-1.3952702,0.19080892,-0.015005002,1.101668,1.0104729,0.4139852,0.3041919,0.1097933
64,-1.3897069,-1.3677986,"('shy', 'confident')",0.35355836,0.39080718,-0.46212497,-0.45621312,-7.3194504,-7.121449,-2.2044311,-2.1386633,-0.0657678
45,-1.3624818,-1.5074636,"('incompetent', 'competent')",0.5347827,0.31727827,0.21271312,-0.32039678,-1.1558584,-1.4728566,-0.4427111,-0.7458597,0.3031486
3,-1.3600329,-1.4856911,"('repellent', 'pleasant')",0.080957994,0.15638581,-0.18826379,-0.23577069,1.1832632,1.0156091,-0.0710189,-0.1373667,0.0663478
31,-1.358951,-1.2232335,"('evil', 'good')",-2.5276432,-2.7499914,0.39989156,-0.054248102,0.32018936,0.13304938,-0.7916284,-0.9736059,0.1819775
82,-1.2872605,-1.3538593,"('poor', 'rich')",0.17950587,0.19644597,0.6292695,0.714624,7.3318195,7.1032763,1.7133336,1.6651217,0.0482119
15,-1.26015,-1.1945004,"('boring', 'funny')",-1.1572033,-1.1550261,0.3537294,0.19928472,0.074259534,0.030698322,-0.497341,-0.5298858,0.0325448
62,-1.254178,-1.275008,"('incompetent', 'brilliant')",0.29551113,0.38928977,-0.12777007,-0.023945406,-0.8450914,-0.9347647,-0.4828821,-0.4611071,-0.021775
88,-1.2433742,-1.3027446,"('low', 'eminent')",-1.4037491,-1.4459705,-0.15125772,-0.21053919,0.1117669,0.061473787,-0.6716536,-0.7244451,0.0527915
16,-1.2212579,-1.2379818,"('unpopular', 'popular')",-0.7811262,-0.8450845,-0.042534646,-0.26582515,1.3991693,1.2949991,-0.1614374,-0.263473,0.1020356
54,-1.2134979,-1.159315,"('incapable', 'capable')",-0.82042885,-0.7732977,-0.06649526,0.26083875,1.2375973,1.2948693,-0.2157061,-0.0942262,-0.1214799
70,-1.1857425,-1.3120223,"('lethargic', 'energetic')",0.6286134,0.72813666,0.14967719,0.21337135,0.31723076,0.14935333,-0.0225553,-0.0552903,0.032735
46,-1.1272494,-1.2393674,"('uncompetitive', 'competitive')",1.5416183,1.4935428,-0.5303061,-0.5387321,-1.5572467,-1.617447,-0.4182959,-0.4755009,0.057205
1,1.1199237,1.1915585,"('unfriendly', 'friendly')",-0.5172132,-0.7912374,0.801307,0.49485537,2.6582718,2.6152148,1.0155723,0.8775978,0.1379745
9,1.07376,1.0968611,"('unaffectionate', 'caring')",0.46641374,0.34593368,0.108139314,0.0153020695,1.758264,1.7557942,0.8516443,0.8034728,0.0481715
10,-1.0618137,-1.1706376,"('unsympathetic', 'sympathetic')",0.5591634,0.5905608,-1.2524192,-1.2178369,-0.88029754,-0.92075884,-0.6588417,-0.6796681,0.0208264
2,-1.0422785,-0.9635012,"('unlikable', 'likable')",0.76424176,0.82009244,0.7636303,0.79870516,0.08077879,0.07860883,0.1415931,0.1834763,-0.0418832
29,-1.0421218,-1.0162628,"('unfair', 'fair')",-0.44165805,-0.42821795,-0.22580206,-0.26155084,-0.7456665,-0.7459488,-0.6138121,-0.6129951,-0.000817
73,0.99383414,1.0808307,"('helpless', 'self-reliant')",0.60647446,0.6986822,1.5769197,1.5793891,-2.8774943,-3.0090907,0.0749335,0.0874528,-0.0125193
58,0.9892309,1.0468179,"('undiscriminating', 'discriminating')",1.3599975,1.2827944,0.21455602,0.018711342,-0.28174764,-0.3342529,0.5705092,0.5035177,0.0669915
35,-0.9691813,-0.8511438,"('corrupt', 'incorrupt')",-1.3540392,-1.3807964,0.0786006,0.04015267,0.11106091,0.13827376,-0.5333897,-0.5133785,-0.0200112
25,0.96338075,1.0478799,"('egoistic', 'altruistic')",-0.38369733,-0.5361708,0.93081003,0.79653114,1.3382022,1.3033546,0.7121739,0.6528987,0.0592752
80,-0.9327766,-1.1394001,"('dominated', 'dominating')",1.3713504,1.277328,-1.2796532,-1.2928755,-1.7238004,-1.743972,-0.64122,-0.7247299,0.0835099
75,-0.8982971,-0.8652948,"('meek', 'impulsive')",-0.46644345,-0.45018214,0.3558858,0.30553445,0.44268206,0.3060427,-0.1415431,-0.1759749,0.0344318
56,0.89272386,0.96055967,"('impractical', 'practical')",1.3490248,1.5299032,0.38040286,0.39565837,-1.2509465,-1.2854217,0.3428012,0.4001749,-0.0573737
71,0.8078459,0.98543197,"('diffident', 'self-confident')",0.59917045,0.5536011,0.74840313,0.6654047,1.14567,1.12202,0.8252723,0.8316144,-0.0063421
11,-0.7993342,-0.8934982,"('unhelpful', 'helpful')",1.195321,1.3329241,0.2134895,0.4281713,0.1563186,0.216303,0.1914487,0.2709751,-0.0795264
14,-0.7704754,-0.8105635,"('antisocial', 'social')",0.9568307,1.0784736,-0.94565237,-0.80473894,-1.5964304,-1.4761897,-0.5889319,-0.5032547,-0.0856772
30,-0.75564444,-0.6353949,"('intolerant', 'tolerant')",1.4083141,1.5864128,0.9699627,1.2100539,-0.36889204,-0.25639668,0.3134351,0.4761688,-0.1627337
83,-0.75327206,-0.59000105,"('powerless', 'powerful')",-0.36738688,-0.2764523,-0.9485235,-0.8842567,-0.92037934,-0.86481684,-0.7473904,-0.6538817,-0.0935087
5,0.73741484,0.9727511,"('distant', 'outgoing')",-0.8138147,-0.9704602,0.8974,1.0110166,0.80086136,0.92495364,0.4054654,0.4845653,-0.0790999
21,-0.72778624,-0.77525884,"('immoral', 'moral')",0.6056563,0.796756,-0.508076,-0.37134805,-1.0624179,-1.1502736,-0.423156,-0.3750311,-0.0481249
72,0.6547916,0.68204534,"('unambitious', 'ambitious')",0.4592032,0.55234146,-0.604746,-0.41505948,0.027990285,0.07101987,0.1343098,0.2225868,-0.088277
37,-0.609149,-0.6348517,"('fake', 'genuine')",0.4777137,0.5017558,-0.23683779,-0.19857168,0.3054175,0.087726444,-0.0157139,-0.0609853,0.0452714
20,-0.6069395,-0.6579342,"('rough', 'thoughtful')",0.24059473,0.26277882,0.7454322,0.72638625,0.44600868,0.25004327,0.206274,0.1453185,0.0609555
39,-0.59643453,-0.5642308,"('exploitative', 'cooperative')",-0.9347227,-0.71862745,0.38460883,0.68864286,-0.8666796,-0.7146527,-0.503307,-0.327217,-0.17609
0,-0.58596355,-0.67683727,"('unsociable', 'sociable')",0.4669124,0.33548805,-0.6961669,-0.8412459,-1.0416358,-0.9098044,-0.4642134,-0.5230999,0.0588865
60,-0.57776403,-0.5879288,"('inefficient', 'efficient')",1.976035,2.194698,-0.032487612,0.2512419,-1.4489679,-1.2467991,-0.0207961,0.152803,-0.1735991
36,-0.5769168,-0.43449223,"('hostile', 'amicable')",-2.3039212,-2.540473,0.43411523,0.15771824,1.2615204,1.3375238,-0.2963006,-0.3699308,0.0736302
28,0.56999654,0.60899556,"('disloyal', 'loyal')",-0.4402073,-0.3983569,-0.24575585,-0.16391635,0.5617701,0.58723664,0.1114509,0.1584897,-0.0470388
13,-0.5696087,-0.65703064,"('impolite', 'polite')",0.92348874,0.97516686,-0.42412323,-0.24233666,-0.81184083,-0.7428992,-0.220521,-0.1667749,-0.0537461
48,-0.5489698,-0.6627409,"('unintelligent', 'intelligent')",-0.15118468,-0.11753906,0.07985964,-0.006464511,-0.033062093,-0.20616882,-0.1633392,-0.2482283,0.0848891
59,-0.53194225,-0.4700544,"('foolish', 'wise')",-0.3151052,-0.33468565,0.7581734,0.86593705,1.0458944,1.0569288,0.2392551,0.2795314,-0.0402763
79,-0.5198876,-0.46667045,"('wavering', 'unwavering')",-1.6967533,-1.996151,-0.2835799,-0.5757846,0.51550615,0.40373272,-0.4961787,-0.6587183,0.1625396
34,-0.51943886,-0.54831386,"('mean', 'honorable')",-0.19655442,-0.063629076,1.5557113,1.7613965,5.4144096,5.355709,1.5635319,1.6262907,-0.0627588
78,0.5095535,0.31467032,"('nonresilient', 'resilient')",1.7049947,1.3057853,0.15338822,-0.06377251,-0.07576997,-0.18936521,0.5730416,0.3418295,0.2312121
6,0.49007,0.6798969,"('distant', 'open')",-1.4307711,-1.6224054,0.5660676,0.51579493,1.6479868,1.7282685,0.3183383,0.3253887,-0.0070504
66,-0.48789197,-0.38100356,"('inactive', 'active')",0.00788095,-0.089141466,0.114154994,0.09761394,1.3295999,1.3780122,0.240936,0.2513703,-0.0104343
42,-0.46911776,-0.47568002,"('unreliable', 'reliable')",1.5277603,1.5722197,0.94198316,1.0330222,-2.7325513,-2.8407242,-0.1829814,-0.1777906,-0.0051908
69,0.45046765,0.4284493,"('lazy', 'industrious')",0.43683857,0.30048114,1.5032976,1.3950795,-0.59279704,-0.74002,0.4494517,0.3459975,0.1034542
43,-0.44628853,-0.49683514,"('irresponsible', 'responsible')",1.7591503,1.7600819,0.1152038,0.10344361,-0.19369392,-0.2695465,0.3085929,0.274286,0.0343069
12,0.43531233,0.39854485,"('unsupportive', 'supportive')",1.3247542,1.3042141,0.33684012,0.27796185,-1.8773495,-1.9516952,0.0548893,0.0072564,0.0476329
84,0.42945093,0.38802594,"('inferior', 'superior')",0.4215568,0.492563,0.7845034,0.91240555,0.146916,0.13515237,0.4456068,0.4820367,-0.0364299
32,-0.41560084,-0.60421634,"('unkind', 'kind')",1.1666734,1.1566831,0.35562754,0.33115095,0.9943224,1.011021,0.5252557,0.4736597,0.051596
57,-0.33728048,-0.3302483,"('unimaginative', 'imaginative')",-0.05588817,-0.10153252,0.15888429,-0.045692414,-3.401881,-3.5137706,-0.9090413,-0.997811,0.0887697
40,0.33707267,0.33338562,"('stingy', 'generous')",-0.6479133,-0.7184447,0.42252886,0.16621608,-1.6215551,-1.9497182,-0.3774667,-0.5421403,0.1646736
