,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,male-female
26,3.0366611,2.8867369,"('hardhearted', 'benevolent')",1.9081671,1.7952574,2.1126046,1.972841,2.3524776,2.2182786,0.134199
21,-2.691248,-2.3895774,"('immoral', 'moral')",-1.1075861,-1.0014905,-1.3377512,-1.1501379,-1.7121951,-1.5137353,-0.1984598
69,2.6031144,2.296488,"('lazy', 'industrious')",1.9462385,1.9040642,0.084333256,-0.0562752,1.544562,1.3814255,0.1631365
76,-2.390194,-2.1241503,"('anxious', 'daring')",-1.2840241,-1.1584659,-0.3725244,-0.14705089,-1.3489141,-1.1432223,-0.2056918
85,2.3398979,2.2011323,"('insignificant', 'prestigious')",1.9534594,1.9180385,0.2664312,0.18836349,1.5199296,1.4358447,0.0840849
13,-2.2403002,-1.9809734,"('impolite', 'polite')",-0.9723693,-0.99057853,-0.96464384,-0.9334641,-1.3924378,-1.301672,-0.0907658
55,-2.2360318,-2.0528903,"('incompetent', 'clever')",-0.6340008,-0.5817607,-0.43237606,-0.35688132,-1.1008029,-0.9971774,-0.1036255
36,2.2049656,1.9223807,"('hostile', 'amicable')",-0.21418843,-0.32793522,0.25156018,0.27089113,0.7474457,0.6217789,0.1256668
60,-2.0729039,-1.7360789,"('inefficient', 'efficient')",-0.20974264,-0.086892575,-0.8640513,-0.61301416,-1.0488993,-0.8119952,-0.2369041
1,1.9219643,1.8040621,"('unfriendly', 'friendly')",1.8252925,1.5907811,2.0557218,1.8613951,1.9343262,1.7520793,0.1822469
40,1.8964974,1.9230001,"('stingy', 'generous')",1.3143517,1.2680571,-2.0092113,-2.0727386,0.4005459,0.3727729,0.027773
81,-1.8660067,-1.572338,"('submissive', 'aggressive')",-0.53067195,-0.42201722,-1.2566267,-1.1539422,-1.2177685,-1.0494324,-0.1683361
63,-1.856605,-1.723926,"('unperceptive', 'insightful')",0.052194305,-0.011639446,0.33804515,0.36346325,-0.4887885,-0.4573674,-0.0314211
65,-1.8139975,-1.6768141,"('insecure', 'secure')",-1.4135298,-1.4320445,-0.37882033,-0.20220177,-1.2021159,-1.1036868,-0.0984291
43,-1.7904868,-1.6593876,"('irresponsible', 'responsible')",-0.7325746,-0.6813411,-0.06798636,0.11111226,-0.8636825,-0.7432055,-0.120477
74,1.752739,1.7775604,"('undedicated', 'dedicated')",0.7545804,0.7193185,0.48841512,0.5105583,0.9985782,1.0024791,-0.0039009
70,-1.7191277,-1.6446415,"('lethargic', 'energetic')",-1.3000641,-1.326665,0.03270628,0.08306836,-0.9954952,-0.9627461,-0.0327491
46,-1.7151505,-1.6455959,"('uncompetitive', 'competitive')",-0.5405646,-0.58080065,-0.7644479,-0.8245278,-1.006721,-1.0169748,0.0102538
33,1.6252623,1.6424408,"('wrong', 'right')",1.24496,1.2697139,-0.10122275,-0.13473465,0.9229998,0.9258067,-0.0028069
62,-1.6250702,-1.3604369,"('incompetent', 'brilliant')",-0.35648766,-0.20002465,-0.80343926,-0.46991646,-0.9283323,-0.6767926,-0.2515397
6,1.6123083,1.549234,"('distant', 'open')",0.35245824,0.31062752,0.18090665,0.22044738,0.7152244,0.6934363,0.0217881
5,1.5532265,1.5254754,"('distant', 'outgoing')",0.23644893,0.16746128,-0.28787062,-0.28836262,0.5006016,0.4681913,0.0324103
9,1.5477904,1.4307818,"('unaffectionate', 'caring')",1.0057791,0.9075497,1.1749234,1.0114471,1.242831,1.1165929,0.1262381
35,1.5088578,1.2521303,"('corrupt', 'incorrupt')",-0.139687,-0.08642755,-0.17858541,-0.24982873,0.3968618,0.3052913,0.0915705
11,-1.4936652,-1.2775877,"('unhelpful', 'helpful')",-0.28353038,-0.19845015,1.7978133,1.9339261,0.0068726,0.1526295,-0.1457569
45,-1.4845401,-1.6260643,"('incompetent', 'competent')",-0.44892251,-0.5827286,-0.29397243,-0.5350945,-0.7424784,-0.9146291,0.1721507
51,-1.4766018,-1.3357083,"('uneducated', 'educated')",-0.824116,-0.7681358,0.09767693,0.12617487,-0.7343469,-0.6592231,-0.0751238
0,-1.4608229,-1.2195952,"('unsociable', 'sociable')",0.20731431,0.08092281,-0.28967005,-0.40785062,-0.5143929,-0.5155077,0.0011148
56,-1.4260365,-1.1614596,"('impractical', 'practical')",0.665498,0.85645646,-0.8924101,-0.6193923,-0.5509829,-0.3081318,-0.2428511
39,1.3328967,1.4462427,"('exploitative', 'cooperative')",0.5096011,0.6659469,0.19054261,0.35226715,0.6776802,0.8214855,-0.1438053
22,-1.3318194,-1.2909666,"('untrustworthy', 'trustworthy')",-1.1201769,-1.1647193,-1.0151416,-0.9387998,-1.1557126,-1.1314953,-0.0242173
30,-1.2851868,-0.95062274,"('intolerant', 'tolerant')",-1.0381395,-0.9176077,-0.57190764,-0.14701712,-0.9650779,-0.6717492,-0.2933287
59,1.2828879,1.325914,"('foolish', 'wise')",0.07932,0.0588798,0.10776539,0.19358891,0.4899911,0.5261276,-0.0361365
44,-1.2804188,-1.3213667,"('prejudiced', 'unprejudiced')",-1.2982615,-1.2131122,-1.6940416,-1.4193596,-1.4242406,-1.3179461,-0.1062945
71,1.2679597,1.1251209,"('diffident', 'self-confident')",1.2904382,1.2981836,0.4931843,0.33783382,1.017194,0.9203795,0.0968145
64,-1.2673736,-1.312289,"('shy', 'confident')",-0.89208496,-1.0243696,-6.155744,-6.3170996,-2.7717342,-2.884586,0.1128518
52,1.229107,1.1373215,"('irrational', 'rational')",-0.047698125,-0.11333974,0.059258793,0.09090304,0.4135559,0.3716282,0.0419277
10,-1.2234699,-1.1772552,"('unsympathetic', 'sympathetic')",-0.96154416,-1.079022,-0.22611406,-0.48316547,-0.8037093,-0.9131475,0.1094382
14,-1.1909602,-0.9513723,"('antisocial', 'social')",-0.7095925,-0.6118054,-0.69035447,-0.58016926,-0.8636357,-0.714449,-0.1491867
42,-1.150219,-1.1625447,"('unreliable', 'reliable')",-0.1337815,-0.17894687,-2.729472,-2.5615437,-1.3378242,-1.3010117,-0.0368125
53,1.144415,1.136689,"('uncreative', 'creative')",0.79008144,0.72373515,0.8650164,0.77800775,0.933171,0.8794773,0.0536937
80,-1.1303227,-1.0299877,"('dominated', 'dominating')",-1.0627987,-1.0370158,-0.50550777,-0.5905491,-0.899543,-0.8858509,-0.0136921
66,1.1180764,1.0624666,"('inactive', 'active')",-0.3447373,-0.33324283,1.197854,0.93776834,0.6570644,0.5556641,0.1014003
