,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.7712532,-1.8880033,"('unsympathetic', 'sympathetic')",-0.6010845,-0.7510382,-1.1861689,-1.3195207,0.1333518
77,-1.7323986,-1.6141058,"('unmotivated', 'motivated')",-1.1712136,-1.0377827,-1.4518061,-1.3259442,-0.1258619
86,-1.663248,-1.9486077,"('uninfluential', 'influential')",-0.80045825,-1.012936,-1.2318531,-1.4807718,0.2489187
28,-1.5014414,-1.4002564,"('disloyal', 'loyal')",0.80569655,0.70157945,-0.3478724,-0.3493385,0.0014661
46,-1.3991652,-1.5257864,"('uncompetitive', 'competitive')",-1.1228244,-1.0289086,-1.2609948,-1.2773476,0.0163528
11,-1.3658972,-1.3905716,"('unhelpful', 'helpful')",1.8358935,1.9458885,0.2349982,0.2776585,-0.0426603
23,-1.3028612,-1.1859983,"('insincere', 'sincere')",5.500062,5.328177,2.0986004,2.0710893,0.0275111
0,-1.2974118,-1.3801228,"('unsociable', 'sociable')",-0.2483635,-0.25323415,-0.7728876,-0.8166785,0.0437909
45,-1.2924987,-1.3424445,"('incompetent', 'competent')",-0.265641,-0.17348787,-0.7790698,-0.7579662,-0.0211036
7,-1.2496183,-1.0112299,"('insensitive', 'sensitive')",-0.09640361,0.072821654,-0.6730109,-0.4692041,-0.2038068
57,-1.2480321,-1.4637572,"('unimaginative', 'imaginative')",-3.185167,-2.998471,-2.2165995,-2.2311141,0.0145146
14,-1.2162683,-0.9970255,"('antisocial', 'social')",-0.29450238,0.078088574,-0.7553853,-0.4594685,-0.2959168
55,-1.1861837,-1.2514262,"('incompetent', 'clever')",0.45049435,0.42785653,-0.3678447,-0.4117848,0.0439401
63,-1.1736842,-1.5373062,"('unperceptive', 'insightful')",0.31568143,0.17639455,-0.4290014,-0.6804558,0.2514544
1,-1.1617925,-1.3150746,"('unfriendly', 'friendly')",0.84415907,0.8761352,-0.1588167,-0.2194697,0.060653
32,-1.1274148,-1.0084466,"('unkind', 'kind')",0.55066764,0.53415036,-0.2883736,-0.2371481,-0.0512255
53,-1.1147732,-1.0491947,"('uncreative', 'creative')",0.031212669,0.14639932,-0.5417802,-0.4513977,-0.0903825
73,1.1064928,1.155046,"('helpless', 'self-reliant')",-2.8630016,-2.8450398,-0.8782544,-0.8449969,-0.0332575
21,-1.0519559,-0.8874254,"('immoral', 'moral')",-0.4619105,-0.35046995,-0.7569332,-0.6189477,-0.1379855
3,-1.0516938,-0.90610915,"('repellent', 'pleasant')",0.460213,0.5474357,-0.2957404,-0.1793367,-0.1164037
8,-1.0312958,-1.0683141,"('unaffectionate', 'affectionate')",0.31307825,0.16409838,-0.3591087,-0.4521078,0.0929991
81,-1.0191808,-0.81086487,"('submissive', 'aggressive')",-0.4302237,-0.28793788,-0.7247022,-0.5494014,-0.1753008
9,-0.98889583,-1.0630751,"('unaffectionate', 'caring')",0.83412135,0.7207871,-0.0773872,-0.171144,0.0937568
44,0.98274857,1.2147032,"('prejudiced', 'unprejudiced')",-1.2552048,-1.1778334,-0.1362281,0.0184349,-0.154663
78,-0.96929514,-1.3370373,"('nonresilient', 'resilient')",-0.16367006,-0.28965032,-0.5664826,-0.8133438,0.2468612
15,0.9163696,1.0148773,"('boring', 'funny')",0.06747576,0.5940656,0.4919227,0.8044715,-0.3125488
62,-0.91447544,-0.78298074,"('incompetent', 'brilliant')",0.7218206,0.83120227,-0.0963274,0.0241108,-0.1204382
43,-0.8798278,-0.8129591,"('irresponsible', 'responsible')",0.2918537,0.31884244,-0.293987,-0.2470583,-0.0469287
38,-0.85661787,-1.0142587,"('untruthful', 'truthful')",-0.24201538,-0.090606466,-0.5493166,-0.5524326,0.003116
52,0.85482156,0.7171128,"('irrational', 'rational')",-0.03681518,0.024951236,0.4090032,0.371032,0.0379712
70,-0.8515759,-0.85275936,"('lethargic', 'energetic')",-0.026273206,-0.019155268,-0.4389246,-0.4359573,-0.0029673
33,0.7905757,0.67463565,"('wrong', 'right')",-0.5307547,-0.535358,0.1299105,0.0696388,0.0602717
75,0.78422636,0.57079035,"('meek', 'impulsive')",-0.5862794,-0.56547487,0.0989735,0.0026577,0.0963158
69,0.7747058,1.2755107,"('lazy', 'industrious')",-0.84370613,-0.47164428,-0.0345002,0.4019332,-0.4364334
22,-0.76432157,-0.674231,"('untrustworthy', 'trustworthy')",-0.7458599,-0.8611751,-0.7550907,-0.7677031,0.0126124
12,-0.7362262,-0.98983806,"('unsupportive', 'supportive')",-2.260987,-2.1523767,-1.4986067,-1.5711074,0.0725007
35,0.7277684,0.88399273,"('corrupt', 'incorrupt')",-0.7657609,-0.6413458,-0.0189962,0.1213235,-0.1403197
60,-0.72329015,-0.6461658,"('inefficient', 'efficient')",0.37836888,0.37674898,-0.1724606,-0.1347084,-0.0377522
41,-0.6980302,-0.85449237,"('unforgiving', 'forgiving')",-0.3339883,-0.23157348,-0.5160092,-0.5430329,0.0270237
