,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
18,-1.751944,-1.681118,"('disagreeable', 'welcoming')",0.14849868,0.20490006,-0.8017226,-0.738109,-0.0636136
29,1.4184111,1.1766356,"('unfair', 'fair')",0.2292782,0.022487432,0.8238447,0.5995615,0.2242832
38,-1.3665934,-1.4129364,"('untruthful', 'truthful')",-1.1410131,-1.0959029,-1.2538033,-1.2544197,0.0006164
39,1.2946955,1.4533453,"('exploitative', 'cooperative')",-0.40977663,-0.24403128,0.4424594,0.604657,-0.1621976
85,1.239167,1.0437409,"('insignificant', 'prestigious')",1.2938794,1.3001679,1.2665231,1.1719544,0.0945687
56,1.2254643,1.7293553,"('impractical', 'practical')",-1.4207723,-0.93309873,-0.097654,0.3981283,-0.4957823
35,-1.2024213,-1.4085952,"('corrupt', 'incorrupt')",0.7856107,0.70745385,-0.2084053,-0.3505707,0.1421654
15,1.1654476,1.2481899,"('boring', 'funny')",1.1890205,1.11872,1.1772341,1.183455,-0.0062209
40,-1.1431919,-1.1365942,"('stingy', 'generous')",-1.2642117,-1.2328941,-1.2037017,-1.1847441,-0.0189576
81,-1.1218886,-0.8016026,"('submissive', 'aggressive')",-0.6597813,-0.25273103,-0.8908349,-0.5271668,-0.3636681
60,1.1087627,1.3842174,"('inefficient', 'efficient')",-1.5442542,-1.218879,-0.2177457,0.0826692,-0.3004149
77,1.098295,1.1364965,"('unmotivated', 'motivated')",-0.5949049,-0.47682053,0.251695,0.329838,-0.078143
21,1.0449797,1.267557,"('immoral', 'moral')",-0.35288045,-0.040459193,0.3460496,0.6135489,-0.2674993
2,1.0431747,1.2029544,"('unlikable', 'likable')",1.1568269,1.4095218,1.1000009,1.3062382,-0.2062373
73,1.0295119,0.92739135,"('helpless', 'self-reliant')",0.878373,0.9514292,0.9539425,0.9394103,0.0145322
47,-0.9800887,-0.54960716,"('stupid', 'smart')",-0.8780884,-0.43396646,-0.9290886,-0.4917868,-0.4373018
62,0.9531911,1.4945672,"('incompetent', 'brilliant')",-1.7163444,-1.2256866,-0.3815766,0.1344403,-0.5160169
17,-0.9466719,-0.78675205,"('nasty', 'nice')",-0.6929079,-0.5833731,-0.8197899,-0.6850626,-0.1347273
68,-0.94603115,-1.4345976,"('dependent', 'independent')",-0.83553904,-1.0968937,-0.8907851,-1.2657456,0.3749605
76,0.9445707,1.2062631,"('anxious', 'daring')",0.43816996,0.57362163,0.6913704,0.8899423,-0.1985719
