,kimco_male,kimco_female,tuple,realty_male,realty_female,corp_male,corp_female,average_male,average_female,male-female
86,-1.655673,-1.3038455,"('uninfluential', 'influential')",-2.4785042,-2.2357674,-0.5970961,-0.37310427,-1.5770911,-1.304239,-0.2728521
53,-1.3286946,-1.0542961,"('uncreative', 'creative')",0.1562129,0.24821226,0.5275681,0.3931212,-0.2149712,-0.1376542,-0.077317
57,-1.282949,-1.2202888,"('unimaginative', 'imaginative')",-0.9244113,-0.74986315,-3.7408938,-3.5797899,-1.9827514,-1.8499807,-0.1327707
26,-1.2798469,-1.2301497,"('hardhearted', 'benevolent')",1.3009863,1.2365289,1.159436,0.9117007,0.3935251,0.3060266,0.0874985
0,-1.191373,-1.3490728,"('unsociable', 'sociable')",-0.8547583,-0.80836827,-0.6138559,-0.52050793,-0.8866624,-0.8926497,0.0059873
10,-1.1506032,-1.0905335,"('unsympathetic', 'sympathetic')",-2.5733476,-2.405834,-0.6394082,-0.49050888,-1.454453,-1.3289587,-0.1254943
83,-1.0505384,-1.0271182,"('powerless', 'powerful')",0.05666702,0.30363593,-1.3122345,-1.2923862,-0.768702,-0.6719561,-0.0967459
72,-0.9950902,-0.87304825,"('unambitious', 'ambitious')",0.036219697,0.13968131,-0.38806322,-0.3277974,-0.4489779,-0.3537215,-0.0952564
28,-0.9537326,-0.88339573,"('disloyal', 'loyal')",-0.9037399,-0.8245973,0.9389185,0.9018713,-0.3061847,-0.2687072,-0.0374775
1,-0.9537155,-0.9931347,"('unfriendly', 'friendly')",0.13574205,0.24802826,1.8028898,1.460916,0.3283055,0.2386032,0.0897023
45,-0.9343362,-1.0789279,"('incompetent', 'competent')",-1.995922,-1.9201941,-0.4918062,-0.24214554,-1.1406882,-1.0804226,-0.0602656
73,0.91763175,0.9965141,"('helpless', 'self-reliant')",1.1809683,1.3076282,-3.3119032,-3.285962,-0.4044344,-0.3272733,-0.0771611
20,-0.90683115,-0.88553125,"('rough', 'thoughtful')",-0.12495058,-0.12233208,0.4839114,0.50104517,-0.1826234,-0.1689394,-0.013684
88,-0.893282,-0.80624133,"('low', 'eminent')",-1.2382312,-1.1878328,-0.34892187,-0.47193557,-0.8268116,-0.8220032,-0.0048084
14,-0.86329776,-1.037873,"('antisocial', 'social')",-0.080172,-0.090843976,-0.7909052,-0.4946882,-0.578125,-0.5411351,-0.0369899
51,-0.8395238,-0.80596256,"('uneducated', 'educated')",-1.2418036,-1.2408552,0.43091473,0.5361931,-0.5501376,-0.5035415,-0.0465961
68,-0.83371675,-0.7732246,"('dependent', 'independent')",-1.6787835,-1.5023366,-0.69817865,-0.5274508,-1.0702264,-0.9343374,-0.135889
36,-0.8249666,-0.7935067,"('hostile', 'amicable')",1.5450244,1.5163329,-0.034768134,-0.39293337,0.2284299,0.1099643,0.1184656
65,-0.7974564,-1.0834172,"('insecure', 'secure')",-1.6689936,-1.6868931,-0.3942547,-0.28562373,-0.9535682,-1.0186447,0.0650765
18,-0.79394126,-0.56405175,"('disagreeable', 'welcoming')",0.41765904,0.6218093,-0.27876595,-0.26491436,-0.2183494,-0.0690523,-0.1492971
41,-0.7615372,-0.61107343,"('unforgiving', 'forgiving')",-0.5138131,-0.3827158,-0.3878232,-0.34003338,-0.5543912,-0.4446075,-0.1097837
40,-0.745471,-0.6848275,"('stingy', 'generous')",0.06943944,0.10517962,-2.0253057,-1.9770577,-0.9004458,-0.8522352,-0.0482106
39,0.7420221,0.9975621,"('exploitative', 'cooperative')",-0.18807997,-0.0134602375,-0.058491983,0.048365846,0.1651501,0.3441559,-0.1790058
