,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,male-female
3,-2.2115839,-2.3353083,"('repellent', 'pleasant')",0.663922,0.54177046,-0.7738309,-0.8967689,0.122938
10,-1.7878054,-1.7913134,"('unsympathetic', 'sympathetic')",0.09709143,-0.007378511,-0.845357,-0.8993459,0.0539889
69,1.5384817,1.5053775,"('lazy', 'industrious')",-1.5672716,-1.4302479,-0.0143949,0.0375648,-0.0519597
46,-1.5247658,-1.5424223,"('uncompetitive', 'competitive')",-0.73182964,-0.8314021,-1.1282978,-1.1869122,0.0586144
85,1.4807073,1.5384326,"('insignificant', 'prestigious')",-0.6442664,-0.4966322,0.4182204,0.5209002,-0.1026798
57,-1.429282,-1.4009933,"('unimaginative', 'imaginative')",-3.4917886,-3.3111508,-2.4605353,-2.3560719,-0.1044634
70,-1.4220254,-1.4326903,"('lethargic', 'energetic')",0.48745656,0.5406897,-0.4672844,-0.4460003,-0.0212841
14,-1.388088,-1.6336018,"('antisocial', 'social')",-0.086066425,-0.37056115,-0.7370772,-1.0020815,0.2650043
22,-1.3527321,-1.4546472,"('untrustworthy', 'trustworthy')",-0.645041,-0.7862926,-0.9988865,-1.1204699,0.1215834
65,-1.3397938,-1.4118706,"('insecure', 'secure')",0.30978513,0.20520996,-0.5150043,-0.6033303,0.088326
45,-1.30244,-1.3838015,"('incompetent', 'competent')",-0.29857486,-0.43570617,-0.8005074,-0.9097538,0.1092464
7,-1.2949319,-1.2740663,"('insensitive', 'sensitive')",0.075288706,0.07290535,-0.6098216,-0.6005805,-0.0092411
60,-1.221625,-1.100981,"('inefficient', 'efficient')",0.1722951,0.27363613,-0.5246649,-0.4136724,-0.1109925
77,-1.1724088,-1.1373842,"('unmotivated', 'motivated')",-1.4487892,-1.4251058,-1.3105991,-1.281245,-0.0293541
13,-1.1679097,-1.1120992,"('impolite', 'polite')",-0.2707128,-0.31934968,-0.7193112,-0.7157244,-0.0035868
0,-1.1427711,-1.2756537,"('unsociable', 'sociable')",-0.16251361,-0.40742517,-0.6526424,-0.8415394,0.188897
55,-0.9659808,-0.96413237,"('incompetent', 'clever')",0.60900694,0.51245505,-0.1784869,-0.2258387,0.0473518
28,-0.9315335,-1.0590941,"('disloyal', 'loyal')",0.9276183,0.75831306,-0.0019576,-0.1503905,0.1484329
86,-0.92365307,-1.0345905,"('uninfluential', 'influential')",-0.38898817,-0.40228808,-0.6563206,-0.7184393,0.0621187
43,-0.9155802,-0.86294645,"('irresponsible', 'responsible')",0.33340746,0.449791,-0.2910864,-0.2065777,-0.0845087
23,-0.9073906,-0.84513074,"('insincere', 'sincere')",6.355055,6.1692553,2.7238321,2.6620622,0.0617699
84,0.9031436,0.85773754,"('inferior', 'superior')",0.6037509,0.68575954,0.7534472,0.7717485,-0.0183013
53,-0.8631784,-0.92552954,"('uncreative', 'creative')",0.20945291,0.37906766,-0.3268627,-0.2732309,-0.0536318
58,-0.86085975,-0.9873724,"('undiscriminating', 'discriminating')",0.022185229,0.039401002,-0.4193373,-0.4739857,0.0546484
11,-0.8401369,-0.74575484,"('unhelpful', 'helpful')",2.0641668,2.103483,0.6120149,0.6788641,-0.0668492
30,-0.83934814,-0.92757595,"('intolerant', 'tolerant')",0.7422591,0.6627028,-0.0485445,-0.1324366,0.0838921
18,-0.82248497,-0.7919928,"('disagreeable', 'welcoming')",-1.0600519,-1.0934088,-0.9412684,-0.9427008,0.0014324
35,0.7985473,0.6341421,"('corrupt', 'incorrupt')",-0.71554935,-0.7948916,0.041499,-0.0803747,0.1218737
73,0.7939822,0.745609,"('helpless', 'self-reliant')",-3.7564845,-3.4406288,-1.4812511,-1.3475099,-0.1337412
33,0.7918281,0.80996066,"('wrong', 'right')",-1.1288654,-1.0214071,-0.1685186,-0.1057232,-0.0627954
79,0.7815255,0.7246258,"('wavering', 'unwavering')",-0.66371524,-0.6253493,0.0589051,0.0496383,0.0092668
63,-0.7671253,-0.7541714,"('unperceptive', 'insightful')",-0.2003171,-0.11603154,-0.4837212,-0.4351014,-0.0486198
12,-0.75872636,-0.5984318,"('unsupportive', 'supportive')",-2.2898064,-2.1278172,-1.5242664,-1.3631245,-0.1611419
24,-0.7380953,-0.751926,"('dishonest', 'honest')",0.8210938,0.9491457,0.0414993,0.0986098,-0.0571105
59,0.73432386,0.74560785,"('foolish', 'wise')",-0.47221917,-0.24820164,0.1310523,0.2487031,-0.1176508
26,0.7305951,0.52807844,"('hardhearted', 'benevolent')",1.2464299,1.3163905,0.9885125,0.9222345,0.066278
27,-0.72289264,-0.7108808,"('hardhearted', 'softhearted')",0.78131884,0.8244581,0.0292131,0.0567887,-0.0275756
54,-0.71957016,-0.58497745,"('incapable', 'capable')",0.6287645,0.8110057,-0.0454028,0.1130141,-0.1584169
75,0.71880555,0.65532917,"('meek', 'impulsive')",-0.46648076,-0.4829639,0.1261624,0.0861826,0.0399798
19,-0.69089586,-0.69700915,"('inhospitable', 'hospitable')",-0.76830184,-0.5992788,-0.7295989,-0.648144,-0.0814549
81,-0.6718043,-0.6191227,"('submissive', 'aggressive')",-0.33919817,-0.4432706,-0.5055013,-0.5311967,0.0256954
76,-0.6606605,-0.6167569,"('anxious', 'daring')",0.1889483,0.29456052,-0.2358561,-0.1610982,-0.0747579
5,0.5809093,0.52192104,"('distant', 'outgoing')",-1.1135513,-0.87935185,-0.266321,-0.1787154,-0.0876056
21,-0.5631756,-0.5764184,"('immoral', 'moral')",-0.660963,-0.65854806,-0.6120693,-0.6174833,0.005414
68,-0.51426107,-0.5564916,"('dependent', 'independent')",-1.5014265,-1.4633052,-1.0078437,-1.0098984,0.0020547
9,-0.4862746,-0.43210533,"('unaffectionate', 'caring')",0.7970885,0.95022595,0.155407,0.2590603,-0.1036533
32,-0.47923842,-0.29941434,"('unkind', 'kind')",0.91510683,1.0307214,0.2179342,0.3656535,-0.1477193
47,-0.4749472,-0.41625732,"('stupid', 'smart')",5.59765,5.588349,2.5613513,2.5860457,-0.0246944
61,-0.47153106,-0.57015437,"('illogical', 'logical')",-0.1231773,-0.27253592,-0.2973542,-0.4213451,0.1239909
62,-0.4604696,-0.37662256,"('incompetent', 'brilliant')",0.01378243,0.1767179,-0.2233436,-0.0999523,-0.1233913
82,-0.4591655,-0.51995736,"('poor', 'rich')",6.3222675,6.1673055,2.931551,2.823674,0.107877
51,-0.42240265,-0.36213303,"('uneducated', 'educated')",0.71388996,0.6530813,0.1457437,0.1454741,0.0002696
64,-0.4065959,-0.41831422,"('shy', 'confident')",-6.425283,-6.2025385,-3.4159393,-3.3104262,-0.1055131
48,0.4005583,0.42671534,"('unintelligent', 'intelligent')",0.06945054,0.1516421,0.2350044,0.2891787,-0.0541743
37,-0.38587788,-0.447727,"('fake', 'genuine')",0.14041752,0.26419166,-0.1227302,-0.0917677,-0.0309625
2,-0.3739964,-0.30521083,"('unlikable', 'likable')",0.4635006,0.6991664,0.0447521,0.1969778,-0.1522257
49,-0.36442676,-0.32906723,"('unable', 'able')",-0.61963385,-0.49490058,-0.4920303,-0.4119839,-0.0800464
25,0.36312816,0.41937572,"('egoistic', 'altruistic')",1.0501387,1.1042643,0.7066334,0.76182,-0.0551866
72,-0.32409838,-0.29370692,"('unambitious', 'ambitious')",-0.3433625,-0.24855037,-0.3337305,-0.2711287,-0.0626018
41,-0.31758893,-0.28742927,"('unforgiving', 'forgiving')",0.14291775,-0.056561798,-0.0873356,-0.1719955,0.0846599
39,-0.30041194,-0.19418524,"('exploitative', 'cooperative')",0.2696716,0.4687025,-0.0153702,0.1372586,-0.1526288
8,-0.2953664,-0.3295882,"('unaffectionate', 'affectionate')",0.30318755,0.4305066,0.0039106,0.0504592,-0.0465486
50,-0.2918466,-0.31896713,"('clumsy', 'skillful')",-0.47359374,-0.28606814,-0.3827202,-0.3025177,-0.0802025
56,-0.28144875,-0.29463664,"('impractical', 'practical')",-0.14614038,-0.104506895,-0.2137946,-0.1995718,-0.0142228
38,-0.2808826,-0.23186871,"('untruthful', 'truthful')",-0.13969761,-0.12284364,-0.2102901,-0.1773562,-0.0329339
16,-0.2806274,-0.1957096,"('unpopular', 'popular')",0.022336833,0.0535034,-0.1291453,-0.0711031,-0.0580422
17,-0.27185652,-0.38201618,"('nasty', 'nice')",-0.26066986,-0.35091394,-0.2662632,-0.3664651,0.1002019
15,0.2660249,0.13962841,"('boring', 'funny')",0.32127556,0.38032207,0.2936502,0.2599753,0.0336749
20,0.2655695,0.22431515,"('rough', 'thoughtful')",0.69218415,0.6658341,0.4788768,0.4450746,0.0338022
29,-0.2260008,-0.30166584,"('unfair', 'fair')",-0.69527835,-0.6750428,-0.4606396,-0.4883543,0.0277147
44,0.22559336,0.33205545,"('prejudiced', 'unprejudiced')",-1.2150387,-1.2590413,-0.4947227,-0.4634929,-0.0312298
52,0.22323832,0.118221395,"('irrational', 'rational')",-0.4990295,-0.39375266,-0.1378956,-0.1377656,-0.00013
6,0.21774788,0.18251655,"('distant', 'open')",-0.75533634,-0.49946883,-0.2687942,-0.1584761,-0.1103181
67,0.20643845,0.1346525,"('doubtful', 'determined')",-0.2026133,-0.14010349,0.0019126,-0.0027255,0.0046381
74,-0.19617206,-0.10569398,"('undedicated', 'dedicated')",0.0281828,0.25007442,-0.0839946,0.0721902,-0.1561848
88,0.19193906,0.13747756,"('low', 'eminent')",-0.15750192,-0.13703114,0.0172186,0.0002232,0.0169954
34,-0.18483655,-0.087410726,"('mean', 'honorable')",5.524204,5.534239,2.6696837,2.7234139,-0.0537302
36,-0.17491722,-0.30555433,"('hostile', 'amicable')",-0.23853596,-0.40073004,-0.2067266,-0.3531422,0.1464156
78,-0.160864,-0.046240523,"('nonresilient', 'resilient')",-0.3699271,-0.38561216,-0.2653956,-0.2159263,-0.0494693
1,-0.14853452,-0.17397177,"('unfriendly', 'friendly')",1.2199591,1.3177781,0.5357123,0.5719032,-0.0361909
80,-0.12569565,-0.21959822,"('dominated', 'dominating')",-0.47362712,-0.64364797,-0.2996614,-0.4316231,0.1319617
71,0.10085903,0.16858906,"('diffident', 'self-confident')",0.02095893,0.05963253,0.060909,0.1141108,-0.0532018
83,0.09826179,0.03990742,"('powerless', 'powerful')",-1.104505,-1.0817094,-0.5031216,-0.520901,0.0177794
87,-0.0863994,0.0008612792,"('unsuccessful', 'successful')",0.048212126,0.23672839,-0.0190936,0.1187948,-0.1378884
66,0.040034197,0.024155438,"('inactive', 'active')",0.27816296,0.27225286,0.1590986,0.1482041,0.0108945
31,-0.02270814,-0.0096395165,"('evil', 'good')",-1.3511493,-1.2391827,-0.6869287,-0.6244111,-0.0625176
4,-0.014161697,0.0072597703,"('disliked', 'liked')",-7.4801526,-7.2981157,-3.7471571,-3.6454279,-0.1017292
40,0.010817649,-0.072803274,"('stingy', 'generous')",-2.372008,-2.4521174,-1.1805952,-1.2624604,0.0818652
42,-0.007828755,-0.10648394,"('unreliable', 'reliable')",-3.3864768,-3.1357098,-1.6971527,-1.6210968,-0.0760559
