,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,male-female
82,-1.5222843,-1.3178773,"('poor', 'rich')",6.0884995,6.004777,2.2831078,2.3434498,-0.060342
18,-1.4062028,-1.2245702,"('disagreeable', 'welcoming')",-0.6322582,-0.46813282,-1.0192305,-0.8463515,-0.172879
87,1.3364767,1.2112156,"('unsuccessful', 'successful')",1.1875798,1.0711855,1.2620282,1.1412005,0.1208277
57,-1.3314042,-1.3970587,"('unimaginative', 'imaginative')",-2.500119,-2.7893915,-1.9157616,-2.093225,0.1774634
85,1.2585293,1.2375418,"('insignificant', 'prestigious')",0.65761846,0.56981087,0.9580739,0.9036763,0.0543976
33,1.2456211,1.2349029,"('wrong', 'right')",-0.61434835,-0.56434166,0.3156364,0.3352806,-0.0196442
14,-1.1810312,-1.1436918,"('antisocial', 'social')",-0.6840993,-0.7927848,-0.9325653,-0.9682383,0.035673
69,1.1344335,0.9008935,"('lazy', 'industrious')",-0.695046,-0.63533413,0.2196938,0.1327797,0.0869141
39,1.0908353,1.0535208,"('exploitative', 'cooperative')",-0.11002175,-0.0037202444,0.4904068,0.5249003,-0.0344935
73,1.0699576,0.91492003,"('helpless', 'self-reliant')",-2.8352544,-3.1230059,-0.8826484,-1.1040429,0.2213945
55,-1.0376043,-0.7832744,"('incompetent', 'clever')",-0.15609421,-0.008218538,-0.5968493,-0.3957465,-0.2011028
84,1.0155551,1.0353736,"('inferior', 'superior')",0.92158055,0.8657175,0.9685678,0.9505455,0.0180223
10,-0.97620416,-0.84440136,"('unsympathetic', 'sympathetic')",0.1719879,0.025415357,-0.4021081,-0.409493,0.0073849
15,0.9371981,0.78922886,"('boring', 'funny')",0.5385155,0.39850813,0.7378568,0.5938685,0.1439883
51,-0.92599034,-0.66090935,"('uneducated', 'educated')",0.8976188,0.9334792,-0.0141858,0.1362849,-0.1504707
8,-0.86348367,-0.8772134,"('unaffectionate', 'affectionate')",0.5557842,0.4399119,-0.1538497,-0.2186508,0.0648011
86,-0.84224224,-0.4105986,"('uninfluential', 'influential')",-0.043091565,0.1410697,-0.4426669,-0.1347645,-0.3079024
28,-0.80382466,-0.6357535,"('disloyal', 'loyal')",0.6122126,0.582217,-0.095806,-0.0267683,-0.0690377
65,-0.7956918,-0.6749084,"('insecure', 'secure')",-0.5995473,-0.44047478,-0.6976196,-0.5576916,-0.139928
71,0.79269755,0.74699426,"('diffident', 'self-confident')",0.5194872,0.49916372,0.6560924,0.623079,0.0330134
81,-0.75632465,-0.69934803,"('submissive', 'aggressive')",-0.43651527,-0.47348785,-0.5964199,-0.5864179,-0.010002
56,0.719339,0.66825557,"('impractical', 'practical')",0.34130734,0.120655894,0.5303231,0.3944557,0.1358674
80,0.71858215,0.52590144,"('dominated', 'dominating')",-0.60317343,-0.5618481,0.0577044,-0.0179733,0.0756777
72,-0.7171401,-0.7349163,"('unambitious', 'ambitious')",-0.80545104,-0.90524304,-0.7612956,-0.8200797,0.0587841
3,-0.69008136,-0.60397995,"('repellent', 'pleasant')",0.07839162,0.12883604,-0.3058449,-0.237572,-0.0682729
70,-0.68421125,-0.850495,"('lethargic', 'energetic')",1.165415,0.91286534,0.2406019,0.0311852,0.2094167
43,-0.684041,-0.60515565,"('irresponsible', 'responsible')",0.691846,0.6946683,0.0039025,0.0447563,-0.0408538
61,0.6516105,0.7197133,"('illogical', 'logical')",0.25797457,0.24828316,0.4547925,0.4839982,-0.0292057
7,-0.63604057,-0.4892717,"('insensitive', 'sensitive')",0.8606862,0.75994086,0.1123228,0.1353346,-0.0230118
64,-0.61525804,-0.4689879,"('shy', 'confident')",-6.75946,-6.550361,-3.6873591,-3.5096745,-0.1776846
67,0.58595914,0.54675704,"('doubtful', 'determined')",-0.58109456,-0.63573927,0.0024323,-0.0444911,0.0469234
42,0.57172453,0.5507308,"('unreliable', 'reliable')",-2.5588114,-2.784485,-0.9935434,-1.1168771,0.1233337
63,0.56557286,0.5237739,"('unperceptive', 'insightful')",1.4788728,1.2990952,1.0222228,0.9114345,0.1107883
23,-0.5232589,-0.3793354,"('insincere', 'sincere')",5.6634336,5.734456,2.5700874,2.6775603,-0.1074729
59,0.50284487,0.4755692,"('foolish', 'wise')",0.1310885,0.16221495,0.3169667,0.3188921,-0.0019254
68,-0.49337208,-0.43953353,"('dependent', 'independent')",-0.5142333,-0.35432288,-0.5038027,-0.3969282,-0.1068745
45,-0.48767382,-0.49515465,"('incompetent', 'competent')",0.0023360364,-0.22377874,-0.2426689,-0.3594667,0.1167978
22,-0.4804934,-0.4999435,"('untrustworthy', 'trustworthy')",-1.0421075,-1.1616048,-0.7613004,-0.8307741,0.0694737
5,0.47815883,0.400245,"('distant', 'outgoing')",-0.29846197,-0.47503522,0.0898484,-0.0373951,0.1272435
62,0.45960882,0.36068827,"('incompetent', 'brilliant')",0.69229716,0.5256003,0.575953,0.4431443,0.1328087
12,0.45529044,0.5631786,"('unsupportive', 'supportive')",-1.5768632,-1.6108481,-0.5607864,-0.5238347,-0.0369517
36,-0.4490661,-0.4312973,"('hostile', 'amicable')",-0.045699753,-0.1873954,-0.2473829,-0.3093463,0.0619634
20,-0.44536835,-0.40272394,"('rough', 'thoughtful')",1.2492025,1.2615969,0.4019171,0.4294365,-0.0275194
40,-0.42980793,-0.36167848,"('stingy', 'generous')",-1.4989195,-1.7565018,-0.9643637,-1.0590901,0.0947264
