,unitedhealth_male,unitedhealth_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
55,-3.630221,-3.1644204,"('incompetent', 'clever')",1.6666056,1.9254805,-0.039932653,0.0821048,-0.6678493,-0.3856117,-0.2822376
69,2.8974025,2.4533415,"('lazy', 'industrious')",0.198209,-0.10525477,-0.4296464,-0.65711004,0.888655,0.563659,0.324996
46,-2.808523,-2.226093,"('uncompetitive', 'competitive')",2.0622344,2.0087576,-0.40176356,-0.4924874,-0.382684,-0.2366076,-0.1460764
10,-2.5668797,-1.9936689,"('unsympathetic', 'sympathetic')",1.1128134,1.4244643,0.08592041,0.27334815,-0.4560486,-0.0986188,-0.3574298
45,-2.2760746,-2.0636308,"('incompetent', 'competent')",0.7165712,0.91228855,-0.41858983,-0.43579656,-0.6593644,-0.5290463,-0.1303181
57,-2.0917807,-1.8154113,"('unimaginative', 'imaginative')",-0.43962583,-0.44580162,-2.76223,-2.7414434,-1.7645454,-1.667552,-0.0969934
58,-2.0853567,-2.0584316,"('undiscriminating', 'discriminating')",0.48810816,0.3478461,-0.14504552,-0.28755185,-0.5807647,-0.6660458,0.0852811
85,2.0488222,1.4251405,"('insignificant', 'prestigious')",-1.7632318,-2.0926843,0.021159243,-0.21482429,0.1022499,-0.2941227,0.3963726
0,-2.0110302,-1.6033862,"('unsociable', 'sociable')",1.2348956,1.4784782,-0.4581269,-0.36603642,-0.4114205,-0.1636481,-0.2477724
59,1.966903,1.5209899,"('foolish', 'wise')",-1.7144836,-1.7695073,0.4854381,0.35568815,0.2459525,0.0357236,0.2102289
86,-1.8524281,-1.5492963,"('uninfluential', 'influential')",0.808359,0.8862164,-0.15549912,0.0065034255,-0.3998561,-0.2188588,-0.1809973
53,-1.7950655,-1.6520984,"('uncreative', 'creative')",-0.30705005,-0.5013052,0.9562094,0.8921568,-0.3819687,-0.4204156,0.0384469
62,-1.7873336,-1.2232798,"('incompetent', 'brilliant')",1.1732922,1.4813547,0.61367905,0.7695668,-0.0001208,0.3425472,-0.342668
60,-1.7728313,-1.0661141,"('inefficient', 'efficient')",2.653953,3.1180274,0.45711094,0.68684083,0.4460776,0.912918,-0.4668404
35,1.7718067,1.2721443,"('corrupt', 'incorrupt')",-2.1656535,-2.4295413,-0.6876082,-0.77814025,-0.360485,-0.6451791,0.2846941
65,-1.7617755,-1.3174933,"('insecure', 'secure')",1.3274684,1.5217993,-0.016595982,0.10654913,-0.150301,0.1036184,-0.2539194
76,-1.726776,-1.1312037,"('anxious', 'daring')",1.1676079,1.391199,0.4992893,0.7122531,-0.0199596,0.3240828,-0.3440424
6,1.706556,1.4108931,"('distant', 'open')",-2.1465802,-2.3363452,0.15686706,0.06606146,-0.0943857,-0.2864636,0.1920779
13,-1.6726918,-1.1850843,"('impolite', 'polite')",0.9655441,1.1884239,0.38519517,0.44713724,-0.1073175,0.1501589,-0.2574764
71,1.6299894,1.4639531,"('diffident', 'self-confident')",0.5565081,0.5877901,0.6242329,0.6162207,0.9369102,0.8893213,0.0475889
82,-1.628848,-1.4877228,"('poor', 'rich')",-0.34970945,-0.29996452,6.2953644,6.3681865,1.4389356,1.5268331,-0.0878975
14,-1.6241983,-1.2731363,"('antisocial', 'social')",2.1005785,2.2969818,-0.62799937,-0.6183574,-0.0505397,0.1351627,-0.1857024
70,-1.5968448,-1.2026556,"('lethargic', 'energetic')",1.1054018,1.3918837,1.0251353,1.2759777,0.1778974,0.488402,-0.3105046
79,1.4665663,1.3995628,"('wavering', 'unwavering')",-2.4049559,-2.3586373,-0.061379783,-0.055674948,-0.3332564,-0.3382498,0.0049934
3,-1.4467345,-1.107686,"('repellent', 'pleasant')",1.2212757,1.2896917,0.35141286,0.41009772,0.0419847,0.1973678,-0.1553831
30,-1.4352874,-1.1863166,"('intolerant', 'tolerant')",0.2390814,0.395198,1.3152493,1.3360378,0.0396811,0.1816397,-0.1419586
