,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.7972085,-1.6891676,"('unsympathetic', 'sympathetic')",-0.42337167,-0.6837906,-1.1102901,-1.1864791,0.076189
57,-1.7153527,-1.4931839,"('unimaginative', 'imaginative')",-2.494984,-2.5705874,-2.1051683,-2.0318856,-0.0732827
69,1.6972998,1.4982681,"('lazy', 'industrious')",-0.35994688,-0.10280743,0.6686765,0.6977304,-0.0290539
39,1.5557568,1.5694551,"('exploitative', 'cooperative')",0.21392046,0.31501475,0.8848386,0.9422349,-0.0573963
21,-1.2755808,-1.2006572,"('immoral', 'moral')",-0.9461202,-1.0922097,-1.1108505,-1.1464335,0.035583
22,-1.2151524,-1.2928437,"('untrustworthy', 'trustworthy')",-1.0029657,-1.0672548,-1.1090591,-1.1800492,0.0709901
81,-1.2024182,-1.0378544,"('submissive', 'aggressive')",-1.2284629,-1.47302,-1.2154405,-1.2554371,0.0399966
71,1.1272537,1.1213869,"('diffident', 'self-confident')",0.708587,0.6552166,0.9179204,0.8883017,0.0296187
24,-1.0788225,-0.89219105,"('dishonest', 'honest')",0.22751242,0.4432009,-0.425655,-0.2244951,-0.2011599
75,-1.0756032,-0.90434927,"('meek', 'impulsive')",-0.5660008,-0.44977608,-0.820802,-0.6770627,-0.1437393
33,0.98489153,0.95451313,"('wrong', 'right')",-0.36242583,-0.11509049,0.3112329,0.4197113,-0.1084784
3,-0.9719718,-0.92249686,"('repellent', 'pleasant')",0.15590374,0.056468673,-0.408034,-0.4330141,0.0249801
70,-0.9470824,-1.1079106,"('lethargic', 'energetic')",0.6112646,0.22033794,-0.1679089,-0.4437864,0.2758775
76,-0.9320886,-0.7343536,"('anxious', 'daring')",-0.0967571,-0.2256405,-0.5144228,-0.479997,-0.0344258
17,-0.91563344,-0.8244988,"('nasty', 'nice')",-0.77718747,-0.728603,-0.8464105,-0.7765509,-0.0698596
11,-0.8976788,-0.99630094,"('unhelpful', 'helpful')",1.4232932,1.3070997,0.2628072,0.1553994,0.1074078
86,-0.86645967,-0.81859714,"('uninfluential', 'influential')",-0.08165326,-0.34557694,-0.4740565,-0.582087,0.1080305
50,0.80991536,0.51154566,"('clumsy', 'skillful')",0.6195233,0.4975118,0.7147193,0.5045288,0.2101905
13,-0.78848046,-0.67202145,"('impolite', 'polite')",-0.85460514,-1.0440618,-0.8215428,-0.8580416,0.0364988
14,-0.7786853,-0.69707465,"('antisocial', 'social')",-0.9480591,-0.9219883,-0.8633722,-0.8095315,-0.0538407
84,0.7712879,0.5663569,"('inferior', 'superior')",0.97233444,1.0533552,0.8718112,0.8098561,0.0619551
4,-0.76487255,-0.42785597,"('disliked', 'liked')",-6.5830812,-6.373177,-3.6739769,-3.4005165,-0.2734604
72,-0.7409971,-0.66799575,"('unambitious', 'ambitious')",-0.87080944,-0.91348106,-0.8059033,-0.7907384,-0.0151649
30,-0.73006874,-0.409814,"('intolerant', 'tolerant')",0.7162318,0.7443435,-0.0069185,0.1672648,-0.1741833
20,0.7221241,0.6226503,"('rough', 'thoughtful')",1.3883997,1.4529395,1.0552619,1.0377949,0.017467
88,-0.70654243,-0.43822753,"('low', 'eminent')",-0.15458654,-0.0431739,-0.4305645,-0.2407007,-0.1898638
51,-0.6824967,-0.76252353,"('uneducated', 'educated')",0.25115636,-0.08143435,-0.2156702,-0.421979,0.2063088
38,-0.6482892,-0.6642636,"('untruthful', 'truthful')",-0.43075034,-0.30007687,-0.5395198,-0.4821702,-0.0573496
53,-0.64197725,-0.4360169,"('uncreative', 'creative')",0.8778951,0.89660525,0.1179589,0.2302942,-0.1123353
31,-0.6355321,-0.48371312,"('evil', 'good')",-0.6762443,-0.42371765,-0.6558882,-0.4537154,-0.2021728
67,0.6259209,0.5439689,"('doubtful', 'determined')",-0.6812843,-0.50894755,-0.0276817,0.0175107,-0.0451924
62,-0.5987778,-0.4456094,"('incompetent', 'brilliant')",-0.14246583,-0.31050643,-0.3706218,-0.3780579,0.0074361
7,-0.58082634,-0.5716638,"('insensitive', 'sensitive')",0.6901582,0.4003646,0.0546659,-0.0856496,0.1403155
64,-0.5719568,-0.5850302,"('shy', 'confident')",-6.5696516,-6.6174145,-3.5708041,-3.6012223,0.0304182
1,-0.5511402,-0.3982501,"('unfriendly', 'friendly')",1.755357,2.1439521,0.6021084,0.872851,-0.2707426
45,-0.5305313,-0.6269644,"('incompetent', 'competent')",-0.02755154,-0.19192395,-0.2790414,-0.4094442,0.1304028
15,-0.5266311,-0.17061467,"('boring', 'funny')",0.16798659,0.24938156,-0.1793223,0.0393834,-0.2187057
0,-0.5115871,-0.47466096,"('unsociable', 'sociable')",-0.5746045,-0.64524686,-0.5430958,-0.5599539,0.0168581
60,0.48800597,0.3768144,"('inefficient', 'efficient')",-0.328984,-0.71477216,0.079511,-0.1689789,0.2484899
2,-0.47933662,-0.20569615,"('unlikable', 'likable')",0.40287152,0.55069417,-0.0382326,0.172499,-0.2107316
59,0.46604115,0.53295565,"('foolish', 'wise')",0.54868096,0.8727334,0.5073611,0.7028445,-0.1954834
29,-0.4606737,-0.71443903,"('unfair', 'fair')",-0.35755146,-0.4197984,-0.4091126,-0.5671187,0.1580061
12,-0.456457,-0.54838103,"('unsupportive', 'supportive')",-1.6174172,-1.7579955,-1.0369371,-1.1531882,0.1162511
80,-0.45363945,-0.6146664,"('dominated', 'dominating')",-1.2575024,-1.5593128,-0.8555709,-1.0869896,0.2314187
41,-0.43686298,-0.2977631,"('unforgiving', 'forgiving')",0.027437631,0.07074462,-0.2047127,-0.1135092,-0.0912035
85,0.4353192,0.51477087,"('insignificant', 'prestigious')",0.62147623,1.0324855,0.5283977,0.7736282,-0.2452305
78,0.43182772,0.01043573,"('nonresilient', 'resilient')",0.7315241,0.414972,0.5816759,0.2127039,0.368972
46,-0.41101786,-0.66318333,"('uncompetitive', 'competitive')",-0.6228522,-0.89549774,-0.5169351,-0.7793405,0.2624054
32,-0.40204626,-0.3342403,"('unkind', 'kind')",0.7929167,0.7456693,0.1954352,0.2057145,-0.0102793
56,0.39389452,0.4470888,"('impractical', 'practical')",-0.36866233,-0.4134933,0.0126161,0.0167978,-0.0041817
82,-0.39367664,-0.381634,"('poor', 'rich')",5.9620857,5.789368,2.7842045,2.703867,0.0803375
27,-0.38340476,-0.6193864,"('hardhearted', 'softhearted')",1.7468573,1.5291222,0.6817263,0.4548679,0.2268584
48,-0.35161218,-0.41297594,"('unintelligent', 'intelligent')",0.3274988,0.3039298,-0.0120567,-0.0545231,0.0424664
73,0.34314907,0.49182382,"('helpless', 'self-reliant')",-2.9450524,-2.8793945,-1.3009517,-1.1937853,-0.1071664
