,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,male-female
26,3.5722568,2.9137316,"('hardhearted', 'benevolent')",1.4139775,1.5622152,2.4931171,2.2379735,0.2551436
64,-1.6734512,-1.1373388,"('shy', 'confident')",-6.685508,-6.6537786,-4.1794796,-3.8955586,-0.283921
22,-1.6600484,-1.4606087,"('untrustworthy', 'trustworthy')",-0.8576281,-1.0027506,-1.2588382,-1.2316797,-0.0271585
42,-1.5549668,-1.3928126,"('unreliable', 'reliable')",-3.237558,-3.5925646,-2.3962624,-2.4926887,0.0964263
45,-1.4807261,-1.6249247,"('incompetent', 'competent')",-0.04112614,-0.34730345,-0.7609261,-0.986114,0.2251879
27,1.4140278,0.8979257,"('hardhearted', 'softhearted')",1.3782213,1.0425508,1.3961246,0.9702382,0.4258864
77,-1.3749806,-1.4355525,"('unmotivated', 'motivated')",-1.308232,-1.5087292,-1.3416063,-1.4721408,0.1305345
3,-1.3414185,-1.4654597,"('repellent', 'pleasant')",0.75385004,0.31817862,-0.2937842,-0.5736405,0.2798563
76,-1.2968004,-0.8295069,"('anxious', 'daring')",0.19886355,0.07629356,-0.5489684,-0.3766066,-0.1723618
81,-1.293918,-0.47857225,"('submissive', 'aggressive')",-0.59016275,-0.87006253,-0.9420404,-0.6743174,-0.267723
29,-1.2611489,-1.412543,"('unfair', 'fair')",-0.6413826,-0.78581333,-0.9512658,-1.0991782,0.1479124
9,1.2604088,1.0174352,"('unaffectionate', 'caring')",1.5536468,1.5854487,1.4070277,1.3014419,0.1055858
46,-1.1827803,-1.0679759,"('uncompetitive', 'competitive')",-0.63185817,-1.074022,-0.9073192,-1.0709989,0.1636797
25,1.1801664,0.7786413,"('egoistic', 'altruistic')",0.83565223,1.039595,1.0079093,0.9091182,0.0987911
10,-1.1626364,-1.0764067,"('unsympathetic', 'sympathetic')",0.0591356,-0.6538106,-0.5517504,-0.8651087,0.3133583
13,-1.0869517,-0.52902687,"('impolite', 'polite')",0.05662337,-0.057401583,-0.5151642,-0.2932142,-0.22195
36,1.0670917,0.70502454,"('hostile', 'amicable')",0.114718616,0.6550339,0.5909052,0.6800292,-0.089124
16,-1.0656552,-1.1542938,"('unpopular', 'popular')",-0.12128189,0.10392097,-0.5934685,-0.5251864,-0.0682821
70,-1.0241733,-0.95119596,"('lethargic', 'energetic')",0.8409524,0.26887047,-0.0916104,-0.3411627,0.2495523
82,-1.0131189,-0.8547791,"('poor', 'rich')",5.7950706,5.496693,2.390976,2.3209569,0.0700191
69,0.9955297,0.73225474,"('lazy', 'industrious')",-0.89258415,-0.35241768,0.0514728,0.1899185,-0.1384457
0,-0.95892054,-0.9430225,"('unsociable', 'sociable')",-0.105749175,-0.57506037,-0.5323349,-0.7590414,0.2267065
33,0.9504479,0.7209485,"('wrong', 'right')",0.044485617,0.12235461,0.4974668,0.4216516,0.0758152
1,0.9472915,0.371629,"('unfriendly', 'friendly')",1.1338308,1.2714196,1.0405612,0.8215243,0.2190369
54,-0.9430505,-1.119104,"('incapable', 'capable')",1.0088704,1.0197382,0.0329099,-0.0496829,0.0825928
72,0.9386983,0.83181596,"('unambitious', 'ambitious')",-0.0235104,-0.3367752,0.4575939,0.2475204,0.2100735
44,-0.9336918,-0.43150494,"('prejudiced', 'unprejudiced')",-1.2417411,-0.81108415,-1.0877165,-0.6212946,-0.4664219
67,-0.92010105,-0.4846689,"('doubtful', 'determined')",-0.47209105,-0.41712314,-0.6960961,-0.450896,-0.2452001
8,0.91996336,0.5397973,"('unaffectionate', 'affectionate')",0.8897377,0.94214594,0.9048505,0.7409716,0.1638789
51,-0.893148,-1.0059566,"('uneducated', 'educated')",0.7209815,0.52580297,-0.0860833,-0.2400768,0.1539935
71,0.8297607,0.6433107,"('diffident', 'self-confident')",0.86343163,0.8619269,0.8465961,0.7526188,0.0939773
85,0.8093384,0.42423192,"('insignificant', 'prestigious')",-0.7993479,-0.11452778,0.0049953,0.1548521,-0.1498568
58,0.79600453,0.4851637,"('undiscriminating', 'discriminating')",0.0574963,-0.061653525,0.4267504,0.2117551,0.2149953
50,-0.78310984,-0.9511012,"('clumsy', 'skillful')",0.29880157,0.17628019,-0.2421541,-0.3874105,0.1452564
68,-0.77658945,-0.6619331,"('dependent', 'independent')",-0.5874824,-0.5513666,-0.6820359,-0.6066499,-0.075386
88,0.77395356,1.2141126,"('low', 'eminent')",0.36609632,0.3911291,0.570025,0.8026209,-0.2325959
