,texas_male,texas_female,tuple,instruments_male,instruments_female,inc_male,inc_female,average_male,average_female,male-female
40,1.574771,1.4818202,"('stingy', 'generous')",0.7862813,0.6445248,-1.1536366,-1.3654587,0.4024719,0.2536288,0.1488431
85,1.4913952,1.4291912,"('insignificant', 'prestigious')",1.480911,1.4714568,0.7856074,0.50551116,1.2526379,1.1353865,0.1172514
39,1.4319137,1.5890907,"('exploitative', 'cooperative')",0.4146716,0.6378578,0.24352144,0.37218437,0.6967022,0.8663776,-0.1696754
74,1.251907,1.2595943,"('undedicated', 'dedicated')",0.11960649,0.07537168,0.11486591,0.090679005,0.4954598,0.475215,0.0202448
71,1.2214528,1.1036683,"('diffident', 'self-confident')",1.2044656,1.2844622,0.6194259,0.5295621,1.0151148,0.9725642,0.0425506
2,1.1213572,1.1602124,"('unlikable', 'likable')",0.5328147,0.5794969,0.34488642,0.39732882,0.6663528,0.7123461,-0.0459933
25,1.0065846,1.0457076,"('egoistic', 'altruistic')",1.5391757,1.4532964,1.5963259,1.4473647,1.3806953,1.3154562,0.0652391
28,0.95490324,0.70320535,"('disloyal', 'loyal')",-0.25529474,-0.51911783,0.95883536,0.90062606,0.5528146,0.3615712,0.1912434
82,-0.9190259,-0.9671083,"('poor', 'rich')",0.019797388,-0.30683094,5.911653,5.8952665,1.6708082,1.5404425,0.1303657
32,0.8492439,0.9533327,"('unkind', 'kind')",-0.15530902,-0.20921826,0.60209095,0.75742537,0.4320086,0.5005133,-0.0685047
33,0.8461657,0.7015415,"('wrong', 'right')",0.97182524,0.98244566,-0.64494455,-0.8208925,0.3910155,0.2876982,0.1033173
49,-0.80772555,-0.8643772,"('unable', 'able')",-0.15668964,-0.12540887,-0.47477627,-0.36105925,-0.4797305,-0.4502818,-0.0294487
9,0.7803979,0.5914507,"('unaffectionate', 'caring')",0.4209509,0.2639198,0.9098598,0.7768435,0.7037361,0.5440714,0.1596647
47,-0.7701227,-0.5914642,"('stupid', 'smart')",-0.44772118,-0.48002744,5.332788,5.37628,1.371648,1.4349294,-0.0632814
26,0.754645,0.9155317,"('hardhearted', 'benevolent')",1.5237966,1.6339005,1.7406977,1.7032374,1.3397131,1.4175566,-0.0778435
42,0.75118303,0.9385584,"('unreliable', 'reliable')",-1.897825,-1.8334461,-3.0625565,-2.9750447,-1.4030662,-1.2899775,-0.1130887
24,0.70839345,0.7214611,"('dishonest', 'honest')",-1.1323601,-1.4329165,0.48972985,0.57917225,0.0219211,-0.0440944,0.0660155
