,pulte_male,pulte_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.314978,-2.327326,"('uninfluential', 'influential')",-0.028410302,0.016456,-0.6940089,-0.42934552,-1.0124656,-0.9134053,-0.0990603
10,-2.1074004,-2.2656584,"('unsympathetic', 'sympathetic')",0.18973114,0.21625271,-0.61530894,-0.51989967,-0.8443261,-0.8564351,0.012109
57,-1.8829,-1.9406539,"('unimaginative', 'imaginative')",-0.44641393,-0.5324303,-2.629921,-2.355903,-1.6530784,-1.6096624,-0.043416
45,-1.7323828,-2.096054,"('incompetent', 'competent')",0.4480632,0.2196738,-0.63012135,-0.7235347,-0.638147,-0.8666383,0.2284913
9,-1.651667,-1.684143,"('unaffectionate', 'caring')",-0.059982575,-0.056355104,1.2506012,1.1363803,-0.1536828,-0.2013726,0.0476898
0,-1.6226293,-1.8740621,"('unsociable', 'sociable')",0.56703496,0.50343215,-0.70485693,-0.6306556,-0.5868171,-0.6670952,0.0802781
48,-1.4346685,-1.415558,"('unintelligent', 'intelligent')",0.20267221,0.29520163,0.5360798,0.6018089,-0.2319722,-0.1728491,-0.0591231
69,1.4309535,1.7036375,"('lazy', 'industrious')",-0.1180858,-0.1762743,-0.5109147,-0.49786675,0.2673177,0.3431655,-0.0758478
53,-1.3899498,-1.4090111,"('uncreative', 'creative')",-0.23803335,-0.23369463,0.8513234,0.8515348,-0.2588866,-0.2637237,0.0048371
1,-1.364819,-1.5087521,"('unfriendly', 'friendly')",-0.46699914,-0.47512597,1.7213924,1.6045238,-0.0368086,-0.1264515,0.0896429
35,1.3301512,1.5600024,"('corrupt', 'incorrupt')",-1.9665501,-1.9764684,-0.33745655,-0.3509363,-0.3246185,-0.2558008,-0.0688177
12,-1.3292273,-1.2908746,"('unsupportive', 'supportive')",0.86057794,0.7641398,-1.7411193,-1.5347779,-0.7365896,-0.6871709,-0.0494187
28,-1.298737,-1.4663608,"('disloyal', 'loyal')",0.10858958,0.009942081,0.6590494,0.5186692,-0.1770327,-0.3125832,0.1355505
73,1.211595,1.0928404,"('helpless', 'self-reliant')",-0.0055829007,-0.04333728,-2.938953,-2.9532514,-0.5776469,-0.6345827,0.0569358
3,-1.2061639,-1.2436069,"('repellent', 'pleasant')",0.7696914,0.83425707,0.1832072,0.11136082,-0.0844218,-0.0993297,0.0149079
55,-1.1796141,-1.3395249,"('incompetent', 'clever')",1.395307,1.4410534,-0.17123021,-0.0446022,0.0148209,0.0189754,-0.0041545
23,-1.1482383,-1.4017948,"('insincere', 'sincere')",0.569277,0.6288988,5.758917,5.3585696,1.7266518,1.5285579,0.1980939
51,-1.1281569,-1.0218192,"('uneducated', 'educated')",0.6143061,0.674446,0.23453215,0.49582204,-0.0931062,0.0494829,-0.1425891
41,-1.0836617,-1.1252348,"('unforgiving', 'forgiving')",0.48195624,0.3502552,-0.07473048,0.1262655,-0.2254786,-0.2162381,-0.0092405
11,-1.0551971,-1.2197325,"('unhelpful', 'helpful')",-0.049382746,-0.091674715,1.9804977,1.924577,0.2919726,0.2043899,0.0875827
46,-1.0490341,-1.2900624,"('uncompetitive', 'competitive')",1.6204287,1.533022,-0.831448,-0.71533114,-0.0866845,-0.1574572,0.0707727
61,-1.0433449,-1.1883588,"('illogical', 'logical')",-0.22065553,-0.279539,0.13903041,0.06285697,-0.37499,-0.4683469,0.0933569
8,-1.031928,-0.89651006,"('unaffectionate', 'affectionate')",-0.20724265,-0.12743953,0.8002759,0.73369884,-0.1462982,-0.0967503,-0.0495479
24,-0.9360287,-0.9755825,"('dishonest', 'honest')",-0.034829304,0.12949091,0.47363308,0.46317357,-0.1657417,-0.1276393,-0.0381024
2,0.92232573,0.7330355,"('unlikable', 'likable')",1.8517493,1.7778552,0.7115345,0.73570377,1.1618698,1.0821981,0.0796717
7,-0.904092,-1.0852336,"('insensitive', 'sensitive')",0.11492165,0.10766963,0.46914014,0.4196479,-0.1066767,-0.185972,0.0792953
84,0.8960153,0.89376336,"('inferior', 'superior')",0.3403699,0.33640862,0.8707642,0.8491957,0.7023831,0.6931225,0.0092606
77,-0.8705207,-0.8192715,"('unmotivated', 'motivated')",0.7610021,0.78305835,-1.1061552,-1.0282006,-0.4052246,-0.3548046,-0.05042
44,0.85053897,0.7756862,"('prejudiced', 'unprejudiced')",-0.25588006,-0.2818997,-1.2299219,-1.2924187,-0.2117543,-0.2662107,0.0544564
88,-0.810429,-0.6799524,"('low', 'eminent')",-0.9927394,-0.99272645,0.06700891,0.033419654,-0.5787198,-0.5464197,-0.0323001
58,-0.80723035,-0.9071805,"('undiscriminating', 'discriminating')",0.76064795,0.691144,-0.06414601,-0.014139526,-0.0369095,-0.0767253,0.0398158
75,0.7949203,0.90939933,"('meek', 'impulsive')",-1.2358829,-1.3062196,-0.31822026,-0.34202725,-0.2530609,-0.2462825,-0.0067784
14,-0.77992076,-1.0072339,"('antisocial', 'social')",2.1738365,1.9984822,-0.73178184,-0.69215024,0.2207113,0.0996994,0.1210119
32,-0.7727327,-0.8673806,"('unkind', 'kind')",0.625101,0.75855803,0.73764724,0.7926612,0.1966718,0.2279462,-0.0312744
67,0.76815003,0.82556254,"('doubtful', 'determined')",0.6493053,0.69790995,-0.41528335,-0.41070855,0.3340573,0.3709213,-0.036864
15,0.75570166,0.8034875,"('boring', 'funny')",-1.0079327,-0.89870197,0.33024842,0.37061086,0.0260058,0.0917988,-0.065793
26,-0.7529289,-0.8104739,"('hardhearted', 'benevolent')",1.1268675,1.1726966,1.4947685,1.691907,0.6229024,0.6847099,-0.0618075
