,hudson_male,hudson_female,tuple,city_male,city_female,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
88,-1.8925034,-1.8443874,"('low', 'eminent')",-1.3088588,-1.2957706,-1.2418069,-1.2200596,0.4586612,0.507887,-0.996127,-0.9630828,-0.0330442
50,-1.3013221,-1.1322507,"('clumsy', 'skillful')",-0.47865584,-0.34852865,0.6916504,0.7536233,0.64743376,0.6913673,-0.1102234,-0.0089472,-0.1012762
12,1.2982929,1.2318339,"('unsupportive', 'supportive')",1.0594258,1.1143806,-0.7138848,-0.6694894,-1.556905,-1.4634775,0.0217322,0.0533119,-0.0315797
77,-1.2945246,-1.5076838,"('unmotivated', 'motivated')",-0.43723166,-0.6850004,0.66080564,0.6033707,-0.71160793,-0.9245522,-0.4456396,-0.6284664,0.1828268
9,1.1696993,1.2078485,"('unaffectionate', 'caring')",0.11292543,0.24995321,0.47759712,0.48905927,1.1519976,1.3260837,0.7280549,0.8182362,-0.0901813
53,1.1576544,1.0161179,"('uncreative', 'creative')",-0.6810967,-0.7201438,0.35021362,0.34722728,1.0963831,1.0868896,0.4807886,0.4325228,0.0482658
80,1.0907352,0.9492053,"('dominated', 'dominating')",0.8859808,0.795668,-0.26931584,-0.3347484,-0.57023925,-0.5553339,0.2842903,0.2136977,0.0705926
16,-1.0885208,-1.1815301,"('unpopular', 'popular')",-0.64323515,-0.72329634,0.1676955,0.16909386,0.61479336,0.40312472,-0.2373168,-0.333152,0.0958352
44,-1.0540214,-0.98462266,"('prejudiced', 'unprejudiced')",-0.056857534,-0.054973606,-0.15193444,-0.14503044,-1.6639295,-1.7080278,-0.7316857,-0.7231637,-0.008522
68,-1.0387338,-1.1626517,"('dependent', 'independent')",-0.46004525,-0.5693309,-1.6834852,-1.672453,-0.32699955,-0.522947,-0.877316,-0.9818457,0.1045297
40,1.0140477,1.079278,"('stingy', 'generous')",0.71276104,0.7766882,1.0642647,0.9657389,-1.4274341,-1.4234635,0.3409098,0.3495604,-0.0086506
71,0.99843526,1.0345507,"('diffident', 'self-confident')",1.2071756,1.2491566,0.6376689,0.6477842,0.3883696,0.45683038,0.8079123,0.8470805,-0.0391682
25,0.99155736,0.9756356,"('egoistic', 'altruistic')",-0.7830832,-0.783445,0.99848735,0.926802,1.2194619,1.2003717,0.6066059,0.5798411,0.0267648
72,0.97841674,0.95384955,"('unambitious', 'ambitious')",0.63089675,0.5886281,-0.9133428,-0.91924834,-0.94469863,-0.74128133,-0.062182,-0.029513,-0.032669
62,0.971079,0.8866168,"('incompetent', 'brilliant')",0.6193832,0.5089038,-0.4079416,-0.39375928,0.6679268,0.80511105,0.4626119,0.4517181,0.0108938
73,0.90258163,1.0708209,"('helpless', 'self-reliant')",1.3215696,1.4793565,0.89758027,0.9183696,-3.6226883,-3.4582725,-0.1252393,0.0025687,-0.127808
