,nabors_male,nabors_female,tuple,industries_male,industries_female,ltd_male,ltd_female,average_male,average_female,male-female
28,-1.3902164,-1.5289544,"('disloyal', 'loyal')",0.012778226,-0.09052742,0.4911422,0.34883633,-0.295432,-0.4235485,0.1281165
1,-1.3372192,-1.5460387,"('unfriendly', 'friendly')",0.06771771,-0.008133048,1.1471932,1.0838835,-0.0407695,-0.1567628,0.1159933
83,-1.2791969,-1.3230214,"('powerless', 'powerful')",-0.48250437,-0.583587,-1.3989097,-1.5756828,-1.053537,-1.1607637,0.1072267
86,-1.2509274,-1.2787597,"('uninfluential', 'influential')",-0.7189869,-0.8385494,0.16318563,0.029831512,-0.6022429,-0.6958259,0.093583
9,-1.0598446,-1.2249476,"('unaffectionate', 'caring')",0.38099197,0.40630668,0.46454945,0.50555426,-0.0714344,-0.1043622,0.0329278
72,-1.0389415,-1.0420418,"('unambitious', 'ambitious')",-0.2243768,-0.2212908,0.11532001,0.15892673,-0.3826661,-0.3681353,-0.0145308
36,-1.0378901,-1.2502996,"('hostile', 'amicable')",0.015854578,-0.19463292,-0.092992656,-0.29033813,-0.371676,-0.5784235,0.2067475
10,-0.9923794,-0.82797813,"('unsympathetic', 'sympathetic')",-1.2302035,-1.1439703,0.13045825,0.33176064,-0.6973748,-0.5467292,-0.1506456
51,-0.95484,-1.0031831,"('uneducated', 'educated')",-0.67681533,-0.8142119,-0.49337655,-0.5401436,-0.708344,-0.7858462,0.0775022
70,0.9192295,1.0768398,"('lethargic', 'energetic')",0.40612975,0.5034363,1.2703124,1.3586541,0.8652239,0.9796434,-0.1144195
8,-0.9146383,-0.9950132,"('unaffectionate', 'affectionate')",0.5301714,0.6327379,0.21675007,0.285165,-0.0559056,-0.0257034,-0.0302022
20,-0.87639385,-0.9065306,"('rough', 'thoughtful')",-0.38071486,-0.4193539,0.7638033,0.7031243,-0.1644351,-0.2075868,0.0431517
48,-0.8628687,-0.878274,"('unintelligent', 'intelligent')",-0.6859333,-0.84418625,-0.11872889,-0.1912046,-0.5558436,-0.6378883,0.0820447
21,-0.8603863,-0.74677676,"('immoral', 'moral')",-1.3239174,-1.3381616,-1.2792255,-1.2107601,-1.1545097,-1.0985661,-0.0559436
49,-0.8002093,-0.6608177,"('unable', 'able')",-0.28139147,-0.05252389,-0.5226755,-0.46797508,-0.5347588,-0.3937722,-0.1409866
25,-0.7769511,-0.83004016,"('egoistic', 'altruistic')",0.86411786,0.8540087,0.030898968,-0.007451687,0.0393553,0.0055056,0.0338497
54,-0.7300979,-0.72243446,"('incapable', 'capable')",0.10384978,0.2444889,0.29835042,0.49167457,-0.1092992,0.0045763,-0.1138755
78,-0.71975315,-0.7410367,"('nonresilient', 'resilient')",-0.18615349,-0.071792185,0.123879455,0.002086265,-0.2606757,-0.2702475,0.0095718
2,0.7117221,0.6462363,"('unlikable', 'likable')",0.07587479,0.22389409,0.095200874,0.16454527,0.2942659,0.3448919,-0.050626
6,-0.7048088,-0.81573874,"('distant', 'open')",0.20496663,0.35605147,0.09976508,0.048554152,-0.133359,-0.1370444,0.0036854
77,-0.70111364,-0.8441811,"('unmotivated', 'motivated')",-0.38900706,-0.6270794,-0.49941695,-0.69197017,-0.5298459,-0.7210769,0.191231
30,0.7010557,0.82252747,"('intolerant', 'tolerant')",1.1239264,1.1043267,0.74461484,0.7978829,0.8565323,0.9082457,-0.0517134
68,-0.69200546,-0.6173542,"('dependent', 'independent')",-1.8172424,-1.8631868,-1.0514487,-1.0178844,-1.1868989,-1.1661418,-0.0207571
15,0.6741693,0.6563583,"('boring', 'funny')",0.5369179,0.58241916,0.35811025,0.30740884,0.5230658,0.5153954,0.0076704
76,0.67310125,0.8859526,"('anxious', 'daring')",-0.337506,-0.10191275,0.21893474,0.43033838,0.1848433,0.4047927,-0.2199494
52,-0.65720147,-0.83985186,"('irrational', 'rational')",-0.88835007,-0.9154155,-1.2474116,-1.3158075,-0.9309877,-1.0236917,0.092704
42,0.6090252,0.7380947,"('unreliable', 'reliable')",-0.08637437,0.12814884,-1.8479466,-1.8484029,-0.4417653,-0.3273864,-0.1143789
4,0.5604502,0.357471,"('disliked', 'liked')",0.7870389,0.68192345,-3.6166918,-4.2866282,-0.7564009,-1.0824113,0.3260104
13,0.52716297,0.78877366,"('impolite', 'polite')",-0.14696655,-0.09611246,-0.10434015,0.033676818,0.0919521,0.2421127,-0.1501606
73,0.52532876,0.48154464,"('helpless', 'self-reliant')",0.86958057,0.734712,-2.4346738,-2.7073855,-0.3465881,-0.497043,0.1504549
62,0.5213217,0.6360456,"('incompetent', 'brilliant')",0.069922894,0.13192518,0.53897977,0.4780668,0.3767414,0.4153458,-0.0386044
56,0.5083151,0.5363717,"('impractical', 'practical')",1.0228513,1.0749525,0.88379675,0.8229829,0.8049877,0.8114357,-0.006448
32,-0.5013224,-0.47289276,"('unkind', 'kind')",-0.32511786,-0.13335165,0.41744167,0.632738,-0.1363328,0.0088312,-0.145164
88,-0.5006097,-0.6649877,"('low', 'eminent')",0.41326565,0.15008445,-0.22411886,-0.17716561,-0.103821,-0.2306896,0.1268686
22,0.46833602,0.678171,"('untrustworthy', 'trustworthy')",-1.2709024,-1.2057381,-0.12340383,-0.010850597,-0.3086568,-0.1794726,-0.1291842
3,-0.43290877,-0.349333,"('repellent', 'pleasant')",-0.36977172,-0.35169926,0.5108142,0.4223209,-0.0972888,-0.0929038,-0.004385
19,-0.38942593,-0.33239195,"('inhospitable', 'hospitable')",-0.8567096,-0.70806664,-1.0622265,-0.9642682,-0.769454,-0.6682423,-0.1012117
53,-0.3706543,-0.498909,"('uncreative', 'creative')",0.057425156,0.07330358,0.43740812,0.37074208,0.041393,-0.0182878,0.0596808
