,parker_male,parker_female,tuple,hannifin_male,hannifin_female,corp_male,corp_female,average_male,average_female,male-female
31,-3.8822918,-5.643651,"('evil', 'good')",-0.657578,-0.9026847,-1.5271639,-1.4414009,-2.0223446,-2.6625789,0.6402343
35,-3.8772883,-5.5033417,"('corrupt', 'incorrupt')",0.08110842,-0.028999038,-1.1447039,-1.0117714,-1.6469612,-2.1813707,0.5344095
60,3.8307989,5.1257105,"('inefficient', 'efficient')",-0.21570006,-0.17669941,0.75200635,0.64044255,1.4557017,1.8631511,-0.4074494
55,3.4515827,4.7596307,"('incompetent', 'clever')",0.3325032,0.37121454,0.71748024,0.46358514,1.500522,1.86481,-0.364288
85,-3.4261196,-5.174597,"('insignificant', 'prestigious')",-0.9702947,-0.925915,-0.6526032,-0.62321883,-1.6830058,-2.2412435,0.5582377
23,3.2518826,3.5664716,"('insincere', 'sincere')",-0.97749865,-1.056866,5.6667433,5.76564,2.6470424,2.7584152,-0.1113728
6,-3.1501667,-3.8831856,"('distant', 'open')",-1.2401308,-1.1884372,-1.4073952,-1.1836895,-1.9325643,-2.0851041,0.1525398
69,-3.1077385,-4.5451903,"('lazy', 'industrious')",0.6667081,0.69584477,-0.8032409,-0.69534665,-1.0814238,-1.5148975,0.4334737
36,-3.0688615,-4.9847245,"('hostile', 'amicable')",-0.7443063,-0.871877,-0.6489412,-0.63014436,-1.4873697,-2.1622486,0.6748789
5,-3.0484524,-3.828641,"('distant', 'outgoing')",-0.9021658,-0.8210701,-1.2517371,-1.0380623,-1.7341185,-1.8959246,0.1618061
56,3.0181832,3.7706916,"('impractical', 'practical')",0.081450835,-0.0012267902,-0.39897624,-0.42945725,0.9002193,1.1133358,-0.2131165
81,2.9246128,4.376014,"('submissive', 'aggressive')",0.9067849,0.73368067,-0.33206087,-0.44393152,1.1664456,1.5552545,-0.3888089
75,-2.8990529,-3.6308866,"('meek', 'impulsive')",0.50593615,0.62711215,-1.1556215,-1.0379342,-1.1829127,-1.3472362,0.1643235
52,-2.8471851,-3.7619004,"('irrational', 'rational')",-0.69967186,-0.74873877,-0.4069726,-0.42425817,-1.3179432,-1.6449658,0.3270226
4,-2.821187,-3.0868158,"('disliked', 'liked')",-0.21322632,-0.16004641,-6.864923,-7.1452374,-3.2997786,-3.4640331,0.1642545
62,2.7768493,4.218671,"('incompetent', 'brilliant')",0.07510392,0.17738011,0.43377084,0.4437505,1.0952414,1.6132671,-0.5180257
10,2.7566009,4.214574,"('unsympathetic', 'sympathetic')",-1.6479987,-1.4994453,0.104012065,-0.00790403,0.4042047,0.9024081,-0.4982034
46,2.7019224,4.161188,"('uncompetitive', 'competitive')",-0.8943853,-0.70236003,-0.19303715,-0.32789174,0.5381666,1.0436454,-0.5054788
21,2.6384656,3.5932012,"('immoral', 'moral')",-0.120522246,-0.1813641,-0.07642757,-0.17410438,0.8138386,1.0792442,-0.2654056
76,2.376636,3.3330305,"('anxious', 'daring')",0.23720175,0.43163997,0.058331665,0.018922575,0.8907231,1.2611976,-0.3704745
14,2.261963,3.253962,"('antisocial', 'social')",0.49349064,0.4053887,0.43174434,0.17597745,1.0623993,1.2784428,-0.2160435
0,2.255324,3.4920092,"('unsociable', 'sociable')",-0.73884356,-0.8442825,0.09136381,-0.078788884,0.535948,0.8563125,-0.3203645
65,2.2094643,3.2169719,"('insecure', 'secure')",0.4291624,0.33411774,0.30839756,0.11881237,0.9823414,1.2233006,-0.2409592
79,-2.1978266,-3.1987457,"('wavering', 'unwavering')",-0.7374326,-0.73254406,-0.9023563,-0.69284356,-1.2792052,-1.5413777,0.2621725
16,-2.1978092,-2.6659532,"('unpopular', 'popular')",-0.49500945,-0.47561648,0.00016424805,0.029725302,-0.8975515,-1.0372814,0.1397299
8,-2.071743,-2.804216,"('unaffectionate', 'affectionate')",-1.8525856,-1.6846721,0.13442774,0.2619989,-1.2633003,-1.4089629,0.1456626
13,2.0569954,2.6801598,"('impolite', 'polite')",-0.022580374,-0.2763821,-0.3748078,-0.4349987,0.5532024,0.6562596,-0.1030572
30,2.0024302,2.1416245,"('intolerant', 'tolerant')",0.5014393,0.34123185,1.1212238,0.9752673,1.2083645,1.1527079,0.0556566
19,-1.9869196,-2.6326072,"('inhospitable', 'hospitable')",-0.82775706,-0.71193904,-1.0450214,-0.89847326,-1.2865661,-1.4143399,0.1277738
59,-1.8446805,-2.9416726,"('foolish', 'wise')",0.2958446,0.27966288,-0.44468805,-0.24013613,-0.664508,-0.967382,0.302874
44,-1.8064961,-1.7529482,"('prejudiced', 'unprejudiced')",0.6001297,0.67890227,-1.3806962,-1.3773532,-0.8623542,-0.817133,-0.0452212
51,1.6771327,2.5247767,"('uneducated', 'educated')",-0.30924967,-0.5126831,0.25922564,0.08009001,0.5423696,0.6973945,-0.1550249
66,-1.5930368,-1.6063011,"('inactive', 'active')",-0.47670576,-0.30327097,0.08567994,0.23704019,-0.6613542,-0.5575106,-0.1038436
7,1.5554756,2.3857713,"('insensitive', 'sensitive')",-0.7969785,-0.78233874,0.6334133,0.6070393,0.4639701,0.736824,-0.2728539
80,1.5168694,3.150787,"('dominated', 'dominating')",-0.20242685,-0.14031684,-0.7931719,-0.82272255,0.1737569,0.7292493,-0.5554924
33,-1.4465897,-2.4884892,"('wrong', 'right')",0.48993164,0.43422812,-1.1588342,-0.9595334,-0.7051641,-1.0045981,0.299434
39,1.4100634,1.5029483,"('exploitative', 'cooperative')",0.7029563,0.7273099,0.54457504,0.45498013,0.8858649,0.8950795,-0.0092146
70,1.3784152,2.9791584,"('lethargic', 'energetic')",-0.1976667,-0.15891792,0.48662776,0.34418982,0.5557921,1.0548101,-0.499018
