,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.0996525,-2.3795404,"('unfriendly', 'friendly')",1.1943736,0.92090786,-0.4526395,-0.7293163,0.2766768
86,-2.043756,-2.356765,"('uninfluential', 'influential')",-0.49181527,-0.77336323,-1.2677857,-1.5650642,0.2972785
53,-1.7604789,-1.810783,"('uncreative', 'creative')",0.21450523,0.09393224,-0.7729868,-0.8584254,0.0854386
9,-1.5318388,-1.8009024,"('unaffectionate', 'caring')",0.8282796,0.676382,-0.3517796,-0.5622602,0.2104806
10,-1.5088608,-1.5851582,"('unsympathetic', 'sympathetic')",-0.6666634,-0.7668109,-1.0877621,-1.1759846,0.0882225
8,-1.4653941,-1.7083747,"('unaffectionate', 'affectionate')",0.4120816,0.26315215,-0.5266563,-0.7226113,0.195955
0,-1.3526067,-1.6481099,"('unsociable', 'sociable')",-0.2664503,-0.43441564,-0.8095285,-1.0412627,0.2317342
57,-1.3102561,-1.470343,"('unimaginative', 'imaginative')",-2.8879714,-3.0916493,-2.0991137,-2.2809961,0.1818824
69,1.2046479,1.0433542,"('lazy', 'industrious')",-0.24722639,-0.3419721,0.4787108,0.350691,0.1280198
46,-1.1716954,-1.1910369,"('uncompetitive', 'competitive')",-0.8457071,-0.8688182,-1.0087012,-1.0299276,0.0212264
6,-1.1677408,-1.2901362,"('distant', 'open')",-0.5615558,-0.74343014,-0.8646483,-1.0167832,0.1521349
44,1.1428002,1.1997709,"('prejudiced', 'unprejudiced')",-1.4114939,-1.4308032,-0.1343468,-0.1155161,-0.0188307
28,-1.1410743,-1.3828526,"('disloyal', 'loyal')",0.7041109,0.72336686,-0.2184817,-0.3297428,0.1112611
77,-1.1388444,-1.3852997,"('unmotivated', 'motivated')",-1.2270879,-1.1836146,-1.1829661,-1.2844572,0.1014911
23,-1.1387353,-1.198825,"('insincere', 'sincere')",5.0802183,5.1730447,1.9707415,1.9871099,-0.0163684
45,-1.0523195,-1.0294936,"('incompetent', 'competent')",-0.2918319,-0.41345102,-0.6720757,-0.7214723,0.0493966
72,-1.0517544,-0.989357,"('unambitious', 'ambitious')",-0.99165946,-0.8238052,-1.0217069,-0.9065811,-0.1151258
61,-1.0452231,-1.1599984,"('illogical', 'logical')",0.3571896,0.26863804,-0.3440168,-0.4456802,0.1016634
24,-0.9797665,-1.1013455,"('dishonest', 'honest')",0.21345733,0.25768688,-0.3831546,-0.4218293,0.0386747
63,-0.9273315,-0.89555687,"('unperceptive', 'insightful')",0.5997426,0.5225889,-0.1637945,-0.186484,0.0226895
73,0.8708128,0.92829937,"('helpless', 'self-reliant')",-2.6252246,-2.6050162,-0.8772059,-0.8383584,-0.0388475
36,-0.8696089,-0.9731244,"('hostile', 'amicable')",-0.23506944,-0.43057048,-0.5523391,-0.7018474,0.1495083
19,-0.855713,-0.79417336,"('inhospitable', 'hospitable')",-0.37834132,-0.4033076,-0.6170272,-0.5987405,-0.0182867
58,-0.84453726,-0.6657878,"('undiscriminating', 'discriminating')",0.017935151,0.061326977,-0.4133011,-0.3022304,-0.1110707
48,-0.78687817,-0.7845621,"('unintelligent', 'intelligent')",0.7432897,0.8080203,-0.0217942,0.0117291,-0.0335233
54,-0.7793257,-0.8188112,"('incapable', 'capable')",0.5369909,0.60533404,-0.1211674,-0.1067386,-0.0144288
84,0.7648734,0.65453565,"('inferior', 'superior')",1.2351285,1.2441182,1.000001,0.9493269,0.0506741
38,-0.7602305,-0.73863333,"('untruthful', 'truthful')",-0.37769023,-0.19202657,-0.5689604,-0.4653299,-0.1036305
67,0.73509157,0.6541667,"('doubtful', 'determined')",-0.50902104,-0.5260021,0.1130353,0.0640823,0.048953
7,-0.7324184,-0.714093,"('insensitive', 'sensitive')",0.27278456,0.15442808,-0.2298169,-0.2798325,0.0500156
51,-0.693448,-0.7034846,"('uneducated', 'educated')",0.16410396,0.07362819,-0.264672,-0.3149282,0.0502562
3,-0.68594164,-0.53172237,"('repellent', 'pleasant')",0.63634306,0.68920356,-0.0247993,0.0787406,-0.1035399
26,-0.6390203,-0.85175294,"('hardhearted', 'benevolent')",1.6803701,1.379222,0.5206749,0.2637345,0.2569404
82,-0.63773465,-0.5167283,"('poor', 'rich')",5.592454,5.6944513,2.4773598,2.5888615,-0.1115017
43,-0.62181056,-0.6924114,"('irresponsible', 'responsible')",0.21717724,0.097062275,-0.2023167,-0.2976746,0.0953579
55,-0.61641496,-0.54086864,"('incompetent', 'clever')",0.17368677,0.16805665,-0.2213641,-0.186406,-0.0349581
50,0.6093237,0.70444185,"('clumsy', 'skillful')",0.14014223,0.08012585,0.374733,0.3922839,-0.0175509
21,-0.598911,-0.5146755,"('immoral', 'moral')",-0.37629843,-0.4266665,-0.4876047,-0.470671,-0.0169337
5,-0.59231186,-0.6588226,"('distant', 'outgoing')",-0.395868,-0.5267208,-0.4940899,-0.5927717,0.0986818
66,-0.5918047,-0.9646174,"('inactive', 'active')",0.0636707,-0.14009228,-0.264067,-0.5523548,0.2882878
