,sunoco_male,sunoco_female,tuple,inc_male,inc_female,average_male,average_female,male-female
45,-1.7177979,-1.7895454,"('incompetent', 'competent')",-0.7282702,-0.7066974,-1.223034,-1.2481214,0.0250874
70,-1.5592304,-1.5680587,"('lethargic', 'energetic')",0.13914508,0.07524776,-0.7100427,-0.7464055,0.0363628
10,-1.5157788,-1.4791218,"('unsympathetic', 'sympathetic')",-0.643258,-0.56036705,-1.0795183,-1.0197444,-0.0597739
85,1.463526,1.4283289,"('insignificant', 'prestigious')",0.95134485,1.0967107,1.2074354,1.2625198,-0.0550844
82,-1.4035032,-1.3625706,"('poor', 'rich')",5.881916,5.416713,2.2392063,2.0270712,0.2121351
69,1.2874486,1.2328662,"('lazy', 'industrious')",-0.63749814,-0.35184604,0.3249753,0.4405101,-0.1155348
73,1.2550827,1.248256,"('helpless', 'self-reliant')",-3.061804,-2.7549994,-0.9033607,-0.7533717,-0.149989
55,-1.16564,-1.3626878,"('incompetent', 'clever')",-0.08926566,-0.17503107,-0.6274529,-0.7688594,0.1414065
57,-1.1299484,-1.1685786,"('unimaginative', 'imaginative')",-2.8699934,-2.6490436,-1.9999709,-1.9088111,-0.0911598
39,1.1298364,0.8598881,"('exploitative', 'cooperative')",0.13187984,0.1393678,0.6308581,0.4996279,0.1312302
68,-1.0938345,-1.0527487,"('dependent', 'independent')",-0.55280757,-0.46896318,-0.823321,-0.7608559,-0.0624651
46,-1.0693862,-1.1962191,"('uncompetitive', 'competitive')",-0.57874954,-0.7100295,-0.8240679,-0.9531243,0.1290564
22,-1.0087374,-1.0820912,"('untrustworthy', 'trustworthy')",-1.2419366,-1.2783657,-1.125337,-1.1802285,0.0548915
33,0.9674439,0.971293,"('wrong', 'right')",-0.7222726,-0.43496698,0.1225857,0.268163,-0.1455773
78,-0.9642941,-0.75653636,"('nonresilient', 'resilient')",0.48576158,0.66117966,-0.2392662,-0.0476784,-0.1915878
6,-0.924632,-0.71365696,"('distant', 'open')",-0.3482624,0.11745122,-0.6364472,-0.2981029,-0.3383443
8,-0.91798663,-0.76719606,"('unaffectionate', 'affectionate')",0.12797111,0.5328963,-0.3950078,-0.1171499,-0.2778579
51,-0.8877109,-0.80948627,"('uneducated', 'educated')",1.0405976,0.85234445,0.0764433,0.0214291,0.0550142
2,0.8788366,0.6487876,"('unlikable', 'likable')",0.8500443,0.836815,0.8644404,0.7428013,0.1216391
13,-0.87078536,-0.8454852,"('impolite', 'polite')",-0.65980613,-0.6308919,-0.7652957,-0.7381886,-0.0271071
71,0.8688412,0.7164313,"('diffident', 'self-confident')",0.4503109,0.5696959,0.6595761,0.6430636,0.0165125
86,-0.86502206,-0.8599415,"('uninfluential', 'influential')",-0.23488829,-0.15641096,-0.5499552,-0.5081762,-0.041779
28,-0.84779793,-0.8330139,"('disloyal', 'loyal')",0.6177523,0.65405875,-0.1150228,-0.0894776,-0.0255452
83,0.8027862,0.6881261,"('powerless', 'powerful')",-0.80139667,-0.8196102,0.0006948,-0.065742,0.0664368
53,-0.7536282,-0.6285065,"('uncreative', 'creative')",0.646755,0.81485605,-0.0534366,0.0931748,-0.1466114
43,-0.74030256,-0.933744,"('irresponsible', 'responsible')",0.19317418,0.16154549,-0.2735642,-0.3860993,0.1125351
19,-0.7092566,-0.45240408,"('inhospitable', 'hospitable')",-0.09960386,0.35764474,-0.4044302,-0.0473797,-0.3570505
18,-0.6872014,-0.7240546,"('disagreeable', 'welcoming')",-0.50072134,-0.54986984,-0.5939614,-0.6369622,0.0430008
16,0.6419777,0.44518873,"('unpopular', 'popular')",0.71949047,0.5052447,0.6807341,0.4752167,0.2055174
24,-0.64183134,-0.6245976,"('dishonest', 'honest')",0.47956544,0.62660086,-0.0811329,0.0010016,-0.0821345
1,-0.6394569,-0.34391555,"('unfriendly', 'friendly')",1.5478985,1.9547862,0.4542208,0.8054353,-0.3512145
41,-0.61484057,-0.4626668,"('unforgiving', 'forgiving')",-0.1990003,-0.17962113,-0.4069204,-0.321144,-0.0857764
87,0.5857963,0.118734404,"('unsuccessful', 'successful')",1.066761,0.93679726,0.8262787,0.5277658,0.2985129
81,-0.5684285,-0.834485,"('submissive', 'aggressive')",-0.7145176,-0.91519856,-0.6414731,-0.8748418,0.2333687
3,-0.52969766,-0.5172221,"('repellent', 'pleasant')",0.2060464,0.120732516,-0.1618256,-0.1982448,0.0364192
77,-0.5133002,-0.5658171,"('unmotivated', 'motivated')",-1.196001,-1.0744578,-0.8546506,-0.8201374,-0.0345132
63,-0.49439555,-0.4816348,"('unperceptive', 'insightful')",0.70662767,0.8772735,0.1061161,0.1978194,-0.0917033
56,-0.49401382,-0.51121414,"('impractical', 'practical')",-0.3203956,-0.31941155,-0.4072047,-0.4153128,0.0081081
