,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,male-female
31,-1.7447431,-1.778381,"('evil', 'good')",-0.75329643,-1.0819323,-1.2490197,-1.4301567,0.181137
36,-1.6610883,-1.8134384,"('hostile', 'amicable')",0.2784001,-0.112510875,-0.6913441,-0.9629747,0.2716306
6,-1.6122621,-1.6420937,"('distant', 'open')",0.0832099,-0.06070872,-0.7645261,-0.8514012,0.0868751
5,-1.3932853,-1.5694817,"('distant', 'outgoing')",-0.30641282,-0.48528913,-0.849849,-1.0273855,0.1775365
81,1.3515711,1.574026,"('submissive', 'aggressive')",-0.8244283,-0.4204135,0.2635714,0.5768062,-0.3132348
53,-1.3200296,-1.4981527,"('uncreative', 'creative')",0.6900227,0.63147974,-0.3150035,-0.4333365,0.118333
62,1.0723578,1.2638462,"('incompetent', 'brilliant')",0.0087675415,0.45980975,0.5405626,0.861828,-0.3212654
14,1.0654896,0.98626995,"('antisocial', 'social')",-0.2934069,-0.13869265,0.3860414,0.4237887,-0.0377473
4,-1.0404999,-1.1021864,"('disliked', 'liked')",-5.911022,-6.1668453,-3.4757609,-3.6345158,0.1587549
56,0.99173373,1.2277929,"('impractical', 'practical')",-0.4682305,-0.15052284,0.2617516,0.538635,-0.2768834
79,-0.9679198,-0.82899225,"('wavering', 'unwavering')",-0.00033143722,-0.17995,-0.4841256,-0.5044711,0.0203455
37,0.9562609,0.7768996,"('fake', 'genuine')",0.5678542,0.64723945,0.7620575,0.7120695,0.049988
30,0.9306972,0.95353776,"('intolerant', 'tolerant')",1.2157029,1.3487498,1.0732,1.1511438,-0.0779438
87,0.92022574,0.8283583,"('unsuccessful', 'successful')",1.1414753,1.1180866,1.0308505,0.9732224,0.0576281
73,0.82824266,0.77618647,"('helpless', 'self-reliant')",-2.4075599,-2.526174,-0.7896586,-0.8749938,0.0853352
74,0.8250354,0.7807332,"('undedicated', 'dedicated')",0.46772644,0.41015905,0.6463809,0.5954461,0.0509348
70,0.81623995,1.0744456,"('lethargic', 'energetic')",0.7995814,1.1334809,0.8079107,1.1039633,-0.2960526
71,-0.8077453,-1.010852,"('diffident', 'self-confident')",0.27417767,0.13522795,-0.2667838,-0.437812,0.1710282
55,0.8013092,0.641796,"('incompetent', 'clever')",0.08834675,0.26275575,0.444828,0.4522759,-0.0074479
60,0.8000596,0.8014439,"('inefficient', 'efficient')",-0.27287483,0.11508046,0.2635924,0.4582622,-0.1946698
1,-0.7955141,-1.1303109,"('unfriendly', 'friendly')",1.7862624,1.6587312,0.4953741,0.2642102,0.2311639
88,-0.76459694,-0.6225162,"('low', 'eminent')",0.24278195,0.37136704,-0.2609075,-0.1255746,-0.1353329
21,0.7405239,0.62335014,"('immoral', 'moral')",-0.5555925,-0.5127896,0.0924657,0.0552803,0.0371854
33,0.70634794,0.43021163,"('wrong', 'right')",-0.34102356,-0.59403205,0.1826622,-0.0819102,0.2645724
58,0.7041728,0.64110816,"('undiscriminating', 'discriminating')",0.55538356,0.5640225,0.6297781,0.6025653,0.0272128
80,0.69879526,0.6845487,"('dominated', 'dominating')",-1.2844732,-1.0760968,-0.292839,-0.195774,-0.097065
43,0.6911494,0.8774115,"('irresponsible', 'responsible')",0.5345507,0.79893255,0.6128501,0.838172,-0.2253219
39,0.68570083,0.397546,"('exploitative', 'cooperative')",0.03773201,-0.034661595,0.3617164,0.1814422,0.1802742
19,-0.6700549,-0.5746024,"('inhospitable', 'hospitable')",0.16898437,0.14122334,-0.2505353,-0.2166895,-0.0338458
85,-0.6619181,-0.7126718,"('insignificant', 'prestigious')",0.5882388,0.3332644,-0.0368397,-0.1897037,0.152864
11,0.6619031,0.64149636,"('unhelpful', 'helpful')",1.4113126,1.7643853,1.0366079,1.2029408,-0.1663329
7,0.65929866,0.61377174,"('insensitive', 'sensitive')",0.7809329,1.0033975,0.7201158,0.8085846,-0.0884688
16,-0.63216186,-0.45697123,"('unpopular', 'popular')",0.03161782,-0.0777923,-0.300272,-0.2673818,-0.0328902
83,-0.5902616,-0.8232559,"('powerless', 'powerful')",-0.9270958,-0.87852234,-0.7586787,-0.8508891,0.0922104
2,0.58332354,0.707669,"('unlikable', 'likable')",0.4082019,0.4668218,0.4957627,0.5872454,-0.0914827
67,0.57515097,0.59673274,"('doubtful', 'determined')",-0.60367686,-0.45272952,-0.0142629,0.0720016,-0.0862645
49,-0.5743791,-0.49306458,"('unable', 'able')",-0.4036284,-0.3022865,-0.4890037,-0.3976755,-0.0913282
