,plum_male,plum_female,tuple,creek_male,creek_female,timber_male,timber_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
85,1.6755733,1.8688221,"('insignificant', 'prestigious')",-0.08957794,-0.14755553,1.3496224,1.4615027,-0.29360133,-0.19697407,0.8093763,0.7911989,0.6902786,0.7553988,-0.0651202
34,-1.5881578,-1.5315415,"('mean', 'honorable')",-0.76427156,-0.6151256,0.1290339,0.15085256,-0.011578605,-0.00890021,6.5254917,6.7238374,0.8581036,0.9438246,-0.085721
70,-1.5704625,-1.8383824,"('lethargic', 'energetic')",-0.38194853,-0.3887513,-0.15421994,-0.36343932,-0.4585355,-0.5815182,0.566182,0.61151457,-0.3997968,-0.5121153,0.1123185
81,-1.5457115,-2.072676,"('submissive', 'aggressive')",-1.0399603,-1.1946745,-0.7296346,-0.99484146,-0.41343778,-0.71906376,-1.2908914,-1.4045477,-1.0039271,-1.2771606,0.2732335
51,-1.4900941,-1.8606507,"('uneducated', 'educated')",-0.60675204,-0.6902783,-0.589346,-0.94625527,0.08999151,-0.4297546,0.5945104,0.42709917,-0.400338,-0.699968,0.29963
65,-1.388828,-1.8820677,"('insecure', 'secure')",-1.8984466,-1.9309186,0.07329614,-0.2678005,0.2896482,0.14749037,-0.47739276,-0.5130648,-0.6803446,-0.8892722,0.2089276
52,1.3861912,1.5282239,"('irrational', 'rational')",0.20030034,0.12200439,0.78112507,0.7924293,-0.45625278,-0.3179357,0.46509638,0.45485398,0.4752921,0.5159152,-0.0406231
33,1.3631617,1.4648497,"('wrong', 'right')",0.4777599,0.40841094,1.4671501,1.4527954,0.35071558,0.33218077,-0.05819068,-0.17627685,0.7201193,0.696392,0.0237273
86,-1.313619,-1.7159504,"('uninfluential', 'influential')",-0.8218591,-0.8999187,0.26413712,0.015357029,-0.32462627,-0.5669223,0.09541956,0.03022949,-0.4201095,-0.6274409,0.2073314
10,-1.2765372,-1.9267248,"('unsympathetic', 'sympathetic')",-1.1293913,-1.3203429,-0.2870515,-0.7968157,-0.76443756,-1.1997517,-0.27640757,-0.45322812,-0.746765,-1.1393726,0.3926076
