,nabors_male,nabors_female,tuple,industries_male,industries_female,ltd_male,ltd_female,average_male,average_female,male-female
28,-1.7516843,-1.6379772,"('disloyal', 'loyal')",-0.12155496,-0.1280869,0.31456283,0.43306527,-0.5195588,-0.444333,-0.0752258
86,-1.5960995,-1.438699,"('uninfluential', 'influential')",-0.65135276,-0.51937497,-0.04112804,0.059914373,-0.7628601,-0.6327199,-0.1301402
1,-1.4254233,-1.378793,"('unfriendly', 'friendly')",-0.0021526907,-0.008469969,1.0751697,1.0172627,-0.1174688,-0.1233334,0.0058646
9,-1.2973828,-1.2815496,"('unaffectionate', 'caring')",0.18826212,0.07717972,0.2506069,0.0826013,-0.2861713,-0.3739229,0.0877516
83,-1.2893827,-1.2053488,"('powerless', 'powerful')",-0.3064108,-0.32362399,-1.3443544,-1.4716897,-0.9800493,-1.0002209,0.0201716
10,-1.2632776,-1.2539172,"('unsympathetic', 'sympathetic')",-1.1663718,-1.2023784,-0.002066806,-0.100749955,-0.8105721,-0.8523485,0.0417764
72,-1.1752665,-1.2677387,"('unambitious', 'ambitious')",-0.30736423,-0.4091972,-0.06092396,-0.265778,-0.5145182,-0.6475713,0.1330531
48,-1.1049044,-1.0205679,"('unintelligent', 'intelligent')",-0.49071592,-0.5103145,-0.04324159,0.023595847,-0.5462873,-0.5024288,-0.0438585
20,-1.0820659,-1.0361834,"('rough', 'thoughtful')",-0.44482416,-0.4290391,0.3743326,0.3512857,-0.3841858,-0.3713123,-0.0128735
36,-1.0618663,-1.0833201,"('hostile', 'amicable')",-0.27552277,-0.2059044,-0.23383108,-0.37333405,-0.52374,-0.5541862,0.0304462
8,-1.0365261,-1.0170968,"('unaffectionate', 'affectionate')",0.3799715,0.4814882,-0.014340527,-0.20927402,-0.2236317,-0.2482942,0.0246625
78,-1.0319844,-1.0314795,"('nonresilient', 'resilient')",-0.1281266,-0.189408,0.1786932,0.044401582,-0.3271393,-0.392162,0.0650227
2,1.0044577,0.81277686,"('unlikable', 'likable')",0.28264156,0.23795176,0.21406607,0.21474792,0.5003884,0.4218255,0.0785629
21,-0.89466953,-0.9857332,"('immoral', 'moral')",-0.9637866,-0.85476786,-1.2682438,-1.206889,-1.0422333,-1.0157967,-0.0264366
51,-0.8134303,-0.6180925,"('uneducated', 'educated')",-0.13053533,-0.056420315,0.0068835113,0.22948107,-0.3123607,-0.1483439,-0.1640168
15,0.81133175,1.0127801,"('boring', 'funny')",0.6295019,0.75764793,0.48325205,0.66504,0.6413619,0.8118227,-0.1704608
77,-0.80580974,-0.76116085,"('unmotivated', 'motivated')",-0.29889217,-0.39366797,-0.7882991,-0.7058711,-0.6310003,-0.6202333,-0.010767
3,-0.7805893,-0.67002004,"('repellent', 'pleasant')",-0.41928643,-0.28203142,0.15284012,0.18079184,-0.3490119,-0.2570865,-0.0919254
30,0.7767543,0.74306417,"('intolerant', 'tolerant')",1.2401638,1.2143508,1.0446051,1.009216,1.0205078,0.988877,0.0316308
25,-0.77054864,-0.7297279,"('egoistic', 'altruistic')",0.7911332,0.84858495,-0.08591323,-0.053111568,-0.0217762,0.0219152,-0.0436914
49,-0.77013016,-0.8305963,"('unable', 'able')",-0.077630475,-0.22367115,-0.546937,-0.61084914,-0.4648992,-0.5550389,0.0901397
57,-0.7461878,-0.48813164,"('unimaginative', 'imaginative')",0.13953334,0.25614238,-0.4261016,-0.3656235,-0.344252,-0.1992042,-0.1450478
54,-0.71164215,-0.62647367,"('incapable', 'capable')",0.042153396,-0.17431453,0.121010214,0.12647085,-0.1828262,-0.2247724,0.0419462
68,-0.6955979,-0.8250965,"('dependent', 'independent')",-1.7311813,-1.8217181,-1.0279597,-1.25709,-1.1515797,-1.3013015,0.1497218
4,0.6854442,0.8127495,"('disliked', 'liked')",0.831432,0.88690114,-3.5394878,-3.6848598,-0.6742039,-0.6617364,-0.0124675
53,-0.6826799,-0.7427212,"('uncreative', 'creative')",-0.19398944,-0.08740753,0.19944207,0.18515277,-0.2257424,-0.214992,-0.0107504
32,-0.66874367,-0.8276773,"('unkind', 'kind')",-0.19581786,-0.45039302,0.69082326,0.590408,-0.0579128,-0.2292208,0.171308
73,0.6300319,0.4945326,"('helpless', 'self-reliant')",0.7211541,0.45556358,-2.695751,-2.9600391,-0.4481883,-0.669981,0.2217927
