,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.6301875,-2.3923342,"('unsympathetic', 'sympathetic')",-3.2864492,-3.2102427,-1.7239635,-1.6235653,-0.30935824,-0.17392959,-1.9874896,-1.850018,-0.1374716
55,-2.137903,-2.0319366,"('incompetent', 'clever')",-1.8055665,-1.8123916,-0.6406173,-0.50509393,-0.18701577,-0.0376308,-1.1927757,-1.0967634,-0.0960123
81,-2.1129324,-1.8043822,"('submissive', 'aggressive')",-3.2047958,-3.0669374,-1.379613,-1.2198659,-1.2652614,-1.1508852,-1.9906507,-1.8105177,-0.180133
21,-2.0844886,-1.9308746,"('immoral', 'moral')",-2.3187902,-2.3397021,-0.55079764,-0.49108106,-0.9144839,-0.82997894,-1.4671401,-1.3979092,-0.0692309
85,2.0603235,1.7861682,"('insignificant', 'prestigious')",2.129385,2.0589046,2.3146966,2.1746423,0.29602367,0.13749877,1.7001072,1.5393035,0.1608037
69,1.8690311,1.8128633,"('lazy', 'industrious')",2.5213509,2.472327,1.137646,1.187245,-0.8276834,-0.8261432,1.175086,1.1615731,0.0135129
73,1.7895885,1.7721361,"('helpless', 'self-reliant')",2.6342745,2.6157665,1.2848268,1.2286273,-3.4213333,-3.3995218,0.5718391,0.554252,0.0175871
46,-1.7615997,-1.6854935,"('uncompetitive', 'competitive')",-1.6853429,-1.6859845,-0.5781139,-0.4826414,-0.5545513,-0.55339444,-1.1449019,-1.1018785,-0.0430234
65,-1.7586491,-1.6730169,"('insecure', 'secure')",-1.8017523,-1.8254029,-0.71206933,-0.65861905,0.067747146,0.19600295,-1.051181,-0.9902589,-0.0609221
57,-1.687242,-1.5940658,"('unimaginative', 'imaginative')",-1.9340651,-1.7817711,-1.2977942,-1.1967062,-3.8777626,-3.827348,-2.1992159,-2.0999727,-0.0992432
30,-1.6422358,-1.4573729,"('intolerant', 'tolerant')",-2.0614462,-2.0501294,-0.18186422,-0.09783047,-0.14036198,0.028590132,-1.006477,-0.8941857,-0.1122913
11,-1.6165806,-1.6215627,"('unhelpful', 'helpful')",-1.6274068,-1.5781779,-0.14613785,-0.017445283,2.1760988,2.2004497,-0.3035067,-0.2541841,-0.0493226
62,-1.6144544,-1.3705604,"('incompetent', 'brilliant')",-1.9929154,-1.8395422,-0.39843282,-0.15647338,-0.6626466,-0.38098735,-1.1671124,-0.9368908,-0.2302216
48,-1.5895555,-1.5884887,"('unintelligent', 'intelligent')",-1.3441887,-1.4559821,-0.025184453,-0.10856189,-0.2312158,-0.22913282,-0.7975361,-0.8455414,0.0480053
71,1.5523164,1.3981668,"('diffident', 'self-confident')",1.15451,0.97251254,2.1150937,2.0440903,0.5799743,0.55186325,1.3504736,1.2416582,0.1088154
3,-1.5447446,-1.4645404,"('repellent', 'pleasant')",-1.2862451,-1.3480968,-1.6663806,-1.645267,0.05508338,0.18557276,-1.1105719,-1.0680829,-0.042489
70,-1.4904134,-1.4623125,"('lethargic', 'energetic')",-1.8616922,-1.8115773,-0.9605921,-0.84823227,-0.11672221,-0.0022886228,-1.107355,-1.0311027,-0.0762523
60,-1.4736575,-1.3105564,"('inefficient', 'efficient')",-2.267599,-2.1723146,0.15954219,0.32592797,-0.043196913,0.19377492,-0.9062279,-0.740792,-0.1654359
35,1.4213326,1.331625,"('corrupt', 'incorrupt')",2.6870012,2.6214404,-0.35718194,-0.520922,-0.4041803,-0.4813713,0.8367428,0.737693,0.0990498
33,1.3747458,1.2294832,"('wrong', 'right')",1.4317374,1.3336748,1.651056,1.5897471,-0.25922987,-0.4162963,1.0495775,0.9341522,0.1154253
14,-1.3741226,-1.1611441,"('antisocial', 'social')",-2.4976552,-2.4826121,0.056356102,0.18442601,-1.0664258,-0.8954163,-1.2204618,-1.0886867,-0.1317751
86,-1.3726417,-1.4028918,"('uninfluential', 'influential')",-1.7681434,-1.7590133,-0.20981315,-0.24632294,-0.9607203,-0.9498852,-1.0778296,-1.0895283,0.0116987
