,interpublic_male,interpublic_female,tuple,group_male,group_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.5939713,-2.6221802,"('unsympathetic', 'sympathetic')",1.0628568,1.0468186,-1.1476432,-1.3040261,0.18861803,0.20939267,-0.6225349,-0.6674988,0.0449639
69,2.5685391,2.6835904,"('lazy', 'industrious')",-0.20680298,-0.30553,0.88846195,0.94850296,-0.30873805,-0.38537177,0.735365,0.7352979,6.71e-05
86,-2.1847055,-2.1667798,"('uninfluential', 'influential')",0.423873,0.4552712,-1.2741846,-1.5601248,-0.14890207,-0.2994446,-0.7959798,-0.8927695,0.0967897
46,-2.0815873,-2.198025,"('uncompetitive', 'competitive')",2.9265146,2.9431744,-0.4697978,-0.69126695,-0.40969193,-0.55540395,-0.0086406,-0.1253804,0.1167398
55,-1.952321,-2.1002114,"('incompetent', 'clever')",2.5032456,2.59645,-0.2098261,-0.3486324,0.12610084,0.084780954,0.1167998,0.0580968,0.058703
48,-1.9392309,-2.0588179,"('unintelligent', 'intelligent')",-0.09820204,-0.019414637,-1.0250694,-1.093892,0.50408036,0.48490393,-0.6396055,-0.6718051,0.0321996
78,-1.7328881,-1.7841618,"('nonresilient', 'resilient')",0.8465367,0.6382617,0.10018362,-0.060083214,0.092005685,-0.11790761,-0.1735405,-0.3309728,0.1574323
8,-1.7067914,-1.5477111,"('unaffectionate', 'affectionate')",-1.4743499,-1.2573675,-2.0922818,-2.1239924,0.10496464,0.39656088,-1.2921146,-1.1331276,-0.158987
63,-1.5906309,-1.66483,"('unperceptive', 'insightful')",1.9718701,1.8688242,0.51133424,0.19892743,1.0674944,0.7278545,0.4900169,0.282694,0.2073229
44,1.5650578,1.6335884,"('prejudiced', 'unprejudiced')",-0.036640458,0.051885992,-0.43656757,-0.3203783,-1.4226676,-1.2805036,-0.0827045,0.0211481,-0.1038526
28,-1.5066911,-1.4729666,"('disloyal', 'loyal')",-0.009290017,0.16081573,-0.9668982,-1.011772,1.2426564,1.4169297,-0.3100557,-0.2267483,-0.0833074
43,-1.4827943,-1.5310062,"('irresponsible', 'responsible')",1.3970978,1.4976621,-0.25288272,-0.35320485,0.990874,0.93885106,0.1630737,0.1380755,0.0249982
9,-1.4514958,-1.3419327,"('unaffectionate', 'caring')",-1.0391331,-0.9101795,-1.5820938,-1.6937627,1.136177,1.3479373,-0.7341363,-0.6494843,-0.084652
0,-1.3642391,-1.4253206,"('unsociable', 'sociable')",0.9329642,0.9802363,-0.3870451,-0.42086023,-0.5131823,-0.5172327,-0.3328755,-0.3457943,0.0129188
21,-1.2976756,-1.2950937,"('immoral', 'moral')",1.4609601,1.5803614,-0.044717774,0.06550811,-1.0151502,-1.0179467,-0.2241459,-0.1667927,-0.0573532
15,1.2890115,1.3710794,"('boring', 'funny')",-1.240978,-1.0537403,0.538822,0.67727304,0.2097398,0.34889466,0.1991488,0.3358767,-0.1367279
73,1.2597216,1.2830793,"('helpless', 'self-reliant')",-0.16931257,-0.006000217,0.17462054,0.2878312,-3.830076,-3.7888806,-0.6412616,-0.5559926,-0.085269
23,-1.2105503,-1.1795217,"('insincere', 'sincere')",0.58632433,0.7347313,-0.4633687,-0.4850663,5.9568048,6.059064,1.2173026,1.2823018,-0.0649992
12,-1.2063998,-1.217734,"('unsupportive', 'supportive')",1.3919305,1.2858136,-0.8924473,-1.171318,-1.7102089,-1.9209288,-0.6042814,-0.7560418,0.1517604
35,1.194111,1.527728,"('corrupt', 'incorrupt')",-2.5567975,-2.4295053,-0.4326467,-0.20160718,-0.3180924,-0.25972307,-0.5283564,-0.3407769,-0.1875795
51,-1.1869653,-1.2365407,"('uneducated', 'educated')",1.5026958,1.6216722,0.9801637,1.0005134,0.6478723,0.5711833,0.4859416,0.4892071,-0.0032655
1,-1.1766031,-1.0189896,"('unfriendly', 'friendly')",-1.5919076,-1.4867572,-1.0877858,-1.138708,1.465846,1.5971123,-0.5976126,-0.5118357,-0.0857769
41,-1.1468469,-1.0155144,"('unforgiving', 'forgiving')",0.8124534,0.8174542,0.36288038,0.41421625,0.45552132,0.28347397,0.121002,0.1249075,-0.0039055
3,-1.1354767,-1.2270137,"('repellent', 'pleasant')",1.2255651,1.145185,0.5559722,0.59452724,0.2847644,0.2986396,0.2327062,0.2028345,0.0298717
42,1.1233065,1.0519992,"('unreliable', 'reliable')",2.1708994,2.1302412,0.542,0.26662144,-2.5036423,-2.8277092,0.3331409,0.1552882,0.1778527
45,-1.1162627,-1.1581397,"('incompetent', 'competent')",1.200162,1.211688,-0.21008848,-0.3686289,-0.05580479,-0.18989773,-0.0454985,-0.1262446,0.0807461
39,1.0751317,1.1358258,"('exploitative', 'cooperative')",2.1509027,2.0793917,1.7303357,1.621601,0.21295711,0.26019502,1.2923318,1.2742534,0.0180784
53,-1.0439924,-1.0948147,"('uncreative', 'creative')",-0.0551953,-0.12332218,0.66383624,0.3212729,1.5935911,1.483863,0.2895599,0.1467498,0.1428101
67,1.0338598,1.0149964,"('doubtful', 'determined')",1.1953387,1.3241103,0.7604913,0.9395635,-0.33496574,-0.255098,0.663681,0.755893,-0.092212
59,1.0192068,1.2187042,"('foolish', 'wise')",-1.9553001,-1.8658805,-0.11915456,-0.026548792,0.13993537,0.16178374,-0.2288281,-0.1279853,-0.1008428
33,0.99843425,1.0884352,"('wrong', 'right')",-0.3816217,-0.38088608,0.10634908,-0.03587244,-0.65786934,-0.77795315,0.0163231,-0.0265691,0.0428922
49,-0.97184825,-0.8110914,"('unable', 'able')",-0.8531521,-0.6711538,-1.037817,-0.92424077,-0.9083798,-0.7912013,-0.9427993,-0.7994218,-0.1433775
57,-0.9675435,-1.0610995,"('unimaginative', 'imaginative')",0.64708465,0.48829615,-0.2728884,-0.6344383,-2.078326,-2.2884676,-0.6679183,-0.8739274,0.2060091
75,0.9212046,1.0806925,"('meek', 'impulsive')",-0.9755562,-0.72781324,-0.6062198,-0.47030434,-0.1745976,-0.15192136,-0.2087923,-0.0673366,-0.1414557
72,-0.89792997,-0.9662943,"('unambitious', 'ambitious')",1.1239328,1.1645747,-0.62267756,-0.6365693,-0.680375,-0.5450034,-0.2692624,-0.2458231,-0.0234393
11,-0.86015546,-0.8105803,"('unhelpful', 'helpful')",0.85467553,0.9685049,0.49634328,0.4692454,2.4563408,2.5295746,0.736801,0.7891861,-0.0523851
20,-0.8299717,-0.87558216,"('rough', 'thoughtful')",1.5129752,1.7094539,-0.20777503,0.12857828,0.334253,0.49016294,0.2023704,0.3631532,-0.1607828
85,0.80996644,1.0307779,"('insignificant', 'prestigious')",-2.3647337,-2.1371489,-1.0951413,-0.96559954,0.36001533,0.5328481,-0.5724733,-0.3847806,-0.1876927
62,-0.7944274,-0.7904741,"('incompetent', 'brilliant')",1.4966121,1.4963652,-0.35247922,-0.44957522,0.47019398,0.4178112,0.2049749,0.1685318,0.0364431
32,-0.7788271,-0.66136634,"('unkind', 'kind')",0.9701901,1.1492945,0.2404683,0.33217075,1.3295779,1.5345206,0.4403523,0.5886549,-0.1483026
65,-0.7780464,-0.89907235,"('insecure', 'secure')",1.7296882,1.6483023,0.71819156,0.7338769,-0.17065522,-0.27982783,0.3747945,0.3008198,0.0739747
61,-0.7774261,-0.7624886,"('illogical', 'logical')",0.29932088,0.20150661,0.034262545,-0.008727476,0.15155369,0.007850211,-0.0730723,-0.1404648,0.0673925
38,-0.760965,-0.64406496,"('untruthful', 'truthful')",-0.8499336,-0.7349216,-0.7955623,-0.86016345,0.39025632,0.39407668,-0.5040511,-0.4612683,-0.0427828
24,-0.7563078,-0.6293366,"('dishonest', 'honest')",-0.1931071,0.09053073,-1.3552841,-1.401793,1.1053278,1.2163255,-0.2998428,-0.1810683,-0.1187745
22,-0.7539651,-0.71275216,"('untrustworthy', 'trustworthy')",1.2402081,1.25335,-0.4249592,-0.4825555,-1.4267532,-1.5558623,-0.3413673,-0.374455,0.0330877
