,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,male-female
82,-1.6870921,-1.2513721,"('poor', 'rich')",-0.15858069,-0.19336379,6.0586314,6.5117526,1.4043196,1.6890055,-0.2846859
26,1.6432306,1.1936136,"('hardhearted', 'benevolent')",2.5794287,2.104147,2.119836,1.7733873,2.114165,1.6903826,0.4237824
69,1.4102091,1.2834045,"('lazy', 'industrious')",0.64643234,0.67919356,-0.8537966,-1.0682434,0.4009482,0.2981182,0.10283
33,1.2199082,0.99374676,"('wrong', 'right')",0.80294496,0.72754794,-0.5497337,-0.49026424,0.4910398,0.4103435,0.0806963
51,1.2150805,1.3062104,"('uneducated', 'educated')",-0.21758932,-0.54317075,0.7534109,0.60230255,0.583634,0.455114,0.12852
66,1.1778818,0.99339503,"('inactive', 'active')",-0.675239,-0.6902926,0.51150465,0.2118459,0.3380492,0.1716495,0.1663997
53,-1.1159286,-0.8048033,"('uncreative', 'creative')",0.86859125,0.9066546,0.66172266,0.48550138,0.1381284,0.1957842,-0.0576558
77,-1.1124827,-0.8551231,"('unmotivated', 'motivated')",-0.7941874,-0.71243215,-1.3550384,-1.4723264,-1.0872362,-1.0132939,-0.0739423
60,-1.112314,-0.382357,"('inefficient', 'efficient')",-0.3328915,-0.10643931,-0.2807743,-0.012527078,-0.5753266,-0.1671078,-0.4082188
3,-0.9984814,-0.67413247,"('repellent', 'pleasant')",-0.7788119,-0.7425541,0.64767873,0.6615649,-0.3765382,-0.2517072,-0.124831
22,-0.98102516,-0.4013027,"('untrustworthy', 'trustworthy')",-0.5290899,-0.4656167,-0.3245566,-0.26425624,-0.6115572,-0.3770585,-0.2344987
55,-0.9606633,-0.5945217,"('incompetent', 'clever')",-0.82759255,-0.8369184,0.39390558,0.4682245,-0.4647834,-0.3210719,-0.1437115
9,0.95839804,0.9457354,"('unaffectionate', 'caring')",1.0305982,0.8480153,1.3499639,1.325271,1.1129867,1.039674,0.0733127
49,-0.9412566,-0.8443716,"('unable', 'able')",-0.9531273,-1.0824568,-0.28051662,-0.27587414,-0.7249668,-0.7342342,0.0092674
87,0.9372493,0.8988271,"('unsuccessful', 'successful')",0.870562,0.52204114,0.6400722,0.5257348,0.8159612,0.6488676,0.1670936
10,-0.936822,-0.7067434,"('unsympathetic', 'sympathetic')",-1.0165964,-1.1679106,0.21997532,-0.0050809532,-0.5778144,-0.6265783,0.0487639
16,-0.91067386,-0.6051474,"('unpopular', 'popular')",-0.7267868,-0.8747378,0.18296722,0.11925708,-0.4848312,-0.4535427,-0.0312885
80,0.8843037,0.89436483,"('dominated', 'dominating')",0.1607752,-0.016686544,-0.0457777,-0.11685817,0.3331004,0.2536067,0.0794937
15,0.87528855,0.6928058,"('boring', 'funny')",0.067280024,-0.019651424,0.50277144,0.37150443,0.48178,0.3482196,0.1335604
74,0.8650405,1.2961061,"('undedicated', 'dedicated')",0.23399077,0.34706953,0.038323633,-0.029121261,0.3791183,0.5380181,-0.1588998
64,-0.85696524,-0.51033145,"('shy', 'confident')",-0.98285663,-0.7370934,-6.4051623,-6.3495336,-2.7483279,-2.5323194,-0.2160085
18,0.84485215,0.95802754,"('disagreeable', 'welcoming')",-0.8773497,-0.5556556,-0.80146956,-0.57593495,-0.277989,-0.0578543,-0.2201347
29,-0.81543005,-0.5855256,"('unfair', 'fair')",-0.31278652,-0.24802926,-0.6395615,-0.7688527,-0.5892593,-0.5341359,-0.0551234
61,-0.80161744,-0.28532162,"('illogical', 'logical')",0.30141652,0.3034396,-0.07653923,-0.056622617,-0.1922467,-0.0128349,-0.1794118
