,cbre_male,cbre_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,2.0425065,2.116052,"('exploitative', 'cooperative')",2.1937604,2.3757799,-0.027546147,0.07860898,1.4029071,1.5234803,-0.1205732
69,1.7259214,1.8257307,"('lazy', 'industrious')",-0.10129398,-0.17778796,-0.7550824,-0.8682052,0.2898483,0.2599125,0.0299358
73,1.2510102,1.1575981,"('helpless', 'self-reliant')",-0.29588926,-0.39642045,-3.1351473,-3.264459,-0.7266755,-0.834427,0.1077515
82,-1.1781703,-1.119085,"('poor', 'rich')",-0.050616134,-0.031222403,5.8284492,6.0027437,1.5332209,1.6174787,-0.0842578
57,-1.1770608,-1.1842853,"('unimaginative', 'imaginative')",-0.36120623,-0.24552065,-2.298969,-2.3205743,-1.2790787,-1.2501268,-0.0289519
2,1.14876,1.2854222,"('unlikable', 'likable')",1.531481,1.6476276,0.89732015,1.1010754,1.1925205,1.3447084,-0.1521879
52,1.1180736,0.8833673,"('irrational', 'rational')",-1.0884703,-1.2662243,0.08187011,-0.19409564,0.0371578,-0.1923175,0.2294753
59,1.1111097,1.0608803,"('foolish', 'wise')",-1.257329,-1.3291571,0.33938837,0.18345308,0.0643897,-0.0282746,0.0926643
33,1.0702438,1.056062,"('wrong', 'right')",-0.86763597,-0.9651438,-0.7641716,-0.8917565,-0.1871879,-0.2669461,0.0797582
46,-1.0633597,-0.99240124,"('uncompetitive', 'competitive')",1.691529,1.8036895,-0.4516059,-0.3087505,0.0588545,0.1675126,-0.1086581
10,-1.0581104,-1.1058552,"('unsympathetic', 'sympathetic')",0.38150567,0.49519604,-0.23670548,-0.11463347,-0.3044367,-0.2417642,-0.0626725
71,1.0482227,1.0102699,"('diffident', 'self-confident')",0.05286278,-0.057200648,0.6088348,0.5576731,0.5699734,0.5035808,0.0663926
87,1.0420654,1.2042872,"('unsuccessful', 'successful')",1.4209867,1.5351698,0.8139903,0.8841415,1.0923475,1.2078662,-0.1155187
86,-1.0279137,-1.1969306,"('uninfluential', 'influential')",0.17296295,0.16064699,-0.03843858,-0.01881896,-0.2977964,-0.3517009,0.0539045
72,-1.001035,-0.82411224,"('unambitious', 'ambitious')",0.48391438,0.57007855,-1.0203114,-0.8670267,-0.5124773,-0.3736868,-0.1387905
56,0.8791123,0.96073127,"('impractical', 'practical')",1.3677142,1.5433512,0.3218128,0.4589942,0.8562131,0.9876922,-0.1314791
12,0.78818566,0.85909563,"('unsupportive', 'supportive')",0.64065623,0.7687919,-1.3027902,-1.2936229,0.0420172,0.1114215,-0.0694043
58,0.75617814,0.6700581,"('undiscriminating', 'discriminating')",1.259787,1.2276143,0.3538676,0.29493058,0.7899442,0.7308677,0.0590765
15,0.7499247,0.7177201,"('boring', 'funny')",-0.977188,-0.9274857,0.35783023,0.3402682,0.0435223,0.0435009,2.14e-05
35,0.7392717,0.69118714,"('corrupt', 'incorrupt')",-1.9585124,-2.115832,-0.25724658,-0.43935525,-0.4921624,-0.6213334,0.129171
53,-0.7061897,-0.7490181,"('uncreative', 'creative')",-0.032175526,-0.08170941,1.105179,1.0856451,0.1222712,0.0849725,0.0372987
44,-0.68071604,-0.4766958,"('prejudiced', 'unprejudiced')",-0.45606795,-0.35399804,-1.556072,-1.4174868,-0.8976186,-0.7493935,-0.1482251
30,0.668777,0.5987285,"('intolerant', 'tolerant')",0.8813573,0.91311985,1.1587847,1.2562315,0.902973,0.9226933,-0.0197203
