,sandisk_male,sandisk_female,tuple,corp_male,corp_female,average_male,average_female,male-female
2,0.29626906,0.34633565,"('unlikable', 'likable')",0.35405603,0.45716608,0.3251625,0.4017509,-0.0765884
49,-0.29282287,-0.09297074,"('unable', 'able')",-0.25928584,-0.20308244,-0.2760544,-0.1480266,-0.1280278
48,0.2729707,0.26488757,"('unintelligent', 'intelligent')",0.62582797,0.5798381,0.4493994,0.4223628,0.0270366
20,0.26968607,0.3741897,"('rough', 'thoughtful')",0.8421516,0.7902373,0.5559188,0.5822135,-0.0262947
81,0.26410356,0.8422297,"('submissive', 'aggressive')",-0.9965887,-0.87347865,-0.3662426,-0.0156245,-0.3506181
68,-0.2576815,-0.15320674,"('dependent', 'independent')",-0.8849207,-0.9071796,-0.5713011,-0.5301932,-0.0411079
44,-0.257382,-0.09349994,"('prejudiced', 'unprejudiced')",-1.4996301,-1.4045213,-0.8785061,-0.7490106,-0.1294955
34,-0.23341508,-0.29041463,"('mean', 'honorable')",5.5447197,5.6798487,2.6556523,2.6947169,-0.0390646
62,0.22128192,0.40765652,"('incompetent', 'brilliant')",-0.05669238,-0.15088688,0.0822948,0.1283848,-0.04609
54,-0.20978522,-0.5198388,"('incapable', 'capable')",1.1083548,1.0217993,0.4492848,0.2509803,0.1983045
26,0.20696217,-0.040407307,"('hardhearted', 'benevolent')",1.7629555,1.685336,0.9849589,0.8224643,0.1624946
22,-0.19600838,-0.09263094,"('untrustworthy', 'trustworthy')",-0.87751406,-0.9202882,-0.5367612,-0.5064596,-0.0303016
3,-0.19552599,-0.08086323,"('repellent', 'pleasant')",0.87506205,0.87640357,0.339768,0.3977702,-0.0580022
80,-0.18405068,0.113722205,"('dominated', 'dominating')",-0.8304428,-0.9486918,-0.5072467,-0.4174848,-0.0897619
42,0.17821369,0.33595526,"('unreliable', 'reliable')",-3.3835657,-3.4652424,-1.602676,-1.5646436,-0.0380324
61,-0.17564762,-0.20491725,"('illogical', 'logical')",0.5438606,0.4203423,0.1841065,0.1077125,0.076394
73,0.16651055,0.26335037,"('helpless', 'self-reliant')",-3.2276783,-3.2838461,-1.5305839,-1.5102479,-0.020336
70,-0.16290216,0.012555398,"('lethargic', 'energetic')",0.2460878,0.07692797,0.0415928,0.0447417,-0.0031489
56,-0.16243404,0.20256671,"('impractical', 'practical')",-1.2716845,-1.2027044,-0.7170593,-0.5000688,-0.2169905
23,0.15536916,-0.004090226,"('insincere', 'sincere')",5.9206553,5.784406,3.0380123,2.8901579,0.1478544
59,-0.15186287,-0.19758534,"('foolish', 'wise')",-0.15108198,0.010066583,-0.1514724,-0.0937594,-0.057713
18,0.1511023,-0.060025115,"('disagreeable', 'welcoming')",-0.50124174,-0.5577819,-0.1750697,-0.3089035,0.1338338
77,-0.13811848,-0.007981183,"('unmotivated', 'motivated')",-1.2610297,-1.241102,-0.6995741,-0.6245416,-0.0750325
66,0.13387959,-0.1571104,"('inactive', 'active')",0.6148288,0.5951854,0.3743542,0.2190375,0.1553167
46,0.120523974,0.35482582,"('uncompetitive', 'competitive')",-0.9878518,-1.0366021,-0.4336639,-0.3408881,-0.0927758
83,-0.11858616,0.03890776,"('powerless', 'powerful')",-1.2206248,-1.2291045,-0.6696055,-0.5950984,-0.0745071
87,0.116821304,0.12210485,"('unsuccessful', 'successful')",0.9368532,0.8338338,0.5268372,0.4779693,0.0488679
88,-0.08619764,-0.23162578,"('low', 'eminent')",-0.36399087,-0.46392784,-0.2250943,-0.3477768,0.1226825
41,-0.06479972,-0.15955895,"('unforgiving', 'forgiving')",-0.05003386,-0.15771225,-0.0574168,-0.1586356,0.1012188
7,-0.05970777,0.010645632,"('insensitive', 'sensitive')",0.7538863,0.6074851,0.3470893,0.3090654,0.0380239
55,0.049487494,0.42584753,"('incompetent', 'clever')",0.29157007,0.23161829,0.1705288,0.3287329,-0.1582041
74,-0.048938733,-0.13636218,"('undedicated', 'dedicated')",-0.21331081,-0.38458964,-0.1311248,-0.2604759,0.1293511
12,-0.03922711,-0.15101321,"('unsupportive', 'supportive')",-2.0838692,-2.2370822,-1.0615481,-1.1940477,0.1324996
78,-0.03724989,-0.24266666,"('nonresilient', 'resilient')",0.37801668,0.28333846,0.1703834,0.0203359,0.1500475
85,0.034359507,-0.38709524,"('insignificant', 'prestigious')",-0.27818406,-0.17639337,-0.1219123,-0.2817443,0.159832
37,0.02817513,-0.104857944,"('fake', 'genuine')",0.4298766,0.3266909,0.2290259,0.1109165,0.1181094
63,-0.021269016,-0.045448422,"('unperceptive', 'insightful')",0.43279648,0.34075546,0.2057637,0.1476535,0.0581102
29,-0.019581765,-0.117825955,"('unfair', 'fair')",-0.24282968,-0.20705858,-0.1312057,-0.1624423,0.0312366
