,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.2881684,-2.42304,"('unfriendly', 'friendly')",1.8363888,1.8531461,-0.2258898,-0.2849469,0.0590571
9,-2.1800776,-2.3832667,"('unaffectionate', 'caring')",1.0120448,0.89188737,-0.5840164,-0.7456896,0.1616732
8,-2.0357869,-2.1001356,"('unaffectionate', 'affectionate')",0.8808378,0.84662396,-0.5774745,-0.6267558,0.0492813
86,-1.8078934,-2.0427802,"('uninfluential', 'influential')",-0.16881779,-0.4648272,-0.9883556,-1.2538037,0.2654481
53,-1.5016688,-1.4681668,"('uncreative', 'creative')",0.8768416,0.8346393,-0.3124136,-0.3167638,0.0043502
38,-1.4856019,-1.6296293,"('untruthful', 'truthful')",-0.46067742,-0.41916272,-0.9731396,-1.0243959,0.0512563
31,-1.4782745,-1.4164374,"('evil', 'good')",-0.90443003,-0.74518317,-1.1913522,-1.0808103,-0.1105419
44,1.4073752,1.351844,"('prejudiced', 'unprejudiced')",-1.1917642,-1.1392511,0.1078055,0.1062964,0.0015091
6,-1.3858455,-1.6262888,"('distant', 'open')",0.14787911,0.091628805,-0.6189832,-0.76733,0.1483468
19,-1.3173376,-1.3926324,"('inhospitable', 'hospitable')",-0.25072,-0.2292507,-0.7840288,-0.8109415,0.0269127
5,-1.2275375,-1.3407912,"('distant', 'outgoing')",-0.38840955,-0.4297601,-0.8079735,-0.8852757,0.0773022
23,-1.1876557,-1.1350087,"('insincere', 'sincere')",4.8467474,4.9847255,1.8295459,1.9248583,-0.0953124
0,-1.1434088,-1.2033174,"('unsociable', 'sociable')",-0.2502874,-0.23672628,-0.6968481,-0.7200218,0.0231737
73,1.1415658,1.1500661,"('helpless', 'self-reliant')",-2.4600847,-2.5839033,-0.6592594,-0.7169186,0.0576592
69,1.1199617,0.9232696,"('lazy', 'industrious')",-0.13483903,-0.17671704,0.4925613,0.3732763,0.119285
80,1.1134634,0.90769947,"('dominated', 'dominating')",-1.2321467,-1.5351495,-0.0593417,-0.313725,0.2543833
85,-1.1021509,-1.1011904,"('insignificant', 'prestigious')",0.6283796,0.7691658,-0.2368857,-0.1660123,-0.0708734
36,-1.1002527,-0.99251246,"('hostile', 'amicable')",0.101097435,0.37298644,-0.4995776,-0.309763,-0.1898146
12,-1.0375434,-1.2440529,"('unsupportive', 'supportive')",-1.4913601,-1.6908761,-1.2644517,-1.4674644,0.2030127
81,1.0317076,1.222924,"('submissive', 'aggressive')",-0.7660858,-0.7034376,0.1328109,0.2597432,-0.1269323
76,0.98744965,1.0017061,"('anxious', 'daring')",0.11399782,0.29772955,0.5507237,0.6497178,-0.0989941
42,0.9648319,0.8276979,"('unreliable', 'reliable')",-2.3742454,-2.6791096,-0.7047068,-0.9257059,0.2209991
78,-0.895967,-1.0442277,"('nonresilient', 'resilient')",0.3714292,0.13090287,-0.2622689,-0.4566624,0.1943935
51,-0.89451313,-0.8773442,"('uneducated', 'educated')",0.06484719,-0.030819297,-0.414833,-0.4540817,0.0392487
79,-0.87611675,-1.0083137,"('wavering', 'unwavering')",-0.31560344,-0.3501027,-0.5958601,-0.6792082,0.0833481
63,-0.8578835,-0.970519,"('unperceptive', 'insightful')",0.93583137,0.68369013,0.0389739,-0.1434144,0.1823883
28,-0.8106378,-0.92416143,"('disloyal', 'loyal')",0.7860423,0.98024046,-0.0122977,0.0280395,-0.0403372
58,-0.80795676,-1.0376468,"('undiscriminating', 'discriminating')",0.1957902,0.011861838,-0.3060833,-0.5128925,0.2068092
10,-0.8044417,-1.059834,"('unsympathetic', 'sympathetic')",-0.26111677,-0.3986533,-0.5327792,-0.7292436,0.1964644
72,-0.79866785,-0.8241086,"('unambitious', 'ambitious')",-0.8788658,-0.9785102,-0.8387668,-0.9013094,0.0625426
39,0.78631073,0.91694117,"('exploitative', 'cooperative')",0.21729468,0.35090026,0.5018027,0.6339207,-0.132118
71,-0.772344,-0.97258556,"('diffident', 'self-confident')",0.72582155,0.48988694,-0.0232612,-0.2413493,0.2180881
18,-0.74108785,-0.4995698,"('disagreeable', 'welcoming')",-0.34383526,-0.20261942,-0.5424616,-0.3510946,-0.191367
60,0.73643017,0.7850843,"('inefficient', 'efficient')",-0.09520623,-0.07935007,0.320612,0.3528671,-0.0322551
20,0.7307028,0.62109417,"('rough', 'thoughtful')",1.3585097,1.3562651,1.0446062,0.9886796,0.0559266
41,-0.7228531,-0.48485455,"('unforgiving', 'forgiving')",-0.013569068,0.058320057,-0.3682111,-0.2132673,-0.1549438
84,0.6889258,0.51974475,"('inferior', 'superior')",0.9683814,0.913963,0.8286536,0.7168539,0.1117997
82,-0.6546807,-0.45799488,"('poor', 'rich')",5.5799565,5.8073626,2.4626379,2.6746838,-0.2120459
87,0.6388459,0.5704723,"('unsuccessful', 'successful')",1.0105857,0.79907334,0.8247158,0.6847728,0.139943
52,-0.6231291,-0.5173241,"('irrational', 'rational')",0.22347428,0.38118237,-0.1998274,-0.0680709,-0.1317565
11,-0.60384524,-0.62684834,"('unhelpful', 'helpful')",1.3298506,1.3300452,0.3630027,0.3515984,0.0114043
37,0.6015404,0.29660305,"('fake', 'genuine')",0.71622777,0.5668154,0.658884,0.4317092,0.2271748
43,-0.5884209,-0.7137353,"('irresponsible', 'responsible')",0.6270545,0.5359701,0.0193168,-0.0888826,0.1081994
54,-0.5720365,-0.6652894,"('incapable', 'capable')",0.99749917,1.0891478,0.2127313,0.2119292,0.0008021
32,-0.5462851,-0.56862026,"('unkind', 'kind')",0.93121874,0.9542778,0.1924668,0.1928288,-0.000362
67,0.53024507,0.5757764,"('doubtful', 'determined')",-0.73190784,-0.43137372,-0.1008314,0.0722013,-0.1730327
2,0.5227347,0.74614763,"('unlikable', 'likable')",0.4332834,0.7001002,0.478009,0.7231239,-0.2451149
26,-0.5156646,-0.51943487,"('hardhearted', 'benevolent')",2.1717885,2.2413993,0.8280619,0.8609822,-0.0329203
16,-0.48269486,-0.3588061,"('unpopular', 'popular')",0.47227404,0.6884293,-0.0052104,0.1648116,-0.170022
50,0.47504744,0.5233254,"('clumsy', 'skillful')",0.46907246,0.2981018,0.47206,0.4107136,0.0613464
45,-0.45875683,-0.58731455,"('incompetent', 'competent')",0.14409128,0.06108242,-0.1573328,-0.2631161,0.1057833
59,-0.42634585,-0.43144315,"('foolish', 'wise')",0.4374761,0.5150917,0.0055651,0.0418243,-0.0362592
48,-0.40537965,-0.5345642,"('unintelligent', 'intelligent')",0.7832031,0.74381894,0.1889117,0.1046274,0.0842843
