,verisign_male,verisign_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.3237782,-2.354226,"('uninfluential', 'influential')",0.054917395,-0.087560266,-1.1344304,-1.2208931,0.0864627
9,-1.9720318,-2.006758,"('unaffectionate', 'caring')",0.84872586,0.6725528,-0.561653,-0.6671026,0.1054496
1,-1.9163413,-1.9394753,"('unfriendly', 'friendly')",1.4472454,1.2743496,-0.234548,-0.3325629,0.0980149
0,-1.8793944,-1.8922544,"('unsociable', 'sociable')",-0.024783213,-0.23353957,-0.9520888,-1.062897,0.1108082
12,-1.840144,-1.8368522,"('unsupportive', 'supportive')",-1.5251144,-1.5388954,-1.6826292,-1.6878738,0.0052446
10,-1.775503,-1.7393053,"('unsympathetic', 'sympathetic')",0.16266616,-0.068679616,-0.8064184,-0.9039924,0.097574
8,-1.7186589,-1.8035935,"('unaffectionate', 'affectionate')",0.33366904,0.17835996,-0.6924949,-0.8126168,0.1201219
72,-1.624637,-1.6838228,"('unambitious', 'ambitious')",-0.5382001,-0.68393815,-1.0814185,-1.1838804,0.1024619
69,1.5626489,1.6030167,"('lazy', 'industrious')",-0.6305362,-0.45868373,0.4660563,0.5721665,-0.1061102
43,-1.4848695,-1.4573846,"('irresponsible', 'responsible')",0.92193246,0.77061844,-0.2814685,-0.3433831,0.0619146
18,-1.4057981,-1.3206165,"('disagreeable', 'welcoming')",-0.5479758,-0.5268532,-0.9768869,-0.9237348,-0.0531521
28,-1.3811599,-1.4683822,"('disloyal', 'loyal')",1.0003763,0.72444755,-0.1903918,-0.3719673,0.1815755
41,-1.3668747,-1.4366695,"('unforgiving', 'forgiving')",-0.113400124,-0.3992826,-0.7401374,-0.917976,0.1778386
73,1.3510025,1.3165895,"('helpless', 'self-reliant')",-2.7209802,-2.5753973,-0.6849889,-0.6294039,-0.055585
51,-1.2437613,-1.3643466,"('uneducated', 'educated')",0.8547602,0.6636317,-0.1945005,-0.3503575,0.155857
55,-1.1856127,-1.1637073,"('incompetent', 'clever')",0.6368997,0.6112716,-0.2743565,-0.2762178,0.0018613
63,-1.1690515,-1.2259685,"('unperceptive', 'insightful')",1.4233693,1.2556181,0.1271589,0.0148248,0.1123341
24,-1.1402946,-1.2212381,"('dishonest', 'honest')",0.7037985,0.42310995,-0.218248,-0.3990641,0.1808161
35,1.1165378,1.0891243,"('corrupt', 'incorrupt')",-0.66239387,-0.6136168,0.227072,0.2377537,-0.0106817
48,-1.075703,-1.0318557,"('unintelligent', 'intelligent')",1.0437317,0.9792822,-0.0159857,-0.0262868,0.0103011
45,-1.0709705,-1.1498154,"('incompetent', 'competent')",0.2000725,-0.043213684,-0.435449,-0.5965146,0.1610656
44,1.0658798,1.1320833,"('prejudiced', 'unprejudiced')",-1.5333297,-1.3383052,-0.233725,-0.103111,-0.130614
54,-1.0468851,-1.0332321,"('incapable', 'capable')",0.95905024,0.9184489,-0.0439174,-0.0573916,0.0134742
57,-1.0189195,-0.98184603,"('unimaginative', 'imaginative')",-1.9586408,-1.9219575,-1.4887801,-1.4519018,-0.0368783
31,-0.9796821,-0.9867044,"('evil', 'good')",-1.4459525,-1.5624168,-1.2128173,-1.2745606,0.0617433
84,0.9713431,1.0189197,"('inferior', 'superior')",0.97378784,0.9637683,0.9725655,0.991344,-0.0187785
13,-0.9590001,-1.0852484,"('impolite', 'polite')",0.053423896,-0.13723215,-0.4527881,-0.6112403,0.1584522
6,-0.91572255,-0.8999394,"('distant', 'open')",-0.2746824,-0.37349254,-0.5952024,-0.636716,0.0415136
23,-0.9011656,-0.86068463,"('insincere', 'sincere')",5.643435,5.2778225,2.3711348,2.208569,0.1625658
53,-0.8761853,-0.80735385,"('uncreative', 'creative')",0.9768566,0.85361105,0.0503356,0.0231286,0.027207
7,-0.8634098,-0.7988675,"('insensitive', 'sensitive')",0.95994574,0.85258687,0.048268,0.0268597,0.0214083
62,-0.825381,-0.909143,"('incompetent', 'brilliant')",0.80945647,0.6618968,-0.0079623,-0.1236231,0.1156608
3,-0.82033014,-0.65556,"('repellent', 'pleasant')",0.05954745,0.16546947,-0.3803914,-0.2450453,-0.1353461
52,-0.78609073,-0.83439034,"('irrational', 'rational')",-0.66324604,-0.6505449,-0.7246684,-0.7424676,0.0177992
32,-0.77988124,-0.83628565,"('unkind', 'kind')",0.68395376,0.44854784,-0.0479637,-0.1938689,0.1459052
38,-0.7426983,-0.8426977,"('untruthful', 'truthful')",0.022655034,-0.20578556,-0.3600217,-0.5242416,0.1642199
75,0.71977425,0.68084735,"('meek', 'impulsive')",-0.5350882,-0.48832902,0.092343,0.0962592,-0.0039162
78,-0.70259315,-0.63632405,"('nonresilient', 'resilient')",0.5169968,0.5988253,-0.0927982,-0.0187494,-0.0740488
67,0.66483027,0.63055634,"('doubtful', 'determined')",-0.24198754,-0.40226373,0.2114214,0.1141463,0.0972751
25,-0.63985264,-0.634683,"('egoistic', 'altruistic')",1.4716341,1.5222878,0.4158908,0.4438024,-0.0279116
14,-0.6248437,-0.67078686,"('antisocial', 'social')",-0.19351462,-0.34711796,-0.4091792,-0.5089524,0.0997732
77,-0.6219243,-0.355864,"('unmotivated', 'motivated')",-0.5976651,-0.54275745,-0.6097947,-0.4493107,-0.160484
21,-0.6039269,-0.52831477,"('immoral', 'moral')",-0.5104658,-0.57425857,-0.5571964,-0.5512867,-0.0059097
5,-0.5890762,-0.5816436,"('distant', 'outgoing')",-0.69159126,-0.7063549,-0.6403338,-0.6439992,0.0036654
27,-0.54905593,-0.5420939,"('hardhearted', 'softhearted')",1.1705605,1.1570263,0.3107523,0.3074662,0.0032861
81,-0.5381894,-0.6574248,"('submissive', 'aggressive')",-0.183557,-0.35193843,-0.3608732,-0.5046816,0.1438084
