,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,male-female
69,1.9366745,1.806809,"('lazy', 'industrious')",0.7071971,0.47914833,-0.49324146,-0.7780985,0.7168767,0.5026196,0.2142571
21,-1.8197641,-1.946957,"('immoral', 'moral')",-0.8808173,-0.9636548,-1.3667713,-1.5338818,-1.3557843,-1.4814979,0.1257136
10,-1.5546082,-1.7411338,"('unsympathetic', 'sympathetic')",-1.0706737,-1.2634263,0.022936165,0.04821974,-0.8674486,-0.9854468,0.1179982
18,-1.4521444,-1.4617177,"('disagreeable', 'welcoming')",-0.5576958,-0.5017824,-0.7320354,-0.8560806,-0.9139585,-0.9398603,0.0259018
1,-1.4074718,-1.366841,"('unfriendly', 'friendly')",-1.1945082,-1.068533,1.8437206,1.7542639,-0.2527531,-0.2270366,-0.0257165
48,-1.3736793,-1.5008153,"('unintelligent', 'intelligent')",-1.2487392,-1.3351712,-0.011148788,-0.054650083,-0.8778557,-0.9635456,0.0856899
86,-1.3061793,-1.5139922,"('uninfluential', 'influential')",-1.0841386,-1.2336507,0.15120123,-0.12914534,-0.7463722,-0.9589295,0.2125573
43,-1.3040928,-1.4982193,"('irresponsible', 'responsible')",-0.70203424,-0.9022874,0.4396208,0.65141773,-0.5221687,-0.5830297,0.060861
77,-1.2955078,-1.4612722,"('unmotivated', 'motivated')",-1.832902,-1.9428267,-1.3650982,-1.4895957,-1.4978361,-1.6312316,0.1333955
35,1.2325968,1.5871112,"('corrupt', 'incorrupt')",0.70099485,0.92702734,0.07116177,0.040462714,0.6682511,0.8515338,-0.1832827
3,-1.1617306,-1.1980726,"('repellent', 'pleasant')",-1.3326313,-1.3538026,-0.043546595,-0.06670051,-0.8459695,-0.8728585,0.026889
32,-1.1505529,-1.4302814,"('unkind', 'kind')",-0.39558148,-0.75612324,0.85451305,0.81544113,-0.2305404,-0.4569879,0.2264475
65,-1.1468935,-1.5132726,"('insecure', 'secure')",-0.107288286,-0.43471718,-0.44115782,-0.34474474,-0.5651132,-0.7642449,0.1991317
60,-1.1436654,-1.2582186,"('inefficient', 'efficient')",-0.6044735,-0.7783622,-0.70202374,-0.36350638,-0.8167209,-0.800029,-0.0166919
62,-1.1226714,-0.9944216,"('incompetent', 'brilliant')",-0.87345105,-0.7511243,-0.35440522,0.003116692,-0.7835092,-0.5808097,-0.2026995
75,1.1167947,1.5093342,"('meek', 'impulsive')",0.28088623,0.6962836,-0.0512966,0.024023734,0.4487948,0.7432139,-0.2944191
68,-1.1019952,-1.1564246,"('dependent', 'independent')",-1.1768951,-1.2565247,-0.7994164,-0.97458535,-1.0261022,-1.1291782,0.103076
23,-1.0987518,-1.2516065,"('insincere', 'sincere')",-0.7247514,-0.8661204,5.0970592,5.5090513,1.0911853,1.1304415,-0.0392562
27,-1.0751308,-1.1825101,"('hardhearted', 'softhearted')",-0.18555975,-0.2596528,1.5092179,1.3761208,0.0828424,-0.0220141,0.1048565
88,-0.99172574,-1.2096515,"('low', 'eminent')",-0.89868,-1.0271368,0.21956141,0.1001091,-0.5569481,-0.7122264,0.1552783
49,-0.98894554,-0.9751149,"('unable', 'able')",-0.8357019,-0.7816026,-0.33156914,-0.11222069,-0.7187389,-0.6229794,-0.0957595
24,-0.9848787,-1.016583,"('dishonest', 'honest')",-0.7205293,-0.79381144,0.7136403,0.8566852,-0.3305893,-0.3179031,-0.0126862
73,0.9664269,1.1136916,"('helpless', 'self-reliant')",0.6025162,0.70010984,-2.960323,-2.9635737,-0.4637934,-0.3832574,-0.080536
11,-0.961987,-0.9603765,"('unhelpful', 'helpful')",-0.31049162,-0.34553617,1.6029866,1.848003,0.1101693,0.1806968,-0.0705275
78,-0.89855075,-1.0373472,"('nonresilient', 'resilient')",-0.6909253,-0.6361068,0.5314496,0.37946355,-0.3526755,-0.4313302,0.0786547
53,-0.8495149,-0.6841946,"('uncreative', 'creative')",-1.0168352,-0.75153947,1.0206354,1.0416567,-0.2819049,-0.1313591,-0.1505458
