,comcast_male,comcast_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.296347,-2.2647977,"('unsympathetic', 'sympathetic')",-0.5875391,-0.5389477,-1.4419429,-1.4018726,-0.0400703
46,-1.8495696,-1.9629937,"('uncompetitive', 'competitive')",-0.9495848,-0.9912208,-1.3995771,-1.4771073,0.0775302
45,-1.8059502,-1.8143332,"('incompetent', 'competent')",0.070744894,-0.036927857,-0.8676026,-0.9256305,0.0580279
57,-1.7405968,-1.5964739,"('unimaginative', 'imaginative')",-3.0988646,-3.06309,-2.4197307,-2.329782,-0.0899487
55,-1.5308619,-1.6845301,"('incompetent', 'clever')",0.45130232,0.36564556,-0.5397798,-0.6594423,0.1196625
0,-1.4640625,-1.7375546,"('unsociable', 'sociable')",-0.042106017,-0.21439004,-0.7530842,-0.9759723,0.2228881
70,-1.4483534,-1.430588,"('lethargic', 'energetic')",0.078276396,0.107668035,-0.6850385,-0.66146,-0.0235785
43,-1.4158978,-1.4756774,"('irresponsible', 'responsible')",0.16385794,0.047578838,-0.62602,-0.7140493,0.0880293
85,1.2975906,1.4689306,"('insignificant', 'prestigious')",-0.53196114,-0.39758,0.3828147,0.5356753,-0.1528606
69,1.1820594,1.153201,"('lazy', 'industrious')",-0.5496134,-0.5384252,0.316223,0.3073879,0.0088351
71,1.1093502,1.0152171,"('diffident', 'self-confident')",0.28127834,0.23142368,0.6953143,0.6233203,0.071994
3,-1.1038238,-1.1363198,"('repellent', 'pleasant')",0.8504692,0.82003295,-0.1266773,-0.1581434,0.0314661
59,1.0928413,1.0801289,"('foolish', 'wise')",0.14230362,0.12524344,0.6175724,0.6026862,0.0148862
37,-1.0669297,-1.0167457,"('fake', 'genuine')",-0.17476948,-0.06324209,-0.6208496,-0.5399939,-0.0808557
21,-1.0594752,-1.2820694,"('immoral', 'moral')",-0.37958223,-0.49828246,-0.7195287,-0.8901759,0.1706472
77,-1.0408357,-1.0355778,"('unmotivated', 'motivated')",-0.68653244,-0.6646388,-0.8636841,-0.8501083,-0.0135758
22,-0.95381814,-0.97517884,"('untrustworthy', 'trustworthy')",-0.9708361,-1.0093435,-0.9623271,-0.9922612,0.0299341
86,-0.9214762,-0.8873136,"('uninfluential', 'influential')",-0.4844411,-0.38243806,-0.7029586,-0.6348758,-0.0680828
51,-0.9175641,-1.0522577,"('uneducated', 'educated')",0.47366393,0.49814215,-0.2219501,-0.2770578,0.0551077
7,-0.90659976,-0.97380704,"('insensitive', 'sensitive')",0.0985849,0.050457753,-0.4040074,-0.4616746,0.0576672
39,0.8768366,0.8155087,"('exploitative', 'cooperative')",0.08340071,0.07158514,0.4801187,0.4435469,0.0365718
52,0.85657555,0.7841796,"('irrational', 'rational')",-0.011480852,-0.116680175,0.4225473,0.3337497,0.0887976
42,-0.8542729,-0.8617077,"('unreliable', 'reliable')",-3.1983016,-3.1328351,-2.0262873,-1.9972714,-0.0290159
73,0.84651583,0.8772106,"('helpless', 'self-reliant')",-3.1141567,-3.0705667,-1.1338204,-1.096678,-0.0371424
