,robert_male,robert_female,tuple,half_male,half_female,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
81,3.5922847,3.258691,"('submissive', 'aggressive')",3.433295,2.5510657,0.7395227,0.58842456,-0.056621343,-0.33902827,1.9271202,1.5147883,0.4123319
55,3.4909966,3.168727,"('incompetent', 'clever')",4.0025954,3.3763857,-0.28941187,-0.46667308,0.235666,-0.0008523688,1.8599615,1.5193968,0.3405647
21,3.3650131,3.0851817,"('immoral', 'moral')",2.1357403,1.4572535,0.3676147,0.30324522,-0.6603663,-0.78355414,1.3020005,1.0155315,0.286469
60,3.3561234,3.0731137,"('inefficient', 'efficient')",4.5703177,3.5742438,1.1817154,1.1826528,0.7401203,0.47364992,2.462069,2.0759151,0.3861539
31,-3.0399525,-2.3778908,"('evil', 'good')",-4.2887726,-3.2628837,-0.7465211,-0.6463843,-1.4840708,-1.3712224,-2.3898292,-1.9145954,-0.4752338
36,-3.0069873,-2.7434382,"('hostile', 'amicable')",-4.470079,-3.8715093,0.27407342,0.32726556,-0.3401677,-0.25046137,-1.88579,-1.6345358,-0.2512542
80,2.8088498,2.4843404,"('dominated', 'dominating')",3.1485982,2.4015076,0.007550423,-0.11213958,-0.85347444,-1.0086051,1.2778809,0.9412758,0.3366051
62,2.7992449,2.7689648,"('incompetent', 'brilliant')",3.1749806,2.5731356,0.49327767,0.41086042,0.38253215,0.34020966,1.7125088,1.5232925,0.1892163
14,2.7890954,2.6843693,"('antisocial', 'social')",1.4946535,0.9485065,0.9986376,1.0073112,-0.06005872,-0.25703567,1.3055819,1.0957879,0.209794
85,-2.485069,-2.1788437,"('insignificant', 'prestigious')",-5.458002,-4.691026,-0.56797016,-0.37612006,-0.027100287,0.29243404,-2.1345356,-1.738389,-0.3961466
35,-2.420274,-1.922074,"('corrupt', 'incorrupt')",-3.4302244,-2.7908928,-0.86441857,-0.62974375,-0.8217636,-0.5902417,-1.8841701,-1.483238,-0.4009321
6,-2.4168894,-1.988622,"('distant', 'open')",-3.5042086,-2.734052,-0.763129,-0.68460816,-0.37743843,-0.045895744,-1.7654164,-1.3632944,-0.402122
13,2.3908527,2.4841363,"('impolite', 'polite')",2.6866803,2.2943027,1.1225727,1.2993289,0.46857083,0.35577977,1.6671691,1.6083869,0.0587822
46,2.2855413,1.8497151,"('uncompetitive', 'competitive')",2.946343,2.2168741,0.1865746,-0.07381496,-0.028862193,0.05674711,1.3473991,1.0123804,0.3350187
5,-2.222988,-1.8542105,"('distant', 'outgoing')",-3.3546104,-2.97858,-0.675614,-0.5946763,-0.70342577,-0.384043,-1.7391596,-1.4528775,-0.2862821
65,2.1092703,1.6869239,"('insecure', 'secure')",3.052538,2.4340987,0.7086539,0.44695508,0.16225019,-0.13849835,1.508178,1.1073699,0.4008081
24,2.0775156,2.0278974,"('dishonest', 'honest')",1.233997,1.4014634,0.07666568,0.22520295,0.5442921,0.6258287,0.9831176,1.0700982,-0.0869806
70,2.0532174,1.9380109,"('lethargic', 'energetic')",2.7350066,2.1177769,0.40647006,0.40404648,1.0388279,0.9920029,1.5583806,1.3629594,0.1954212
79,-2.0530925,-1.7594148,"('wavering', 'unwavering')",-2.2071302,-1.7865802,-0.91218066,-0.8211008,-0.353542,-0.07543556,-1.3814863,-1.1106329,-0.2708534
4,-2.0498176,-1.652003,"('disliked', 'liked')",-3.1674495,-2.7868948,-0.36025962,-0.43800578,-6.086533,-5.663479,-2.9160149,-2.6350956,-0.2809193
1,-2.0236504,-1.6012589,"('unfriendly', 'friendly')",-1.9556259,-1.2769603,0.10485386,0.33191326,1.2228701,1.7383201,-0.6628881,-0.2019964,-0.4608917
69,-2.01779,-1.7290846,"('lazy', 'industrious')",-3.4510891,-3.3174932,1.2583002,1.3125552,-0.81463414,-0.70576954,-1.2563033,-1.109948,-0.1463553
76,2.0149972,1.6039,"('anxious', 'daring')",2.9737072,2.2661905,0.9106239,0.7939091,0.61410534,0.54987735,1.6283585,1.3034692,0.3248893
26,-1.9109197,-1.5300671,"('hardhearted', 'benevolent')",-0.74973905,-0.47018766,1.8707926,1.9834272,1.4629712,1.7259545,0.1682763,0.4272818,-0.2590055
75,-1.7761738,-1.4813019,"('meek', 'impulsive')",-1.8247237,-1.7258122,-0.38926464,-0.401715,-0.58834726,-0.47514674,-1.1446273,-1.0209939,-0.1236334
10,1.6747723,1.6688987,"('unsympathetic', 'sympathetic')",3.498064,3.043605,-1.0878332,-1.0030233,-0.060550004,-0.0039307214,1.0061132,0.9263875,0.0797257
61,1.6709377,1.7076471,"('illogical', 'logical')",-0.01666946,0.028612353,-0.7051686,-0.6221473,0.044850495,0.00791824,0.2484875,0.2805076,-0.0320201
