,goodrich_male,goodrich_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-1.7683796,-1.6170235,"('evil', 'good')",-0.9237595,-1.2010813,-1.3460696,-1.4090524,0.0629828
1,-1.5461123,-1.4451641,"('unfriendly', 'friendly')",1.0710098,1.054845,-0.2375513,-0.1951596,-0.0423917
62,1.4413886,1.4647229,"('incompetent', 'brilliant')",0.78387994,0.9331613,1.1126343,1.1989421,-0.0863078
87,1.329087,1.3250566,"('unsuccessful', 'successful')",1.0244762,1.2308279,1.1767817,1.2779422,-0.1011605
73,1.3233514,1.4609078,"('helpless', 'self-reliant')",-3.07795,-3.2972035,-0.8772993,-0.9181479,0.0408486
36,-1.3223203,-1.4097359,"('hostile', 'amicable')",-0.33016974,-0.69138515,-0.8262451,-1.0505605,0.2243154
8,-1.2185564,-1.3097057,"('unaffectionate', 'affectionate')",0.39880082,0.37004158,-0.4098778,-0.4698321,0.0599543
6,-1.2075176,-0.95011306,"('distant', 'open')",-0.5209287,-0.6011492,-0.8642231,-0.7756311,-0.088592
80,1.2049687,1.2278203,"('dominated', 'dominating')",-0.5052645,-0.2753527,0.3498521,0.4762338,-0.1263817
69,1.093214,1.215889,"('lazy', 'industrious')",-0.5057974,-0.85578346,0.2937083,0.1800528,0.1136555
81,1.076911,0.9471406,"('submissive', 'aggressive')",-0.40114146,-0.10039508,0.3378848,0.4233727,-0.0854879
53,-1.0071003,-1.0252078,"('uncreative', 'creative')",0.43084827,0.4288431,-0.2881261,-0.2981823,0.0100562
26,-0.95823187,-1.0025759,"('hardhearted', 'benevolent')",0.89425683,0.5784905,-0.0319875,-0.2120427,0.1800552
27,-0.94934785,-0.9311054,"('hardhearted', 'softhearted')",1.0884159,1.0929735,0.069534,0.080934,-0.0114
84,0.91777915,0.89618427,"('inferior', 'superior')",1.192628,1.0134352,1.0552036,0.9548098,0.1003938
60,0.909261,0.6824481,"('inefficient', 'efficient')",0.21932766,0.37789604,0.5642943,0.530172,0.0341223
57,-0.8927122,-0.9751635,"('unimaginative', 'imaginative')",-3.4629333,-3.619394,-2.1778228,-2.2972789,0.1194561
82,-0.8883182,-0.9102562,"('poor', 'rich')",6.15343,6.7120323,2.632556,2.900888,-0.268332
67,0.8514632,0.9187211,"('doubtful', 'determined')",-0.47263697,-0.5248234,0.1894131,0.1969488,-0.0075357
33,0.85002184,0.90315783,"('wrong', 'right')",-0.7002589,-0.8547701,0.0748815,0.0241939,0.0506876
86,-0.82544625,-0.90370196,"('uninfluential', 'influential')",-0.46725357,-0.40534988,-0.6463499,-0.6545259,0.008176
56,0.80560106,0.7728186,"('impractical', 'practical')",-0.34300137,-0.18022363,0.2312998,0.2962975,-0.0649977
10,-0.7688657,-0.78557324,"('unsympathetic', 'sympathetic')",-0.36972564,0.028210051,-0.5692956,-0.3786816,-0.190614
2,0.7644953,0.6513186,"('unlikable', 'likable')",0.5161391,0.47300106,0.6403172,0.5621598,0.0781574
40,0.7636528,0.7741181,"('stingy', 'generous')",-1.8793426,-2.2577622,-0.5578449,-0.741822,0.1839771
64,0.7610789,0.57426584,"('shy', 'confident')",-6.159065,-6.504343,-2.698993,-2.9650385,0.2660455
79,-0.74489254,-0.6047777,"('wavering', 'unwavering')",-0.16607362,-0.16824102,-0.4554831,-0.3865094,-0.0689737
51,0.70641965,0.53333,"('uneducated', 'educated')",0.4444994,0.54415226,0.5754595,0.5387411,0.0367184
52,-0.70004386,-0.6965358,"('irrational', 'rational')",-0.043808255,-0.2710448,-0.3719261,-0.4837903,0.1118642
3,-0.6715263,-0.703123,"('repellent', 'pleasant')",0.58803874,0.62762284,-0.0417438,-0.0377501,-0.0039937
88,-0.62294424,-0.47583285,"('low', 'eminent')",-0.52164114,-0.4234068,-0.5722927,-0.4496198,-0.1226729
58,-0.6208334,-0.6859863,"('undiscriminating', 'discriminating')",0.11816124,-0.060539052,-0.2513361,-0.3732627,0.1219266
37,0.59200543,0.45679674,"('fake', 'genuine')",0.27145532,0.3965045,0.4317304,0.4266506,0.0050798
83,0.591126,0.61648285,"('powerless', 'powerful')",-0.8281176,-0.86872244,-0.1184958,-0.1261198,0.007624
42,0.5770946,0.56935626,"('unreliable', 'reliable')",-3.3063095,-3.1994922,-1.3646075,-1.315068,-0.0495395
32,-0.53486794,-0.56628823,"('unkind', 'kind')",0.37326857,0.5911033,-0.0807997,0.0124075,-0.0932072
65,-0.53149223,-0.9294085,"('insecure', 'secure')",-0.32905748,-0.10201441,-0.4302748,-0.5157114,0.0854366
61,-0.5158741,-0.68511677,"('illogical', 'logical')",0.5070853,0.47435126,-0.0043944,-0.1053828,0.1009884
49,0.51547176,0.44984314,"('unable', 'able')",0.18259022,0.28772157,0.349031,0.3687823,-0.0197513
54,-0.5103795,-0.40992385,"('incapable', 'capable')",0.7808392,0.9792335,0.1352299,0.2846548,-0.1494249
71,0.48550144,0.54799265,"('diffident', 'self-confident')",0.3199858,0.29389602,0.4027436,0.4209443,-0.0182007
30,0.48353118,0.27184188,"('intolerant', 'tolerant')",0.7459326,0.586922,0.6147319,0.4293819,0.18535
28,-0.47571948,-0.66195226,"('disloyal', 'loyal')",0.8304466,0.9391259,0.1773636,0.1385868,0.0387768
5,-0.44828397,-0.24549238,"('distant', 'outgoing')",-0.23006178,-0.39182496,-0.3391729,-0.3186587,-0.0205142
72,-0.44671926,-0.36974525,"('unambitious', 'ambitious')",-0.44789478,-0.20368941,-0.447307,-0.2867173,-0.1605897
75,0.43095794,0.69052494,"('meek', 'impulsive')",-0.7391963,-0.83671767,-0.1541192,-0.0730964,-0.0810228
9,-0.42119437,-0.34746802,"('unaffectionate', 'caring')",1.0823895,1.2296501,0.3305975,0.4410911,-0.1104936
63,-0.41633794,-0.28384304,"('unperceptive', 'insightful')",0.7183352,0.82210803,0.1509986,0.2691325,-0.1181339
16,-0.41544992,-0.4699211,"('unpopular', 'popular')",0.36745632,0.120391116,-0.0239968,-0.174765,0.1507682
15,-0.41228244,-0.46866626,"('boring', 'funny')",-0.026108537,-0.037235893,-0.2191955,-0.2529511,0.0337556
4,0.37855735,0.5354378,"('disliked', 'liked')",-6.789789,-7.3237643,-3.205616,-3.3941631,0.1885471
55,0.36557323,0.08441173,"('incompetent', 'clever')",0.26045924,0.31382844,0.3130162,0.1991201,0.1138961
18,-0.35844117,-0.48566797,"('disagreeable', 'welcoming')",-0.37736565,-0.5950455,-0.3679034,-0.5403568,0.1724534
39,0.3558741,0.12512061,"('exploitative', 'cooperative')",-0.20833498,-0.325457,0.0737696,-0.1001682,0.1739378
13,0.34278822,0.11616215,"('impolite', 'polite')",-0.48877713,-0.3583835,-0.0729945,-0.1211107,0.0481162
47,0.33947316,0.11589041,"('stupid', 'smart')",5.279932,5.6247954,2.8097026,2.870343,-0.0606404
19,-0.33312848,-0.31689155,"('inhospitable', 'hospitable')",-0.3643708,-0.285956,-0.3487496,-0.3014238,-0.0473258
68,0.324967,0.3032346,"('dependent', 'independent')",-0.21931496,-0.29924276,0.052826,0.0019959,0.0508301
0,-0.29584906,-0.50474495,"('unsociable', 'sociable')",-0.33817783,-0.27164593,-0.3170134,-0.3881955,0.0711821
25,0.28832403,0.2996704,"('egoistic', 'altruistic')",0.7545933,0.6137618,0.5214587,0.4567161,0.0647426
