,marsh_male,marsh_female,tuple,&_male,&_female,mclennan_male,mclennan_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
82,-1.684237,-1.6197262,"('poor', 'rich')",-0.14459601,0.15726444,-1.0488814,-1.092512,0.5360412,0.47641253,5.757871,5.81911,0.6832396,0.7481098,-0.0648702
47,-1.5377028,-1.4835966,"('stupid', 'smart')",-0.024420612,0.13370906,-1.6346241,-1.5426909,0.54519296,0.4815998,4.455617,4.4136825,0.3608125,0.4005408,-0.0397283
77,-1.5211985,-1.3408422,"('unmotivated', 'motivated')",0.21807261,0.3228697,-1.3519729,-1.4934349,-0.09624188,-0.28457507,-1.0076416,-0.9575946,-0.7517965,-0.7507154,-0.0010811
73,1.5167532,1.5930558,"('helpless', 'self-reliant')",0.48512775,0.47144756,1.8510165,1.9803203,0.053155757,0.12007314,-3.3822734,-3.2854435,0.1047559,0.1758907,-0.0711348
60,-1.326749,-1.0776542,"('inefficient', 'efficient')",0.9403134,0.9820314,-3.0748088,-3.017486,0.9246177,0.5518784,0.15482117,0.5269462,-0.4763611,-0.4068568,-0.0695043
74,1.2278676,1.3975494,"('undedicated', 'dedicated')",0.95473194,1.0943643,-0.30137628,-0.05959153,0.50060874,0.4020306,0.5826715,0.47898707,0.5929007,0.662668,-0.0697673
44,-1.0967393,-1.1756564,"('prejudiced', 'unprejudiced')",-1.6095439,-1.7235556,1.0993804,1.0611348,-0.80487233,-0.8190393,-1.5928366,-1.6377318,-0.8009224,-0.8589697,0.0580473
7,1.090578,1.2567177,"('insensitive', 'sensitive')",0.1873963,0.28857157,-1.5323232,-1.435949,-0.09132512,-0.25442556,0.86325866,0.97437197,0.1035169,0.1658573,-0.0623404
18,-1.0818337,-1.1136229,"('disagreeable', 'welcoming')",0.5493731,0.58623844,0.16825183,0.24936159,-1.9218398,-1.759309,-0.5629154,-0.41984916,-0.5697928,-0.4914362,-0.0783566
39,1.0808257,0.809098,"('exploitative', 'cooperative')",0.15601698,0.03467852,-0.33837527,-0.47538885,1.320274,1.2178856,0.2207617,0.17283526,0.4879006,0.3518217,0.1360789
9,1.0491287,0.84148717,"('unaffectionate', 'caring')",-0.25141793,-0.31277615,-0.20139092,-0.41713703,-0.5453762,-0.6509736,1.655705,1.3744332,0.3413297,0.1670067,0.174323
88,-1.0474647,-1.0905719,"('low', 'eminent')",-0.42050695,-0.58771163,-0.9445129,-1.0815166,-0.5874736,-0.70465535,0.62791836,0.47982222,-0.474408,-0.5969266,0.1225186
43,-1.0163735,-0.72308785,"('irresponsible', 'responsible')",0.16934332,0.36920998,-3.1645765,-2.965313,-0.024832591,-0.26225895,0.9386425,1.1014435,-0.6195594,-0.4960012,-0.1235582
20,-0.9984947,-0.61526835,"('rough', 'thoughtful')",0.8062718,1.0238658,-0.86651504,-0.6525118,-0.11844318,-0.12927987,0.9924027,0.80213785,-0.0369557,0.0857887,-0.1227444
49,-0.9813253,-1.0340819,"('unable', 'able')",-0.025793076,0.17875548,-1.1995951,-1.2385802,-1.1493552,-1.1457622,-0.51316476,-0.36064553,-0.7738467,-0.7200629,-0.0537838
51,-0.9696538,-0.84780884,"('uneducated', 'educated')",0.83553517,0.8765898,-0.911843,-1.0107218,0.26299465,0.09211098,0.8606271,0.9357544,0.015532,0.0091849,0.0063471
69,0.96954805,0.4669981,"('lazy', 'industrious')",0.7994023,0.69792044,2.7699926,2.4702055,1.0132755,0.824677,-0.38971382,-0.82402015,1.0325009,0.7271562,0.3053447
35,0.9577071,0.6356926,"('corrupt', 'incorrupt')",-0.50793934,-0.6185405,3.146483,2.9045768,-0.70488054,-0.43557552,-0.111235954,-0.43421522,0.5560269,0.4103876,0.1456393
71,0.93658686,0.7382445,"('diffident', 'self-confident')",-0.109847,-0.12140839,0.052799217,0.12302223,-0.42901903,-0.2965893,0.50228226,0.4046992,0.1905605,0.1695936,0.0209669
54,-0.90302086,-1.0075462,"('incapable', 'capable')",-0.35801154,-0.29128164,-0.1002917,-0.16683626,-0.6968442,-0.7370862,0.96731174,0.83883166,-0.2181713,-0.2727837,0.0546124
58,-0.90260094,-0.27936846,"('undiscriminating', 'discriminating')",-0.41971073,-0.13934661,-2.2060397,-1.645432,0.09025115,0.07747911,0.14280877,0.19205382,-0.6590583,-0.3589228,-0.3001355
46,-0.8937032,-0.5323149,"('uncompetitive', 'competitive')",1.5119238,1.6412753,-4.0368233,-3.72536,-0.17020404,-0.43026328,-0.115517154,0.112455346,-0.7408648,-0.5868415,-0.1540233
52,-0.8843011,-1.1541659,"('irrational', 'rational')",-0.34549597,-0.4101749,0.52133393,0.22248393,-1.2728242,-1.2991682,0.04505389,-0.43820694,-0.3872467,-0.6158464,0.2285997
16,-0.835253,-1.1531179,"('unpopular', 'popular')",0.18169214,0.17715047,0.2294367,0.012393143,-0.45718974,-0.43201464,0.46884897,0.21871062,-0.082493,-0.2353756,0.1528826
61,-0.8066409,-0.9087388,"('illogical', 'logical')",0.34884223,0.36895064,-2.0718074,-2.1586175,-0.29693127,-0.4442956,0.39838386,0.4014154,-0.4856307,-0.5482572,0.0626265
53,-0.8011633,-0.93277186,"('uncreative', 'creative')",0.21869496,0.20137961,-1.2865977,-1.536031,0.48896822,0.22181281,1.5326843,1.135478,0.0305173,-0.1820265,0.2125438
37,0.7955943,0.9268849,"('fake', 'genuine')",0.5068845,0.555055,-0.43154633,-0.25747758,-0.18751875,-0.25977224,0.7700057,0.8157027,0.2906839,0.3560785,-0.0653946
56,0.78968203,1.0406903,"('impractical', 'practical')",0.34750715,0.4632244,-1.3087655,-1.1343582,0.75543183,0.5665871,-0.27877015,0.05966495,0.0610171,0.1991617,-0.1381446
33,0.76549506,0.6382587,"('wrong', 'right')",-0.13268623,-0.3602251,1.7690679,1.6799021,-0.30680716,-0.42911658,-0.4363274,-0.5995664,0.3317484,0.1858505,0.1458979
65,-0.76400983,-0.90307313,"('insecure', 'secure')",0.7977973,0.80063397,-2.6494308,-2.6591697,0.45159572,0.159195,-0.4821312,-0.22289,-0.5292357,-0.5650608,0.0358251
55,0.7297629,0.9468539,"('incompetent', 'clever')",1.2271454,1.3042661,-2.7837503,-2.5797505,0.013868697,-0.33563298,-0.025679972,0.29740506,-0.1677306,-0.0733717,-0.0943589
83,-0.6996203,-0.5291226,"('powerless', 'powerful')",-0.02058442,0.07551095,-1.0700312,-0.79612976,-1.2158757,-1.1494604,-0.7030547,-0.54539484,-0.7418333,-0.5889194,-0.1529139
36,-0.66762376,-0.8942609,"('hostile', 'amicable')",-0.90347993,-1.0264149,1.273529,0.95942134,-0.5581222,-0.5792422,0.2724721,-0.36258414,-0.116645,-0.3806161,0.2639711
34,-0.66114783,-0.51504046,"('mean', 'honorable')",-0.33058247,-0.08638576,-1.0618789,-0.91207474,0.5371562,0.4433518,5.94415,5.7903547,0.8855393,0.9440411,-0.0585018
12,0.6485863,0.86960685,"('unsupportive', 'supportive')",1.0769839,1.1243492,-0.930028,-0.75885403,-0.50307596,-0.59117514,-1.0439816,-0.9370228,-0.1503031,-0.0586192,-0.0916839
76,-0.63770837,-0.3985131,"('anxious', 'daring')",1.780607,1.8654104,-2.135396,-1.983978,0.43493563,0.3726054,-0.14763102,0.14482136,-0.1410386,6.92e-05,-0.1411078
23,-0.6342037,-0.4094143,"('insincere', 'sincere')",-0.40683883,-0.24239634,-2.3734903,-2.2449872,-0.31563157,-0.45503238,5.649293,5.6012225,0.3838257,0.4498785,-0.0660528
62,-0.6173202,-0.2386427,"('incompetent', 'brilliant')",-0.24376914,-0.054042347,-2.586041,-2.2272308,-0.48326784,-0.4942364,0.25648925,0.73988986,-0.7347817,-0.4548525,-0.2799292
27,0.6168698,0.6693131,"('hardhearted', 'softhearted')",-0.90907663,-0.9123586,-1.4208658,-1.4369434,0.091544494,0.10885136,1.6162657,1.3437653,-0.0010525,-0.0454745,0.044422
81,-0.6164904,-0.5820999,"('submissive', 'aggressive')",0.29726642,0.39428943,-2.572964,-2.7228699,-0.3794133,-0.6076702,-1.1506107,-0.8087955,-0.8844424,-0.8654292,-0.0190132
4,-0.6071814,-0.5775295,"('disliked', 'liked')",0.3500377,0.35957155,0.8515691,0.91345876,-1.0225774,-0.7603911,-5.82429,-5.6377206,-1.2504884,-1.1405222,-0.1099662
24,0.6011173,0.7057321,"('dishonest', 'honest')",-0.48363522,-0.37883198,-1.5153563,-1.5880915,-0.5849614,-0.72780627,1.1662452,1.2513436,-0.1633181,-0.1475308,-0.0157873
70,-0.578903,-0.09648711,"('lethargic', 'energetic')",0.52406657,0.7796656,-3.0509999,-2.674383,-0.07473777,-0.247612,0.63684964,1.0527138,-0.5087449,-0.2372205,-0.2715244
30,0.5612813,0.6047156,"('intolerant', 'tolerant')",-0.47561187,-0.33312407,-2.0861733,-2.0383668,0.13142742,-0.0021732673,0.81557524,1.0881886,-0.2107002,-0.136152,-0.0745482
48,-0.5578847,-0.36663207,"('unintelligent', 'intelligent')",-0.6897041,-0.66533273,-3.157531,-3.1094034,-0.6785337,-0.9881277,0.65948707,0.6894794,-0.8848332,-0.8880033,0.0031701
32,-0.54213727,-0.78561676,"('unkind', 'kind')",0.2563461,0.19137059,-1.8954877,-2.0462365,0.7591461,0.5416659,1.5763459,1.4030015,0.0308427,-0.1391631,0.1700058
63,-0.53691137,-0.21364708,"('unperceptive', 'insightful')",0.9207877,1.060457,-2.7299106,-2.4299097,0.27483827,0.18252675,1.4308922,1.7020633,-0.1280608,0.060298,-0.1883588
2,-0.49017996,-0.6484521,"('unlikable', 'likable')",0.8008321,0.8976082,0.10374258,0.100690514,0.91941404,0.9434676,0.6986469,0.8477769,0.4064911,0.4282182,-0.0217271
50,-0.472971,-0.68150264,"('clumsy', 'skillful')",1.8737441,1.839972,0.9159341,0.7877806,0.7698748,0.6020933,0.8207924,0.2474951,0.7814749,0.5591677,0.2223072
3,-0.4228559,-0.39804217,"('repellent', 'pleasant')",0.18249634,0.16647643,-1.5297204,-1.3918049,0.58297724,0.41445604,0.06978717,0.18106498,-0.2234631,-0.2055699,-0.0178932
8,0.41956967,0.31989717,"('unaffectionate', 'affectionate')",-0.47904712,-0.45949727,-0.12837945,-0.121773995,-1.405665,-1.3685732,0.6636148,0.36532825,-0.1859814,-0.2529238,0.0669424
6,0.3733135,0.22516327,"('distant', 'open')",-0.69860005,-0.6058736,1.6959065,1.6150184,-1.4138921,-1.343271,0.4340295,0.09295681,0.0781515,-0.0032012,0.0813527
13,0.36922392,0.16644126,"('impolite', 'polite')",0.38069803,0.23300362,-1.7156008,-1.8390033,0.95656925,0.7304155,-0.029919833,0.31071383,-0.0078059,-0.0796858,0.0718799
72,-0.34648517,-0.15151054,"('unambitious', 'ambitious')",-0.9127186,-0.866107,-0.96671146,-0.94340867,-0.8937057,-0.98313516,-0.73537415,-0.7078324,-0.770999,-0.7303988,-0.0406002
64,-0.34375203,-0.5005697,"('shy', 'confident')",0.92730105,0.764884,-0.27452073,-0.5082081,0.028685391,-0.16735142,-5.9618506,-5.578122,-1.1248274,-1.1978735,0.0730461
41,-0.33699697,-0.2344642,"('unforgiving', 'forgiving')",-0.7063956,-0.6345353,-1.638771,-1.6164134,0.21402574,0.17002197,0.11800511,0.28848958,-0.4700266,-0.4053802,-0.0646464
17,0.32484263,0.13238585,"('nasty', 'nice')",0.5014597,0.51103944,-0.08565453,-0.40947765,-0.82579046,-0.73647195,-1.1023041,-1.0346482,-0.2374894,-0.3074345,0.0699451
38,0.31789273,0.5836571,"('untruthful', 'truthful')",-1.370463,-1.2462218,-0.07686621,-0.04639329,-0.77166027,-0.7386486,0.5954576,0.535741,-0.2611279,-0.1823731,-0.0787548
84,0.28492,0.23234473,"('inferior', 'superior')",1.4884021,1.4287754,0.1015379,-0.06347728,0.5554653,0.5021017,0.69249326,0.7034801,0.6245637,0.5606449,0.0639188
87,-0.26863265,-0.4491884,"('unsuccessful', 'successful')",2.432645,2.4203982,-0.50403625,-0.6354299,1.0232104,0.93784416,0.702451,0.69431055,0.6771275,0.5935869,0.0835406
10,-0.2670864,-0.18588184,"('unsympathetic', 'sympathetic')",0.3710798,0.49770725,-4.0252376,-3.970737,-0.025445692,-0.4663118,0.3757065,0.45890865,-0.7141967,-0.733263,0.0190663
40,-0.2559874,0.0069331387,"('stingy', 'generous')",-0.456362,-0.40761775,-0.35541305,-0.06834228,-0.9473188,-0.9820344,-1.0686622,-1.01306,-0.6167487,-0.4928243,-0.1239244
80,-0.25141856,-0.06417461,"('dominated', 'dominating')",0.76262903,0.8208508,-1.4658097,-1.2416233,0.31262404,0.21120128,-1.2454507,-1.124312,-0.3774852,-0.2796116,-0.0978736
21,0.24674708,0.39580882,"('immoral', 'moral')",1.014288,0.98434544,-2.8436658,-2.7783346,-0.1788305,-0.5334289,-1.1434655,-0.8100287,-0.5809854,-0.5483276,-0.0326578
68,-0.22639914,-0.30089375,"('dependent', 'independent')",-0.014002323,-0.07246083,-0.39053473,-0.433933,-1.1644933,-1.172452,-0.2868427,-0.099318065,-0.4164544,-0.4158115,-0.0006429
0,-0.21640062,-0.2969101,"('unsociable', 'sociable')",0.7804284,0.7967711,-2.825445,-2.878023,0.045802567,-0.20683028,-0.57630956,-0.31968313,-0.5583848,-0.580935,0.0225502
78,0.19623603,0.14310314,"('nonresilient', 'resilient')",0.5972639,0.5394676,-1.4648643,-1.4318018,0.6694298,0.68059,0.7140461,0.5655781,0.1424223,0.0993874,0.0430349
42,0.18104775,0.15283485,"('unreliable', 'reliable')",1.1732254,1.2171787,-0.022119295,0.03407097,-0.11636179,-0.27278364,-2.7347822,-2.7430155,-0.303798,-0.3223429,0.0185449
59,-0.16043007,-0.5603424,"('foolish', 'wise')",0.4744026,0.43137318,1.3730596,0.9991233,-0.18421811,-0.22466844,0.30610996,-0.03925684,0.3617848,0.1212458,0.240539
86,-0.1465148,0.010483794,"('uninfluential', 'influential')",0.12133588,0.21442793,-3.3317447,-3.2509947,-0.71882206,-0.93474627,0.15390605,0.32223994,-0.7843679,-0.7277179,-0.05665
67,0.14417726,0.19133738,"('doubtful', 'determined')",0.08253837,-0.04360305,0.554168,0.51533496,0.3740492,0.3713656,-0.5532781,-0.30675355,0.1203309,0.1455363,-0.0252054
