,coca_male,coca_female,tuple,cola_male,cola_female,europacific_male,europacific_female,partners_male,partners_female,average_male,average_female,male-female
73,2.3517826,2.538701,"('helpless', 'self-reliant')",0.3466918,0.49594674,0.5068787,0.8181406,-3.864363,-3.7011333,-0.1647525,0.0379138,-0.2026663
45,-1.8867495,-1.5823908,"('incompetent', 'competent')",-0.5191424,-0.5013869,-0.3956032,-0.46430477,0.05811208,-0.0100776795,-0.6858457,-0.63954,-0.0463057
3,-1.826882,-1.5191405,"('repellent', 'pleasant')",-0.8396196,-0.769747,-0.018895607,0.07748331,0.53322256,0.5276135,-0.5380436,-0.4209476,-0.117096
77,-1.6527528,-1.5399227,"('unmotivated', 'motivated')",-0.49358666,-0.4824092,-0.5055872,-0.4509439,-0.39412442,-0.3077836,-0.7615128,-0.6952649,-0.0662479
85,1.6217747,1.8196875,"('insignificant', 'prestigious')",-0.38274142,-0.30222327,-0.22009988,-0.055460438,-0.23198876,-0.2044709,0.1967361,0.3143832,-0.1176471
18,-1.4067934,-0.8940691,"('disagreeable', 'welcoming')",-0.77215314,-0.58457386,-0.8325653,-0.6080281,-0.549892,-0.43801773,-0.8903509,-0.6311722,-0.2591787
58,1.3500314,1.4301249,"('undiscriminating', 'discriminating')",0.48993707,0.47072396,-1.2274411,-1.2211797,-0.28613508,-0.29591838,0.0815981,0.0959377,-0.0143396
56,1.3114142,1.3812683,"('impractical', 'practical')",1.635008,1.561338,0.38557592,0.4099975,0.33089557,0.4401242,0.9157234,0.948182,-0.0324586
82,-1.2524852,-0.9809228,"('poor', 'rich')",-0.6570911,-0.53403646,-0.57214576,-0.7413504,5.8411345,5.654538,0.8398532,0.8495571,-0.0097039
83,1.2473701,1.0233878,"('powerless', 'powerful')",0.69881326,0.5687089,0.3162134,0.29037437,-0.36999476,-0.35200945,0.4731005,0.3826154,0.0904851
65,-1.2135141,-1.5131125,"('insecure', 'secure')",0.54846716,0.38403532,0.39104748,0.13524468,1.0131097,1.0088558,0.1847776,0.0037558,0.1810218
39,1.1909754,0.9963779,"('exploitative', 'cooperative')",1.4706988,1.3601316,0.95744425,1.0387875,1.4294794,1.5390565,1.2621495,1.2335885,0.028561
28,-1.1892059,-1.0579337,"('disloyal', 'loyal')",-0.12235836,-0.08709422,-0.5526292,-0.6915748,1.3579139,1.2423006,-0.1265699,-0.1485755,0.0220056
64,-1.1303091,-1.0773975,"('shy', 'confident')",-0.53741264,-0.57079,0.53531325,0.6463406,-5.2111692,-4.8818364,-1.5858945,-1.4709208,-0.1149737
74,1.0723337,1.3306671,"('undedicated', 'dedicated')",0.6006597,0.64924574,-0.05376858,-0.04207765,0.8483733,0.83599204,0.6168995,0.6934568,-0.0765573
69,1.0508605,1.088623,"('lazy', 'industrious')",0.3920626,0.48115316,1.0391377,1.2761965,-1.583549,-1.29678,0.224628,0.3872981,-0.1626701
5,1.0160878,1.2785697,"('distant', 'outgoing')",0.07322459,0.23324735,-0.8105181,-0.6251139,-0.4161083,-0.27169934,-0.0343285,0.153751,-0.1880795
27,-1.0077907,-0.73160565,"('hardhearted', 'softhearted')",-0.3716039,-0.38189313,-0.63844645,-0.5270163,0.42549452,0.46620092,-0.3980866,-0.2935785,-0.1045081
67,0.94070107,0.67765063,"('doubtful', 'determined')",0.96881753,0.86664844,1.4732735,1.3812358,0.010646457,0.03608743,0.8483596,0.7404056,0.107954
71,0.9390379,0.97034955,"('diffident', 'self-confident')",1.0366017,1.0283684,-1.2248306,-1.0792913,0.6473959,0.7510165,0.3495512,0.4176108,-0.0680596
84,0.9047235,0.68656576,"('inferior', 'superior')",1.117366,1.133617,0.3741643,0.198938,0.30577406,0.28623348,0.6755069,0.5763385,0.0991684
13,-0.8979171,-0.8627249,"('impolite', 'polite')",0.53554857,0.32406735,0.15463449,0.19246446,0.80838096,0.9798495,0.1501617,0.1584141,-0.0082524
10,-0.87499607,-0.5371048,"('unsympathetic', 'sympathetic')",-0.2817446,-0.26098478,-1.5018575,-1.5166087,0.7171599,0.77321905,-0.4853595,-0.3853698,-0.0999897
40,-0.80563134,-0.5380524,"('stingy', 'generous')",-0.35463536,-0.19535194,-0.078822196,-0.0016602539,-1.9922744,-1.8548126,-0.8078408,-0.6474693,-0.1603715
33,0.80543995,0.97821736,"('wrong', 'right')",-0.094507396,-0.012622522,0.33252728,0.4314823,-0.31017572,-0.28128552,0.183321,0.2789479,-0.0956269
81,-0.7992112,-0.9237288,"('submissive', 'aggressive')",-0.29855692,-0.37586302,0.67903256,0.49902272,0.34192115,0.4121964,-0.0192036,-0.0970932,0.0778896
70,-0.7766862,-0.36754307,"('lethargic', 'energetic')",-0.47246298,-0.36782232,-0.19746159,-0.12023762,1.575923,1.6781546,0.032328,0.2056379,-0.1733099
51,-0.7570502,-0.7282044,"('uneducated', 'educated')",-0.21284029,-0.19522196,-0.3161659,-0.48487052,0.7327779,0.6899736,-0.1383196,-0.1795808,0.0412612
87,0.7468035,0.59403306,"('unsuccessful', 'successful')",0.5674212,0.5596806,0.70345974,0.7701514,0.40849832,0.5588548,0.6065457,0.62068,-0.0141343
36,-0.7420056,-0.5006249,"('hostile', 'amicable')",-0.9415891,-0.78263247,-0.74204713,-0.6168447,-0.4898591,-0.6122459,-0.7288752,-0.628087,-0.1007882
24,-0.73706186,-0.28884453,"('dishonest', 'honest')",-0.52724415,-0.3488735,-0.44990063,-0.43326825,1.2452575,1.3420664,-0.1172373,0.06777,-0.1850073
57,-0.7248467,-0.46488115,"('unimaginative', 'imaginative')",-0.65868247,-0.65889513,-1.2647704,-1.3384567,-2.5303032,-2.4892757,-1.2946508,-1.2378771,-0.0567737
