,t_male,t_female,tuple,rowe_male,rowe_female,price_male,price_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
21,2.1701405,2.329506,"('immoral', 'moral')",3.3941936,3.4268832,1.5301951,1.5842322,0.4980924,0.48562676,-0.9140043,-0.88010997,1.3357235,1.3892277,-0.0535042
35,-1.5552804,-1.4768753,"('corrupt', 'incorrupt')",-4.359565,-4.2667084,-1.4014736,-1.2716448,-2.2653368,-2.2293823,-0.29236954,-0.2777071,-1.9748051,-1.9044636,-0.0703415
80,1.5240045,1.6731251,"('dominated', 'dominating')",2.7803233,2.8687837,0.18276544,0.10733946,1.2769606,1.3862156,-1.2157524,-1.126943,0.9096603,0.9817041,-0.0720438
81,1.4409723,1.5889721,"('submissive', 'aggressive')",3.7251809,3.7665052,0.5617862,0.5079811,1.334928,1.347883,-1.192687,-1.0301995,1.174036,1.2362285,-0.0621925
14,1.3639321,1.6520312,"('antisocial', 'social')",2.1228807,2.198426,1.8681827,1.8774887,1.3540962,1.6771328,-0.69938713,-0.5230085,1.201941,1.3764141,-0.1744731
36,-1.287608,-1.349091,"('hostile', 'amicable')",-3.4103918,-3.4286153,-0.9228381,-0.74423134,-1.6497668,-1.6717508,0.10277705,-0.019852918,-1.4335656,-1.4427083,0.0091427
13,1.2398423,1.5222408,"('impolite', 'polite')",3.4619567,3.5339117,1.4712757,1.4215782,0.47037894,0.69245213,-0.45146853,-0.1921726,1.238397,1.395602,-0.157205
55,1.2374017,1.2798301,"('incompetent', 'clever')",3.344702,3.3651488,1.2562084,1.1803489,1.0829884,1.1239736,-0.2592599,-0.19253956,1.3324081,1.3513524,-0.0189443
49,-1.2214314,-1.1221577,"('unable', 'able')",-0.35742745,-0.32135317,-0.39516062,-0.38667387,-0.9206326,-0.87795156,-0.44321302,-0.2901818,-0.667573,-0.5996636,-0.0679094
87,1.1771349,1.2978879,"('unsuccessful', 'successful')",0.6196064,0.5715854,0.62592196,0.5366429,1.5656337,1.6797191,0.8629408,0.8834148,0.9702476,0.99385,-0.0236024
46,1.1643618,1.3009564,"('uncompetitive', 'competitive')",2.2154849,2.2844667,1.147529,1.2454413,1.8931348,1.9772376,-0.51302564,-0.5766131,1.1814969,1.2462978,-0.0648009
6,-1.1462483,-1.1217328,"('distant', 'open')",-2.821697,-2.8153925,-1.5467556,-1.522841,-1.9445068,-1.9725244,0.32689673,0.35519114,-1.4264622,-1.4154598,-0.0110024
31,-1.1202517,-1.1995736,"('evil', 'good')",-3.7052195,-3.657432,-1.2623862,-1.1098747,-1.6473129,-1.7207987,-1.0621449,-1.1689402,-1.7594631,-1.771324,0.0118609
22,1.0464293,1.1791006,"('untrustworthy', 'trustworthy')",0.8025583,1.0104789,0.33979782,0.41205147,0.6562611,0.8013686,-1.012683,-0.9322069,0.3664727,0.4941585,-0.1276858
73,0.9939398,1.1093009,"('helpless', 'self-reliant')",-1.0465761,-1.0026916,1.1139868,1.2332844,-0.11696546,-0.056467675,-3.2053003,-3.191811,-0.4521831,-0.381677,-0.0705061
51,0.9864519,0.94020027,"('uneducated', 'educated')",1.7845426,1.8028146,0.5648551,0.6205466,0.076746926,-0.063833185,0.26848024,0.30724025,0.7362154,0.7213937,0.0148217
62,0.9664868,1.1148721,"('incompetent', 'brilliant')",1.6032178,1.7925057,1.074968,1.0241446,0.7165351,0.9749922,-0.1320937,0.18957363,0.8458227,1.0192177,-0.173395
4,-0.95553046,-0.8422397,"('disliked', 'liked')",-2.991064,-2.8752453,-0.7116308,-0.33771563,-0.77345645,-0.51052934,-6.388263,-6.5270824,-2.3639889,-2.2185625,-0.1454264
61,0.9509125,1.0559263,"('illogical', 'logical')",0.32486653,0.38090095,0.86138093,0.6948995,-0.10213584,-0.19583856,0.16178486,0.14403811,0.4393618,0.4159853,0.0233765
69,-0.94454765,-1.0271003,"('lazy', 'industrious')",-2.9687371,-3.0769653,0.057455897,-0.13167247,0.33055478,0.30738187,-0.23966172,-0.43672475,-0.7529871,-0.8730163,0.1200292
1,-0.9410324,-1.1203696,"('unfriendly', 'friendly')",-2.9703872,-3.0133884,-0.47534567,-0.4417957,-0.063426666,-0.32167563,1.7453169,1.649019,-0.540975,-0.6496421,0.1086671
64,0.931763,0.99576545,"('shy', 'confident')",0.91295016,0.95888376,0.3019485,0.35228616,0.65414596,0.71221334,-6.3167415,-6.4464893,-0.7031868,-0.6854681,-0.0177187
60,0.93087226,1.1892077,"('inefficient', 'efficient')",4.0951233,4.232583,1.1101435,1.153536,1.7119756,1.8553396,-0.16927563,0.09575099,1.5357678,1.7052834,-0.1695156
