,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
55,5.488004,4.1275296,"('incompetent', 'clever')",1.7193633,1.6696135,-1.5898693,-1.5958298,1.8724995,1.4004377,0.4720618
31,-5.4626884,-4.2490745,"('evil', 'good')",-1.9948206,-1.6714994,0.48114246,0.5040874,-2.3254555,-1.8054954,-0.5199601
46,5.300939,3.7826438,"('uncompetitive', 'competitive')",1.5153326,1.2710027,-0.9758677,-1.0655885,1.9468013,1.3293527,0.6174486
10,5.229901,3.9744887,"('unsympathetic', 'sympathetic')",1.2719004,1.0144205,-1.8427066,-1.8022627,1.5530316,1.0622155,0.4908161
60,5.12665,3.9058359,"('inefficient', 'efficient')",2.048945,1.9123656,-0.9047705,-0.7251241,2.0902748,1.6976926,0.3925822
21,4.773532,3.922097,"('immoral', 'moral')",1.2052177,1.0935482,-1.3996007,-1.4309558,1.5263831,1.1948964,0.3314867
35,-4.692676,-3.2480087,"('corrupt', 'incorrupt')",-1.1235995,-0.65859604,0.91083074,1.0145509,-1.6351484,-0.9640179,-0.6711305
7,4.657225,3.937363,"('insensitive', 'sensitive')",1.4623212,1.383245,-0.2797119,-0.13602982,1.9466116,1.7281928,0.2184188
36,-4.64503,-3.52091,"('hostile', 'amicable')",-2.024639,-1.497607,1.6607352,1.8461863,-1.6696447,-1.0574436,-0.6122011
62,4.5327187,3.1737835,"('incompetent', 'brilliant')",1.7806585,1.4242966,-0.16552295,-0.29361844,2.0492848,1.4348205,0.6144643
85,-4.297438,-2.9443831,"('insignificant', 'prestigious')",-1.7013385,-1.0843385,1.2933625,1.5768057,-1.5684713,-0.8173054,-0.7511659
80,4.214528,3.280579,"('dominated', 'dominating')",1.5970057,1.2898629,-1.2180716,-1.2402856,1.5311542,1.1100522,0.421102
79,-4.125517,-3.0546782,"('wavering', 'unwavering')",-0.7639801,-0.41517767,1.1806316,1.2897676,-1.2362884,-0.726696,-0.5095924
6,-3.8354955,-2.9796672,"('distant', 'open')",-0.7088903,-0.35943118,1.4278357,1.5087893,-1.0388501,-0.6101031,-0.428747
56,3.81695,2.624974,"('impractical', 'practical')",1.8822078,1.6231238,-0.09896628,-0.10527588,1.8667305,1.3809406,0.4857899
23,3.7744038,3.07414,"('insincere', 'sincere')",2.0778909,1.9484009,2.9631867,2.985684,2.9384937,2.6694082,0.2690855
69,-3.7054217,-3.052937,"('lazy', 'industrious')",-0.83571726,-0.37790427,1.2589722,1.38962,-1.0940557,-0.680407,-0.4136487
5,-3.6171062,-2.913655,"('distant', 'outgoing')",-0.70436,-0.45888746,1.3418691,1.3996289,-0.9931991,-0.6576378,-0.3355613
13,3.6021693,2.6829705,"('impolite', 'polite')",1.2092094,0.90238225,-0.7383782,-0.75552523,1.3576668,0.9432759,0.4143909
14,3.595305,2.607447,"('antisocial', 'social')",1.348715,1.0554436,-1.3876646,-1.5427833,1.1854517,0.7067024,0.4787493
43,3.5764105,2.7685468,"('irresponsible', 'responsible')",1.2799801,1.1666869,-1.0288806,-0.9080545,1.2758366,1.0090597,0.2667769
11,3.5110457,2.643779,"('unhelpful', 'helpful')",1.5994475,1.4292622,0.5234703,0.42400163,1.8779879,1.4990142,0.3789737
81,3.444181,2.2276008,"('submissive', 'aggressive')",1.0650189,0.8168786,-1.9351498,-2.064187,0.8580168,0.3267641,0.5312527
65,3.2599087,2.561713,"('insecure', 'secure')",0.91668093,0.81911904,-0.752517,-0.7620162,1.1413575,0.8729386,0.2684189
70,3.076285,2.1280575,"('lethargic', 'energetic')",1.1837978,0.75542974,-1.0027753,-1.1383967,1.0857692,0.5816968,0.5040724
45,3.0396297,1.947383,"('incompetent', 'competent')",1.2558547,0.86177737,-1.371285,-1.3572581,0.9747332,0.4839675,0.4907657
0,2.9684172,1.8976496,"('unsociable', 'sociable')",0.32719785,0.29982966,-0.56535083,-0.54371303,0.9100881,0.5512554,0.3588327
63,2.9532206,2.0526047,"('unperceptive', 'insightful')",1.0240226,0.77281666,0.39065635,0.45977798,1.4559665,1.0950665,0.3609
76,2.8834114,2.2701175,"('anxious', 'daring')",1.3610737,1.4575212,-0.31190017,-0.29247215,1.3108616,1.1450555,0.1658061
30,2.6194713,2.0261748,"('intolerant', 'tolerant')",1.2459111,1.0888463,-0.8939188,-0.905556,0.9904879,0.7364884,0.2539995
52,-2.5805452,-1.7639297,"('irrational', 'rational')",-0.874248,-0.5524721,0.40722245,0.49926677,-1.0158569,-0.6057117,-0.4101452
25,-2.566378,-1.8975195,"('egoistic', 'altruistic')",-1.0632193,-0.6164878,1.085699,1.3408072,-0.8479662,-0.3910667,-0.4568995
12,2.49515,2.155073,"('unsupportive', 'supportive')",1.5095017,1.5338063,-1.2024398,-1.0262188,0.9340707,0.8875535,0.0465172
4,-2.4651868,-2.087483,"('disliked', 'liked')",-0.15652195,-0.18518557,-2.5877492,-2.6202374,-1.7364861,-1.6309687,-0.1055174
