,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
64,-2.846909,-3.0024734,"('shy', 'confident')",-0.8252791,-0.83042824,-7.1533813,-6.5919538,-3.6085231,-3.4749517,-0.1335714
85,2.7637782,3.3159733,"('insignificant', 'prestigious')",1.9757476,2.4898617,1.2872257,1.9681642,2.0089172,2.5913331,-0.5824159
26,2.715919,3.2463963,"('hardhearted', 'benevolent')",2.7109962,2.8625808,1.5497814,1.9044193,2.3255655,2.6711321,-0.3455666
45,-2.5673428,-2.5307872,"('incompetent', 'competent')",-1.3857453,-1.4552019,-1.373852,-1.7972178,-1.7756467,-1.9277356,0.1520889
22,-2.4912505,-2.5906577,"('untrustworthy', 'trustworthy')",-1.458083,-1.6734397,-2.023174,-2.2983737,-1.9908358,-2.1874903,0.1966545
81,-2.4017572,-2.7567205,"('submissive', 'aggressive')",-1.3273518,-1.642515,-2.3452418,-2.821277,-2.0247836,-2.4068375,0.3820539
44,-2.3441527,-2.4790509,"('prejudiced', 'unprejudiced')",-1.1119648,-1.2131487,-1.7718395,-1.624847,-1.7426524,-1.7723489,0.0296965
65,-2.2273693,-2.5626101,"('insecure', 'secure')",-1.385882,-1.4865186,-1.583735,-2.1033685,-1.7323287,-2.0508324,0.3185037
25,2.2063963,2.5781014,"('egoistic', 'altruistic')",1.2557931,1.8288484,1.6087389,2.126723,1.6903095,2.1778911,-0.4875816
46,-2.1848333,-2.51256,"('uncompetitive', 'competitive')",-1.0896456,-1.529972,-0.6198482,-1.0754434,-1.2981091,-1.7059917,0.4078826
6,2.1689987,2.7024362,"('distant', 'open')",0.9815867,1.3838924,0.8175281,1.1603903,1.3227045,1.7489063,-0.4262018
35,2.1319158,2.2626219,"('corrupt', 'incorrupt')",0.8979521,1.1461718,0.45407176,0.93549883,1.1613132,1.4480975,-0.2867843
79,2.121317,2.3761249,"('wavering', 'unwavering')",0.5678577,0.95538646,0.52069855,0.7630606,1.0699577,1.3648574,-0.2948997
8,2.0683913,2.3783245,"('unaffectionate', 'affectionate')",1.0695689,1.5287969,1.4931293,1.880866,1.5436964,1.9293292,-0.3856328
9,2.016332,2.428136,"('unaffectionate', 'caring')",0.32185403,0.82269025,1.3653166,1.6023606,1.2345009,1.617729,-0.3832281
70,-1.9549303,-2.027879,"('lethargic', 'energetic')",-1.036022,-1.2376648,-0.4067672,-0.9077995,-1.1325731,-1.3911146,0.2585415
3,-1.9492617,-2.0019784,"('repellent', 'pleasant')",-1.1008626,-1.1594644,0.68197125,0.34560406,-0.7893843,-0.9386129,0.1492286
71,1.936843,2.290378,"('diffident', 'self-confident')",0.11969435,0.55694777,0.2637877,0.70312446,0.7734417,1.1834834,-0.4100417
69,1.9137411,2.1258276,"('lazy', 'industrious')",1.1687996,1.3901844,0.14315015,0.8010326,1.0752303,1.4390149,-0.3637846
5,1.8658059,2.3029842,"('distant', 'outgoing')",0.9589736,1.270427,0.4393216,0.7620632,1.0880337,1.4451582,-0.3571245
36,1.860086,2.291633,"('hostile', 'amicable')",0.6872632,1.2345042,1.0310081,1.5531199,1.1927857,1.6930857,-0.5003
11,-1.8311003,-2.1901567,"('unhelpful', 'helpful')",-2.1062012,-2.464359,1.4425992,0.6444639,-0.8315674,-1.3366839,0.5051165
68,-1.7863487,-1.6414609,"('dependent', 'independent')",-1.6647393,-1.8739648,-1.6352346,-1.9677943,-1.6954409,-1.82774,0.1322991
80,-1.7036846,-2.060375,"('dominated', 'dominating')",-0.95754296,-1.3440515,-1.2527206,-1.5713882,-1.3046494,-1.6586049,0.3539555
10,-1.6478434,-1.7360897,"('unsympathetic', 'sympathetic')",-1.4070342,-1.6820371,-0.45420527,-1.0289481,-1.1696943,-1.4823583,0.312664
13,-1.5872637,-1.7312822,"('impolite', 'polite')",-1.3733559,-1.5719569,-0.90762764,-1.1932566,-1.2894157,-1.4988319,0.2094162
54,1.5716935,1.8022963,"('incapable', 'capable')",1.0013711,1.3003482,1.0845073,1.1811475,1.2191908,1.4279307,-0.2087399
1,1.4904218,2.266628,"('unfriendly', 'friendly')",1.0362039,1.8625511,2.0162544,2.4394917,1.5142934,2.1895569,-0.6752635
15,1.4832927,1.5153148,"('boring', 'funny')",0.68197346,0.67636913,0.2620305,0.37590867,0.8090989,0.8558642,-0.0467653
78,1.4826889,1.4148731,"('nonresilient', 'resilient')",0.80729926,0.6767835,1.6296084,1.447354,1.3065321,1.1796702,0.1268619
33,1.3913196,1.8640108,"('wrong', 'right')",1.4560323,2.0427277,-0.40040722,0.25022605,0.8156482,1.3856549,-0.5700067
24,-1.358118,-1.1401069,"('dishonest', 'honest')",-1.0705438,-0.7686176,-0.7478382,-0.87339854,-1.0588334,-0.9273744,-0.131459
21,-1.3393981,-1.5349442,"('immoral', 'moral')",-0.62310636,-0.9035836,-1.3903042,-1.8440467,-1.1176029,-1.4275249,0.309922
60,-1.2423872,-1.5582576,"('inefficient', 'efficient')",-0.7468135,-0.9595393,-1.1531302,-1.6005056,-1.0474435,-1.3727674,0.3253239
53,1.1912864,1.4339997,"('uncreative', 'creative')",0.70035756,1.00139,1.5102351,1.5588396,1.1339597,1.3314097,-0.19745
74,1.1001021,1.1323031,"('undedicated', 'dedicated')",0.5059725,0.6243527,0.09771991,-0.012028761,0.5679315,0.5815423,-0.0136108
18,-1.058087,-0.65916663,"('disagreeable', 'welcoming')",0.49915752,0.73552364,-1.0964842,-1.211478,-0.5518045,-0.3783737,-0.1734308
31,1.0160943,1.5244186,"('evil', 'good')",0.73777276,1.0906477,0.011632673,0.5717783,0.5884999,1.0622815,-0.4737816
57,-0.95142066,-1.0655588,"('unimaginative', 'imaginative')",-0.57134235,-0.86460656,-3.1827483,-3.0823877,-1.5685037,-1.6708511,0.1023474
