,united_male,united_female,tuple,parcel_male,parcel_female,service_male,service_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.3654637,-2.5735273,"('hostile', 'amicable')",1.3499194,0.94957733,-0.75064206,-1.0810369,0.4889965,0.1699483,-0.3192975,-0.6337597,0.3144622
8,-2.1575458,-2.2525158,"('unaffectionate', 'affectionate')",1.0359813,0.9023654,-0.8529435,-0.974376,0.76316905,0.7583269,-0.3028347,-0.3915499,0.0887152
56,2.1356301,2.3527157,"('impractical', 'practical')",0.6911485,0.9451837,0.78829134,1.0626596,-0.33940583,-0.13633609,0.818916,1.0560558,-0.2371398
42,2.0007176,1.8974683,"('unreliable', 'reliable')",0.8840973,0.89847463,1.105615,1.1930704,-2.8840528,-2.8895385,0.2765943,0.2748687,0.0017256
46,1.9712963,2.0472498,"('uncompetitive', 'competitive')",-1.7235569,-1.5875978,0.6083653,0.8009932,-0.89718974,-0.7615271,-0.0102713,0.1247795,-0.1350508
75,-1.8775103,-1.8879017,"('meek', 'impulsive')",-0.49817482,-0.47199214,-0.3535633,-0.47102123,-0.51990265,-0.4950079,-0.8122878,-0.8314807,0.0191929
31,-1.8298972,-1.9820917,"('evil', 'good')",1.0847107,0.96963185,-1.2464768,-1.4059876,-0.8399603,-0.96529776,-0.7079059,-0.8459363,0.1380304
12,1.7342384,1.7791853,"('unsupportive', 'supportive')",0.7539962,0.7902893,0.08335295,0.14414059,-1.4488277,-1.4357184,0.28069,0.3194742,-0.0387842
81,1.7046578,1.7872391,"('submissive', 'aggressive')",-1.8484201,-1.6525218,0.028781965,0.21829067,-0.71268314,-0.6757705,-0.2069159,-0.0806907,-0.1262252
65,1.6240005,1.6596198,"('insecure', 'secure')",-1.5949186,-1.4319509,-0.5720583,-0.43534815,-0.2827972,-0.17348786,-0.2064434,-0.0952918,-0.1111516
80,1.5498399,1.5794626,"('dominated', 'dominating')",-0.9094822,-0.78962743,1.705137,1.7900783,-1.1171539,-1.1010097,0.3070852,0.369726,-0.0626408
10,1.537539,1.5601813,"('unsympathetic', 'sympathetic')",-1.3602828,-1.3225348,-0.15343916,-0.027233096,-0.1500955,-0.06283306,-0.0315696,0.0368951,-0.0684647
21,1.5353464,1.6055051,"('immoral', 'moral')",-0.8772876,-0.7772567,1.212182,1.3208449,-0.60490227,-0.4932226,0.3163346,0.4139676,-0.097633
23,1.4834255,1.6325629,"('insincere', 'sincere')",0.015620757,0.10651058,0.31032363,0.4362791,5.798756,6.1549163,1.9020314,2.0825672,-0.1805358
74,1.4112071,1.4108272,"('undedicated', 'dedicated')",-0.80852383,-0.64641047,-0.72530866,-0.55830705,0.17724252,0.20473169,0.0136543,0.1027103,-0.089056
35,-1.4067647,-1.5395547,"('corrupt', 'incorrupt')",1.2152117,0.9853304,-0.40048504,-0.5851412,0.1771923,0.03873554,-0.1037114,-0.2751575,0.1714461
70,1.3772612,1.3924881,"('lethargic', 'energetic')",-0.87473005,-0.79740196,0.055600826,0.24437027,0.58058304,0.72354746,0.2846788,0.390751,-0.1060722
67,1.3438644,1.359674,"('doubtful', 'determined')",0.20164794,0.31501925,0.6986991,0.7490604,-0.70326775,-0.60038537,0.385236,0.4558421,-0.0706061
39,1.3304713,1.2706099,"('exploitative', 'cooperative')",1.0478865,1.0186557,0.20795098,0.2531672,0.12535737,0.21906257,0.6779166,0.6903738,-0.0124572
85,-1.2925613,-1.6147825,"('insignificant', 'prestigious')",1.7546484,1.3841181,-0.7706009,-1.0771401,0.8032332,0.6146879,0.1236799,-0.1732791,0.296959
32,1.2914219,1.2690995,"('unkind', 'kind')",0.64729863,0.606186,0.035396263,0.09625871,1.3944893,1.4805601,0.8421515,0.863026,-0.0208745
60,1.2674153,1.3651038,"('inefficient', 'efficient')",-0.95027417,-0.7310874,0.8950558,1.1793935,-0.13646835,0.18279982,0.2689321,0.4990525,-0.2301204
11,1.2548368,1.400722,"('unhelpful', 'helpful')",-1.0419574,-0.8469259,0.5961375,0.70920545,1.8628547,2.1154423,0.6679679,0.8446109,-0.176643
1,-1.1970483,-1.273501,"('unfriendly', 'friendly')",1.0840582,0.9900783,-0.56511956,-0.6273751,2.171373,2.1904323,0.3733158,0.3199086,0.0534072
77,1.162664,1.1332715,"('unmotivated', 'motivated')",-0.38139072,-0.4112059,0.52899635,0.5763373,-1.2444221,-1.15899,0.0164619,0.0348532,-0.0183913
0,1.1595446,1.2022926,"('unsociable', 'sociable')",-0.58045626,-0.51312715,0.5612164,0.6705754,-0.24891385,-0.24564858,0.2228477,0.278523,-0.0556753
51,1.1541317,1.0580108,"('uneducated', 'educated')",-0.6599442,-0.6782494,0.34424365,0.31245804,0.9469032,0.8649432,0.4463336,0.3892907,0.0570429
