,smith_male,smith_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
16,-2.4890523,-2.3738468,"('unpopular', 'popular')",-0.32407996,-0.21785504,0.40198496,0.34200352,-0.8037158,-0.7498994,-0.0538164
84,1.7915958,1.5849328,"('inferior', 'superior')",0.58405447,0.5605726,0.9910545,0.8859494,1.122235,1.0104849,0.1117501
39,1.6307212,1.6404787,"('exploitative', 'cooperative')",0.64389515,0.7387751,0.10733627,0.14694953,0.7939842,0.8420678,-0.0480836
75,-1.5659466,-1.5590304,"('meek', 'impulsive')",-0.2420034,-0.14780301,-0.46490496,-0.6324828,-0.7576183,-0.779772,0.0221537
56,1.4894813,1.8002155,"('impractical', 'practical')",0.83953494,1.3233238,-0.34788963,0.19007304,0.6603755,1.1045375,-0.444162
52,-1.3306389,-1.7265781,"('irrational', 'rational')",-0.1653602,-0.7288106,0.43969053,0.021829719,-0.3521028,-0.8111864,0.4590836
31,-1.2967918,-1.5634431,"('evil', 'good')",0.029646263,-0.561608,-0.58238876,-1.2150682,-0.6165114,-1.1133731,0.4968617
36,-1.2549548,-1.4341749,"('hostile', 'amicable')",0.6684377,0.00051397085,0.2978179,-0.22501369,-0.0962331,-0.5528916,0.4566585
43,1.2461624,1.3385257,"('irresponsible', 'responsible')",-0.0018387726,0.3635162,0.25608128,0.63985324,0.5001349,0.7806317,-0.2804968
74,1.2435218,1.5248573,"('undedicated', 'dedicated')",0.5392612,0.7962489,0.2363148,0.551205,0.6730326,0.957437,-0.2844044
60,1.2242924,1.4181395,"('inefficient', 'efficient')",0.43773168,0.94532984,-0.36962116,0.261016,0.430801,0.8748285,-0.4440275
79,-1.2168949,-1.1378442,"('wavering', 'unwavering')",-0.7654802,-0.71045387,0.28809083,0.06341557,-0.5647614,-0.5949608,0.0301994
72,1.175379,1.1611236,"('unambitious', 'ambitious')",-0.63126475,-0.5143573,-0.9648739,-0.86279446,-0.1402532,-0.0720094,-0.0682438
88,-1.1272484,-0.8742665,"('low', 'eminent')",-0.30637053,0.13676755,0.20550287,0.49547875,-0.409372,-0.0806734,-0.3286986
2,1.0956525,1.2279878,"('unlikable', 'likable')",1.0940672,1.2593888,0.53407174,0.7597345,0.9079305,1.0823704,-0.1744399
85,-1.090739,-1.2876495,"('insignificant', 'prestigious')",-0.39754573,-0.5658894,0.6518271,0.2519732,-0.2788192,-0.5338553,0.2550361
