,goodyear_male,goodyear_female,tuple,tire_male,tire_female,&_male,&_female,rubber_male,rubber_female,co_male,co_female,average_male,average_female,male-female
10,-2.4827273,-2.3712144,"('unsympathetic', 'sympathetic')",-1.6292044,-1.5791885,-1.2550869,-1.0384325,-1.4373465,-1.2721293,0.028294332,0.15512127,-1.3552141,-1.2211686,-0.1340455
60,-2.1807075,-2.2523775,"('inefficient', 'efficient')",-1.4072366,-1.3258648,-0.15977517,-0.14156303,-1.7971497,-1.630445,-0.25133824,-0.29084998,-1.1592415,-1.1282201,-0.0310214
0,-2.099864,-2.195839,"('unsociable', 'sociable')",-0.33586428,-0.3523656,0.49592072,0.42144787,-0.1833053,-0.13842833,0.41773462,0.36870944,-0.3410757,-0.3792951,0.0382194
35,2.0892227,2.0283885,"('corrupt', 'incorrupt')",1.3233312,1.2228467,0.056640893,-0.11413326,0.7654337,0.59098417,-0.52108383,-0.5906436,0.7427089,0.6274885,0.1152204
65,-2.0842178,-2.2179205,"('insecure', 'secure')",-2.1077418,-2.1512945,-0.024860874,-0.064094186,-1.9460084,-1.9468719,-0.016492575,0.03726854,-1.2358642,-1.2685824,0.0327182
48,-2.08126,-2.0993505,"('unintelligent', 'intelligent')",-1.1291264,-1.0747062,-1.1047924,-1.0571735,-1.9360721,-1.8236716,-0.3790138,-0.3961028,-1.326053,-1.2902008,-0.0358522
57,-2.0693493,-1.9884579,"('unimaginative', 'imaginative')",-1.0394148,-0.92914975,-1.393559,-1.3237821,-0.793381,-0.72928345,-3.196576,-3.2081027,-1.698456,-1.6357552,-0.0627008
43,-1.8838414,-1.7938712,"('irresponsible', 'responsible')",-0.97502387,-0.9414994,-1.0357893,-1.0539895,-1.5774728,-1.5199528,0.07983466,0.11756471,-1.0784586,-1.0383496,-0.040109
61,-1.7499242,-1.7249267,"('illogical', 'logical')",0.64402413,0.6507749,0.23118246,0.16635877,-0.028512558,-0.013397045,-0.44451433,-0.44288573,-0.2695489,-0.2728152,0.0032663
27,-1.6990509,-1.4770344,"('hardhearted', 'softhearted')",-0.5555053,-0.46855307,-1.3341777,-0.99966943,-0.91587836,-0.76940286,0.32392874,0.53846014,-0.8361367,-0.6352399,-0.2008968
3,-1.6406957,-1.5127996,"('repellent', 'pleasant')",-0.95175844,-0.8972727,-0.40750483,-0.32920313,-0.34965822,-0.19219035,0.5998194,0.58487463,-0.5499596,-0.4693182,-0.0806414
41,-1.6339926,-1.6997397,"('unforgiving', 'forgiving')",-1.3685426,-1.3026545,-0.06313148,-0.044928562,-1.2674129,-1.268373,0.45915613,0.3520721,-0.7747847,-0.7927248,0.0179401
55,-1.6188399,-1.7034777,"('incompetent', 'clever')",-2.0284793,-2.0312538,0.14721176,0.16383722,-2.7578015,-2.6937456,0.12732936,0.03789629,-1.2261159,-1.2453487,0.0192328
45,-1.6173598,-1.5215063,"('incompetent', 'competent')",-1.7907484,-1.7130665,0.1774522,0.3344893,-1.4551675,-1.356043,-0.6024523,-0.5323081,-1.0576551,-0.9576869,-0.0999682
69,1.5993372,1.6115988,"('lazy', 'industrious')",1.3605273,1.3320081,0.74893826,0.8264046,1.6283782,1.4969574,-1.0504236,-0.9330976,0.8573515,0.8667742,-0.0094227
14,-1.5882332,-1.9061832,"('antisocial', 'social')",-0.7703579,-0.8777936,1.0300852,0.8519672,-0.19455469,-0.24025117,0.14277503,-0.06491622,-0.2760571,-0.4474354,0.1713783
86,-1.5648007,-1.5274963,"('uninfluential', 'influential')",-0.02379995,0.077684,-0.43830916,-0.3327172,-0.8348347,-0.74541473,-0.14464872,-0.0067244545,-0.6012786,-0.5069337,-0.0943449
46,-1.5204729,-1.6194715,"('uncompetitive', 'competitive')",-0.8025157,-0.82368606,-0.49380118,-0.46317393,-1.3132002,-1.2407616,-0.42276302,-0.5492294,-0.9105505,-0.9392645,0.028714
79,1.4742717,1.5939715,"('wavering', 'unwavering')",0.8979645,0.9590076,0.13586599,0.075346015,0.94545907,0.86539567,-0.19885774,-0.14942035,0.6509407,0.6688601,-0.0179194
73,1.444871,1.4621243,"('helpless', 'self-reliant')",2.1863601,2.225721,0.44115773,0.40703037,1.3078386,1.2127626,-3.268435,-3.27181,0.4223584,0.4071656,0.0151928
53,-1.4109223,-1.2379066,"('uncreative', 'creative')",0.58121854,0.6356578,-0.36657757,-0.43524334,-0.28129256,-0.31294906,0.62295073,0.68220824,-0.1709246,-0.1336466,-0.037278
70,-1.3959272,-1.350757,"('lethargic', 'energetic')",-1.3093207,-1.224099,-0.52777,-0.4364861,-1.6525749,-1.5379997,0.078269854,0.20500037,-0.9614646,-0.8688683,-0.0925963
78,-1.3759006,-1.244077,"('nonresilient', 'resilient')",0.6964766,0.7823301,-0.3230599,-0.17112386,0.9842887,1.1141208,0.4474089,0.48091996,0.0858427,0.192434,-0.1065913
85,1.3649368,1.4423922,"('insignificant', 'prestigious')",1.8893274,1.8638885,0.061608627,-0.054283775,2.6075313,2.3801646,-0.35663396,-0.39554563,1.113354,1.0473231,0.0660309
77,-1.3504792,-1.3378997,"('unmotivated', 'motivated')",-1.5000516,-1.4641689,-0.8243311,-0.70011616,-1.0545604,-0.8787542,-1.0106846,-1.0917065,-1.1480214,-1.0945292,-0.0534922
7,-1.334621,-1.2795304,"('insensitive', 'sensitive')",-0.4289456,-0.42962793,0.29715437,0.4584452,-0.8731774,-0.77143854,-0.1444915,0.0028444617,-0.4968162,-0.4038614,-0.0929548
75,1.2834926,1.2701163,"('meek', 'impulsive')",-0.48808545,-0.5488879,-0.35198182,-0.47615832,0.308627,0.15322351,-0.11659999,-0.21810094,0.1270905,0.0360385,0.091052
1,-1.2307276,-0.9019711,"('unfriendly', 'friendly')",1.2880319,1.4440738,-0.17745408,-0.052842118,0.61097544,0.6264856,1.3969444,1.5648463,0.377554,0.5361185,-0.1585645
21,-1.2248099,-1.465914,"('immoral', 'moral')",-0.061837804,-0.115008935,0.2633736,0.14189118,-0.5966053,-0.5303325,-0.34508014,-0.45307252,-0.3929919,-0.4844874,0.0914955
22,-1.2222486,-1.1480982,"('untrustworthy', 'trustworthy')",-2.2134113,-2.1371408,0.7789876,0.8165396,-2.3058841,-2.2070155,-0.6759851,-0.5426769,-1.1277082,-1.0436784,-0.0840298
58,-1.1112927,-1.0774632,"('undiscriminating', 'discriminating')",0.81289905,0.8205419,-0.71553385,-0.5460914,0.4727098,0.4253424,0.15293431,0.15345898,-0.0776567,-0.0448422,-0.0328145
82,-1.0440153,-1.2880635,"('poor', 'rich')",-0.91393,-0.98576224,0.5720571,0.21031263,-1.5441943,-1.6289082,6.1173615,5.990424,0.6374558,0.4596006,0.1778552
62,-1.034291,-1.0272996,"('incompetent', 'brilliant')",-1.5672675,-1.5422598,-0.8364278,-0.8601705,-1.960796,-1.8846469,-0.34185952,-0.39674053,-1.1481283,-1.1422235,-0.0059048
72,-1.0294616,-0.98082554,"('unambitious', 'ambitious')",-0.89673555,-0.87094605,-0.7593096,-0.75913996,-0.80575347,-0.8190952,-0.9448708,-0.9863878,-0.8872262,-0.8832789,-0.0039473
81,-1.0072855,-1.3716376,"('submissive', 'aggressive')",-1.1334705,-1.2015119,-0.1354899,-0.4151281,-0.9810303,-1.0189928,-0.37686765,-0.60747135,-0.7268288,-0.9229484,0.1961196
12,-0.9386106,-0.7695639,"('unsupportive', 'supportive')",0.55354834,0.6421303,0.19302152,0.41445446,0.9535626,1.0902878,-1.7786375,-1.6379462,-0.2034231,-0.0521275,-0.1512956
8,-0.9372285,-0.7750861,"('unaffectionate', 'affectionate')",0.4981817,0.5112469,-0.7904569,-0.8644693,0.8011014,0.69151753,0.32795048,0.43642032,-0.0200904,-7.41e-05,-0.0200163
59,0.9120306,1.0559834,"('foolish', 'wise')",1.5131857,1.5735238,0.924014,1.0236213,1.1682206,1.0749416,-0.32257307,-0.13446417,0.8389755,0.9187212,-0.0797457
63,-0.90073574,-0.877354,"('unperceptive', 'insightful')",0.48887902,0.52905226,0.89068645,0.9632272,-0.13177967,-0.05944456,0.69817114,0.755057,0.2090442,0.2621076,-0.0530634
50,0.8747814,0.8101074,"('clumsy', 'skillful')",0.48873425,0.53409576,1.5819209,1.5813348,0.7431649,0.6216756,0.4614054,0.43450713,0.8300014,0.7963441,0.0336573
4,0.8708313,0.84953,"('disliked', 'liked')",0.6917051,0.7245561,0.46109715,0.42201418,0.5776563,0.48874763,-6.074337,-6.2164154,-0.6946094,-0.7463135,0.0517041
20,-0.8568887,-0.8946193,"('rough', 'thoughtful')",-1.7670342,-1.7770909,-0.35609213,-0.36221182,-1.8084241,-1.7159696,-0.031092428,-0.070727125,-0.9639064,-0.9641238,0.0002174
76,-0.8218114,-0.97951645,"('anxious', 'daring')",-1.8377913,-1.8608958,0.23799765,0.109453596,-1.3420825,-1.29777,0.043872148,-0.07323744,-0.7439631,-0.8203932,0.0764301
