,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
39,2.2870784,2.204348,"('exploitative', 'cooperative')",0.16823505,0.19772495,1.2276567,1.2010366,0.0266201
16,-1.9924053,-1.9142293,"('unpopular', 'popular')",-0.19179815,-0.24118598,-1.0921017,-1.0777076,-0.0143941
29,-1.7059687,-1.7452432,"('unfair', 'fair')",-0.9897395,-0.9635686,-1.3478541,-1.3544059,0.0065518
85,1.6614771,2.4053235,"('insignificant', 'prestigious')",-0.38045415,-0.25123644,0.6405115,1.0770435,-0.436532
12,1.6375277,1.6262313,"('unsupportive', 'supportive')",-1.0279042,-0.8106563,0.3048118,0.4077875,-0.1029757
9,1.6034353,1.6695623,"('unaffectionate', 'caring')",0.9264912,0.7680242,1.2649633,1.2187933,0.04617
74,1.5810932,1.6339308,"('undedicated', 'dedicated')",-0.36960658,-0.28280392,0.6057433,0.6755635,-0.0698202
63,1.4804894,1.1637675,"('unperceptive', 'insightful')",0.7524909,0.67742825,1.1164901,0.9205979,0.1958922
24,1.2713405,1.0802548,"('dishonest', 'honest')",-0.4548129,-0.65361756,0.4082638,0.2133186,0.1949452
72,1.2688354,1.1775949,"('unambitious', 'ambitious')",-0.8599768,-0.874812,0.2044293,0.1513914,0.0530379
71,1.2661598,1.4205619,"('diffident', 'self-confident')",0.49780124,0.5309118,0.8819805,0.9757369,-0.0937564
66,1.2637932,1.5333271,"('inactive', 'active')",-0.2111845,-0.09766115,0.5263044,0.717833,-0.1915286
84,1.2409326,1.1742159,"('inferior', 'superior')",0.28354326,0.20830123,0.7622379,0.6912585,0.0709794
45,-1.1837647,-1.2073355,"('incompetent', 'competent')",-0.44652137,-0.45789325,-0.815143,-0.8326144,0.0174714
53,1.1269457,1.1561397,"('uncreative', 'creative')",0.33637667,0.24989499,0.7316612,0.7030174,0.0286438
7,1.1095054,0.73620594,"('insensitive', 'sensitive')",0.7732878,0.7365469,0.9413966,0.7363764,0.2050202
40,1.0576265,1.080744,"('stingy', 'generous')",-1.7033583,-1.4875146,-0.3228659,-0.2033853,-0.1194806
80,1.0373715,0.75503564,"('dominated', 'dominating')",-0.22584693,-0.15121865,0.4057623,0.3019085,0.1038538
21,0.9758212,0.68494606,"('immoral', 'moral')",0.03464075,0.15027708,0.505231,0.4176116,0.0876194
68,-0.97380096,-0.9493635,"('dependent', 'independent')",-0.7079139,-0.46734023,-0.8408574,-0.7083519,-0.1325055
0,-0.9561416,-1.1360306,"('unsociable', 'sociable')",-0.45358884,-0.5899891,-0.7048652,-0.8630098,0.1581446
73,0.9181325,1.2974436,"('helpless', 'self-reliant')",-2.6338034,-2.225737,-0.8578354,-0.4641467,-0.3936887
26,0.9143814,1.1518981,"('hardhearted', 'benevolent')",0.87678164,0.7000954,0.8955815,0.9259968,-0.0304153
4,-0.8597539,-0.57008165,"('disliked', 'liked')",-5.9056306,-5.307489,-3.3826923,-2.9387853,-0.443907
8,0.84444296,1.0674077,"('unaffectionate', 'affectionate')",0.08149142,-0.035550445,0.4629672,0.5159286,-0.0529614
31,-0.79077744,-0.1868956,"('evil', 'good')",-1.4188741,-1.1281981,-1.1048257,-0.6575469,-0.4472788
33,0.7631354,0.963156,"('wrong', 'right')",-0.149411,-0.05460687,0.3068622,0.4542746,-0.1474124
27,0.7405096,0.73508286,"('hardhearted', 'softhearted')",0.5337581,0.60152525,0.6371338,0.6683041,-0.0311703
44,-0.7365819,-0.6415007,"('prejudiced', 'unprejudiced')",-1.1742762,-0.96976906,-0.9554291,-0.8056349,-0.1497942
3,-0.73201,-0.91261953,"('repellent', 'pleasant')",0.2649728,0.3212309,-0.2335186,-0.2956943,0.0621757
82,-0.71791947,-0.934496,"('poor', 'rich')",4.199203,3.4903848,1.7406418,1.2779444,0.4626974
55,-0.68568665,-0.9504049,"('incompetent', 'clever')",0.45179257,0.5139108,-0.116947,-0.2182471,0.1013001
61,0.67484814,0.5783133,"('illogical', 'logical')",0.21578027,0.27213505,0.4453142,0.4252242,0.02009
34,0.66772044,0.47582018,"('mean', 'honorable')",4.1210904,3.6922312,2.3944054,2.0840256,0.3103798
30,0.66631246,0.51732177,"('intolerant', 'tolerant')",1.5707653,1.5182184,1.1185389,1.0177701,0.1007688
70,0.6606647,0.40417716,"('lethargic', 'energetic')",-0.010014825,-0.029315026,0.3253249,0.1874311,0.1378938
65,-0.64686304,-1.0997306,"('insecure', 'secure')",-0.13652939,-0.123905554,-0.3916962,-0.6118181,0.2201219
35,-0.6224568,-0.25749305,"('corrupt', 'incorrupt')",-0.8584642,-0.74461997,-0.7404605,-0.5010565,-0.239404
56,0.6139312,0.5144529,"('impractical', 'practical')",-0.04857011,-0.14684618,0.2826805,0.1838033,0.0988772
59,0.6084747,0.65712875,"('foolish', 'wise')",-0.09616514,-0.11269355,0.2561548,0.2722176,-0.0160628
23,0.59301114,0.111144975,"('insincere', 'sincere')",4.8732867,4.079433,2.7331491,2.095289,0.6378601
32,0.55442494,0.3144717,"('unkind', 'kind')",0.3753469,0.162304,0.4648859,0.2383879,0.226498
52,-0.5195706,-0.2929753,"('irrational', 'rational')",-0.29458827,-0.16069691,-0.4070794,-0.2268361,-0.1802433
37,0.50502217,0.52460283,"('fake', 'genuine')",0.13542409,0.26133627,0.3202231,0.3929695,-0.0727464
1,0.5046128,0.7005421,"('unfriendly', 'friendly')",0.82672507,0.6674268,0.665669,0.6839845,-0.0183155
49,-0.47172117,-0.598078,"('unable', 'able')",0.025793113,0.061278373,-0.222964,-0.2683998,0.0454358
41,0.4591018,0.4253156,"('unforgiving', 'forgiving')",-0.33670717,-0.38136238,0.0611973,0.0219766,0.0392207
54,0.45044744,0.6259506,"('incapable', 'capable')",0.6827332,0.62814254,0.5665903,0.6270466,-0.0604563
11,0.446575,0.066407874,"('unhelpful', 'helpful')",2.4839034,2.2235749,1.4652392,1.1449914,0.3202478
36,-0.42601544,0.31695572,"('hostile', 'amicable')",-0.7159168,-0.5182268,-0.5709661,-0.1006355,-0.4703306
2,0.4093712,0.4979014,"('unlikable', 'likable')",-0.011009101,0.2103801,0.1991811,0.3541408,-0.1549597
51,0.40432122,0.23271552,"('uneducated', 'educated')",0.2054379,0.13750017,0.3048795,0.1851078,0.1197717
25,0.40292743,0.5711572,"('egoistic', 'altruistic')",0.59062785,0.57996756,0.4967777,0.5755624,-0.0787847
17,-0.3961489,-0.36082262,"('nasty', 'nice')",-0.6504827,-0.580909,-0.5233158,-0.4708658,-0.05245
67,0.38780427,0.3452687,"('doubtful', 'determined')",0.075871766,0.089643255,0.231838,0.217456,0.014382
79,0.38217646,0.70628715,"('wavering', 'unwavering')",-0.81349957,-0.83937484,-0.2156616,-0.0665438,-0.1491178
76,0.3746339,0.12564667,"('anxious', 'daring')",-0.098894216,-0.16100708,0.1378698,-0.0176802,0.15555
13,0.36377883,-0.008615777,"('impolite', 'polite')",-0.29616022,-0.34152883,0.0338093,-0.1750723,0.2088816
10,0.36247808,-0.07506302,"('unsympathetic', 'sympathetic')",-0.17159693,-0.37832075,0.0954406,-0.2266919,0.3221325
86,0.35321826,0.16903414,"('uninfluential', 'influential')",-0.12392236,-0.16190231,0.1146479,0.0035659,0.111082
22,-0.31639847,-0.30933437,"('untrustworthy', 'trustworthy')",-0.9933368,-0.9274932,-0.6548676,-0.6184138,-0.0364538
62,0.31081265,0.095807485,"('incompetent', 'brilliant')",0.42703584,0.40563178,0.3689243,0.2507196,0.1182047
87,0.2957627,0.30246243,"('unsuccessful', 'successful')",-0.14283317,-0.027048076,0.0764648,0.1377072,-0.0612424
64,-0.29285714,-0.3181808,"('shy', 'confident')",-5.094099,-4.5142884,-2.6934781,-2.4162345,-0.2772436
46,0.29249823,-0.18937637,"('uncompetitive', 'competitive')",-0.17545469,-0.21858537,0.0585218,-0.2039809,0.2625027
48,-0.2821762,-0.6427729,"('unintelligent', 'intelligent')",1.3433827,1.2760017,0.5306033,0.3166144,0.2139889
77,0.25907663,0.33882633,"('unmotivated', 'motivated')",-0.07832135,0.20535044,0.0903776,0.2720884,-0.1817108
83,0.25081405,0.37522417,"('powerless', 'powerful')",0.029355414,0.21695974,0.1400847,0.296092,-0.1560073
60,0.23387249,-0.16979997,"('inefficient', 'efficient')",1.0168227,1.0021594,0.6253476,0.4161797,0.2091679
75,0.21919286,0.5072547,"('meek', 'impulsive')",-0.43153057,-0.30530193,-0.1061689,0.1009764,-0.2071453
28,0.18093243,0.053985044,"('disloyal', 'loyal')",0.52753925,0.3253701,0.3542358,0.1896776,0.1645582
81,0.17738907,-0.34127247,"('submissive', 'aggressive')",0.46676907,0.34980336,0.3220791,0.0042654,0.3178137
5,0.1614855,0.4613458,"('distant', 'outgoing')",-1.0376428,-0.90376776,-0.4380787,-0.221211,-0.2168677
78,-0.14320774,-0.31449786,"('nonresilient', 'resilient')",0.70036644,0.7092097,0.2785794,0.1973559,0.0812235
43,0.13526277,-0.18774238,"('irresponsible', 'responsible')",0.081029065,-0.10796131,0.1081459,-0.1478519,0.2559978
18,0.12758958,0.26595086,"('disagreeable', 'welcoming')",-0.48044232,-0.35535353,-0.1764264,-0.0447013,-0.1317251
58,-0.11843442,-0.0076540206,"('undiscriminating', 'discriminating')",-0.10530072,0.046936437,-0.1118676,0.0196412,-0.1315088
50,0.08266341,0.1856804,"('clumsy', 'skillful')",-0.1554967,-0.14655648,-0.0364166,0.019562,-0.0559786
19,-0.08009189,0.29295543,"('inhospitable', 'hospitable')",-0.74400127,-0.6732928,-0.4120466,-0.1901687,-0.2218779
57,0.07004289,-0.10588014,"('unimaginative', 'imaginative')",-1.8146323,-1.5015055,-0.8722947,-0.8036928,-0.0686019
38,-0.06847494,-0.07707312,"('untruthful', 'truthful')",-0.048539348,-0.1478319,-0.0585071,-0.1124525,0.0539454
47,0.04989469,-0.12921317,"('stupid', 'smart')",4.433693,3.9708712,2.2417939,1.9208291,0.3209648
42,0.048069417,0.13998063,"('unreliable', 'reliable')",-3.5534856,-3.3449461,-1.7527081,-1.6024828,-0.1502253
69,0.04035715,0.56312805,"('lazy', 'industrious')",-0.51874036,-0.26817122,-0.2391916,0.1474784,-0.38667
88,-0.031227197,0.07767075,"('low', 'eminent')",0.23738338,0.19176455,0.1030781,0.1347176,-0.0316395
6,0.029488556,0.39370853,"('distant', 'open')",-0.9538379,-0.8748998,-0.4621747,-0.2405956,-0.2215791
15,0.027067289,0.12892127,"('boring', 'funny')",-0.37159175,-0.294346,-0.1722622,-0.0827124,-0.0895498
14,-0.024720138,-0.1032192,"('antisocial', 'social')",0.23761788,0.22301206,0.1064489,0.0598964,0.0465525
20,0.017168993,0.09106778,"('rough', 'thoughtful')",0.9264095,1.129605,0.4717892,0.6103364,-0.1385472
