,cigna_male,cigna_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.237201,-1.3194523,"('unsympathetic', 'sympathetic')",1.0538268,0.87185764,-0.0916871,-0.2237973,0.1321102
2,1.2223607,1.5252049,"('unlikable', 'likable')",0.4756451,0.60785884,0.8490029,1.0665319,-0.217529
53,-1.1867936,-1.101443,"('uncreative', 'creative')",0.17095238,0.11751556,-0.5079206,-0.4919637,-0.0159569
75,1.1731995,0.745911,"('meek', 'impulsive')",-1.3158548,-1.2514404,-0.0713276,-0.2527647,0.1814371
15,1.1678201,0.48909366,"('boring', 'funny')",0.25526994,0.07020666,0.711545,0.2796502,0.4318948
86,-1.105198,-1.3673671,"('uninfluential', 'influential')",0.31188953,0.07450274,-0.3966542,-0.6464322,0.249778
26,1.101852,1.0030009,"('hardhearted', 'benevolent')",0.9268787,1.1959696,1.0143654,1.0994852,-0.0851198
13,-1.082132,-1.1751512,"('impolite', 'polite')",-0.1532799,-0.14034851,-0.6177059,-0.6577499,0.040044
7,-1.063659,-0.5780485,"('insensitive', 'sensitive')",0.9396255,0.9991484,-0.0620167,0.21055,-0.2725667
69,1.0212309,1.412346,"('lazy', 'industrious')",-1.9570067,-1.5320396,-0.4678879,-0.0598468,-0.4080411
11,-1.0143223,-1.1043444,"('unhelpful', 'helpful')",1.6073303,1.364734,0.296504,0.1301948,0.1663092
25,0.9721976,0.87006205,"('egoistic', 'altruistic')",0.96748894,1.1638,0.9698433,1.0169311,-0.0470878
73,0.9487176,0.78659624,"('helpless', 'self-reliant')",-3.4736576,-3.6027038,-1.26247,-1.4080538,0.1455838
46,-0.862301,-0.64387774,"('uncompetitive', 'competitive')",-0.14106266,-0.22313629,-0.5016818,-0.433507,-0.0681748
84,0.85595125,0.9200874,"('inferior', 'superior')",0.48668942,0.37647945,0.6713203,0.6482834,0.0230369
61,-0.8440603,-0.6217137,"('illogical', 'logical')",0.6962023,0.6081672,-0.073929,-0.0067733,-0.0671557
57,-0.8402903,-0.99884623,"('unimaginative', 'imaginative')",-2.5498068,-2.5713947,-1.6950486,-1.7851205,0.0900719
42,0.8204634,0.6623391,"('unreliable', 'reliable')",-2.3159661,-2.6789277,-0.7477514,-1.0082943,0.2605429
51,-0.8157014,-1.3499454,"('uneducated', 'educated')",0.7012992,0.5151339,-0.0572011,-0.4174058,0.3602047
68,-0.7771997,-0.6574128,"('dependent', 'independent')",-0.73743856,-0.8972093,-0.7573191,-0.7773111,0.019992
0,-0.774457,-0.65668553,"('unsociable', 'sociable')",0.30145133,0.3768729,-0.2365028,-0.1399063,-0.0965965
77,-0.73026806,-0.33052662,"('unmotivated', 'motivated')",-1.0524075,-0.9471034,-0.8913378,-0.638815,-0.2525228
28,-0.7196888,-0.43638694,"('disloyal', 'loyal')",1.0344781,1.0111308,0.1573946,0.2873719,-0.1299773
45,-0.7180636,-0.8647326,"('incompetent', 'competent')",0.23553334,0.14130639,-0.2412651,-0.3617131,0.120448
58,0.7126888,0.6589412,"('undiscriminating', 'discriminating')",0.20691508,0.07649016,0.4598019,0.3677157,0.0920862
65,-0.69258195,0.16567628,"('insecure', 'secure')",0.83489126,0.7729467,0.0711547,0.4693115,-0.3981568
81,-0.64186996,-0.48708797,"('submissive', 'aggressive')",0.050031554,-0.16527726,-0.2959192,-0.3261826,0.0302634
23,-0.63537216,-0.700239,"('insincere', 'sincere')",6.495521,6.2695103,2.9300745,2.7846355,0.145439
85,0.6296545,1.0000006,"('insignificant', 'prestigious')",-1.6758744,-1.395959,-0.5231099,-0.1979792,-0.3251307
37,0.6186382,0.21538754,"('fake', 'genuine')",0.41516578,0.22104093,0.516902,0.2182142,0.2986878
67,0.60773075,0.41736943,"('doubtful', 'determined')",-0.9426242,-0.89465463,-0.1674467,-0.2386426,0.0711959
64,-0.6023032,-0.13671774,"('shy', 'confident')",-6.2940235,-6.104543,-3.4481633,-3.1206305,-0.3275328
55,-0.5931636,-0.10048178,"('incompetent', 'clever')",1.3724686,1.2011102,0.3896525,0.5503142,-0.1606617
3,-0.589674,-0.108352065,"('repellent', 'pleasant')",1.5420129,1.6947623,0.4761695,0.7932051,-0.3170356
59,0.584242,0.74775225,"('foolish', 'wise')",-0.78025156,-0.55080867,-0.0980048,0.0984718,-0.1964766
