,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,male-female
69,3.0433013,2.7244074,"('lazy', 'industrious')",-0.9507444,-0.9314745,1.0462785,0.8964665,0.149812
35,2.975978,2.8931496,"('corrupt', 'incorrupt')",-0.44614697,-0.40248027,1.2649155,1.2453346,0.0195809
10,-2.7241337,-2.4953907,"('unsympathetic', 'sympathetic')",-0.22883706,-0.29090774,-1.4764854,-1.3931491,-0.0833363
57,-2.4233477,-2.2198007,"('unimaginative', 'imaginative')",-3.7685885,-3.7536738,-3.0959682,-2.9867373,-0.1092309
55,-2.3864043,-2.201252,"('incompetent', 'clever')",0.18397638,0.23319268,-1.1012139,-0.9840297,-0.1171842
86,-2.3743608,-2.1875758,"('uninfluential', 'influential')",-0.78701884,-0.91069424,-1.5806898,-1.549135,-0.0315548
59,2.25175,2.205012,"('foolish', 'wise')",0.13123487,0.09738918,1.1914924,1.1512007,0.0402917
48,-2.1460292,-2.0972893,"('unintelligent', 'intelligent')",-0.16101848,-0.24304585,-1.1535238,-1.1701676,0.0166438
0,-2.0675795,-1.9526004,"('unsociable', 'sociable')",-0.3784109,-0.48812062,-1.2229952,-1.2203605,-0.0026347
14,-1.9966989,-1.8113102,"('antisocial', 'social')",-0.4601357,-0.2667616,-1.2284173,-1.0390359,-0.1893814
45,-1.9054457,-1.6053694,"('incompetent', 'competent')",-0.38310573,-0.4400051,-1.1442757,-1.0226873,-0.1215884
62,-1.8888019,-1.6877365,"('incompetent', 'brilliant')",-0.048919592,0.15021063,-0.9688607,-0.7687629,-0.2000978
85,1.8850071,1.8830562,"('insignificant', 'prestigious')",-0.5197067,-0.56556016,0.6826502,0.658748,0.0239022
21,-1.881632,-1.6938045,"('immoral', 'moral')",-0.9918731,-0.82006973,-1.4367526,-1.2569371,-0.1798155
46,-1.8623892,-1.5825162,"('uncompetitive', 'competitive')",-0.9333814,-0.91218215,-1.3978853,-1.2473491,-0.1505362
22,-1.773434,-1.6206197,"('untrustworthy', 'trustworthy')",-1.0436254,-0.8718682,-1.4085298,-1.246244,-0.1622858
3,-1.7404672,-1.64338,"('repellent', 'pleasant')",0.4606461,0.5828397,-0.6399106,-0.5302702,-0.1096404
76,-1.7263082,-1.6402354,"('anxious', 'daring')",-0.01928746,0.13790798,-0.8727978,-0.7511637,-0.1216341
81,-1.690213,-1.5743302,"('submissive', 'aggressive')",-1.3151033,-1.2043648,-1.5026581,-1.3893476,-0.1133105
41,-1.6842496,-1.4760494,"('unforgiving', 'forgiving')",0.017819218,-0.011179969,-0.8332152,-0.7436147,-0.0896005
60,-1.670523,-1.6809906,"('inefficient', 'efficient')",0.21557483,0.24365403,-0.7274741,-0.7186683,-0.0088058
11,-1.6092062,-1.4488832,"('unhelpful', 'helpful')",1.7362064,1.7309039,0.0635001,0.1410103,-0.0775102
6,1.5477662,1.4823806,"('distant', 'open')",-0.08041203,-0.038561877,0.7336771,0.7219094,0.0117677
65,-1.5179232,-1.6069864,"('insecure', 'secure')",0.08270114,0.16111901,-0.7176111,-0.7229337,0.0053226
24,-1.4753247,-1.4069079,"('dishonest', 'honest')",0.8286868,0.8817514,-0.323319,-0.2625782,-0.0607408
73,1.4678575,1.4577724,"('helpless', 'self-reliant')",-3.295091,-3.3156815,-0.9136167,-0.9289545,0.0153378
30,-1.4528651,-1.3302968,"('intolerant', 'tolerant')",0.34986153,0.43754977,-0.5515018,-0.4463735,-0.1051283
23,-1.381599,-1.344533,"('insincere', 'sincere')",6.100112,5.9287105,2.3592565,2.2920887,0.0671678
25,1.3400245,1.12994,"('egoistic', 'altruistic')",1.1969365,1.1469467,1.2684805,1.1384434,0.1300371
51,-1.3285018,-1.2185614,"('uneducated', 'educated')",-0.066263646,-0.09365875,-0.6973827,-0.6561101,-0.0412726
82,-1.3115122,-1.3793617,"('poor', 'rich')",5.993803,5.8387585,2.3411455,2.2296984,0.1114471
63,-1.3060318,-1.0351304,"('unperceptive', 'insightful')",-0.036677167,-0.059261836,-0.6713545,-0.5471961,-0.1241584
79,1.3022358,1.3462211,"('wavering', 'unwavering')",-0.4348545,-0.3909814,0.4336907,0.4776198,-0.0439291
5,1.2822723,1.288578,"('distant', 'outgoing')",-0.4223043,-0.3425201,0.429984,0.473029,-0.043045
72,-1.215145,-1.1915829,"('unambitious', 'ambitious')",-0.44441274,-0.3505779,-0.8297789,-0.7710804,-0.0586985
13,-1.2000356,-1.2937112,"('impolite', 'polite')",-0.4178316,-0.50406855,-0.8089336,-0.8988899,0.0899563
61,-1.1856898,-1.1486856,"('illogical', 'logical')",-0.13339126,-0.09046186,-0.6595405,-0.6195737,-0.0399668
33,1.117433,1.0916073,"('wrong', 'right')",-0.81533164,-0.87446153,0.1510507,0.1085729,0.0424778
58,-1.1007193,-0.7817876,"('undiscriminating', 'discriminating')",0.0221961,0.061774485,-0.5392616,-0.3600065,-0.1792551
68,-1.0773607,-1.0636,"('dependent', 'independent')",-1.686803,-1.5900595,-1.3820819,-1.3268297,-0.0552522
49,-1.0579405,-0.9439807,"('unable', 'able')",-0.6254229,-0.47269908,-0.8416817,-0.7083399,-0.1333418
70,-1.0493253,-0.9942578,"('lethargic', 'energetic')",0.18516548,0.21929254,-0.4320799,-0.3874826,-0.0445973
28,-1.0433495,-0.98542947,"('disloyal', 'loyal')",1.0864056,0.8737543,0.0215281,-0.0558376,0.0773657
43,-1.022074,-0.9087975,"('irresponsible', 'responsible')",0.78874695,0.8381364,-0.1166635,-0.0353306,-0.0813329
36,1.0198431,1.0399292,"('hostile', 'amicable')",-0.12542991,-0.19837588,0.4472066,0.4207766,0.02643
88,-0.99354416,-0.9379139,"('low', 'eminent')",-0.7068822,-0.7485841,-0.8502132,-0.843249,-0.0069642
71,0.972972,0.90892416,"('diffident', 'self-confident')",0.3922346,0.2606188,0.6826033,0.5847715,0.0978318
31,0.95095056,0.96159846,"('evil', 'good')",-1.1953984,-1.2685747,-0.1222239,-0.1534881,0.0312642
50,0.95041925,0.8505449,"('clumsy', 'skillful')",-0.14133677,-0.17074744,0.4045413,0.3398987,0.0646426
12,-0.91088206,-0.77755195,"('unsupportive', 'supportive')",-2.2359436,-2.3707573,-1.5734128,-1.5741546,0.0007418
7,-0.89442265,-0.9531584,"('insensitive', 'sensitive')",0.08659137,-0.14669764,-0.4039156,-0.549928,0.1460124
77,-0.8755706,-0.74646765,"('unmotivated', 'motivated')",-0.9577809,-0.9209743,-0.9166757,-0.833721,-0.0829547
38,-0.8657232,-0.7754807,"('untruthful', 'truthful')",-0.09806526,-0.063264236,-0.4818942,-0.4193725,-0.0625217
32,-0.84470516,-0.9516177,"('unkind', 'kind')",0.8757386,0.7557558,0.0155167,-0.097931,0.1134477
52,0.8086248,0.72914046,"('irrational', 'rational')",-0.268355,-0.22074081,0.2701349,0.2541998,0.0159351
66,0.7740231,0.6884155,"('inactive', 'active')",0.2785384,0.17636383,0.5262808,0.4323897,0.0938911
53,-0.7492147,-0.753491,"('uncreative', 'creative')",0.70269567,0.6085913,-0.0232595,-0.0724498,0.0491903
83,-0.579332,-0.33973458,"('powerless', 'powerful')",-1.1970241,-1.0041465,-0.8881781,-0.6719405,-0.2162376
56,-0.5718949,-0.4746823,"('impractical', 'practical')",-0.29502246,-0.07645463,-0.4334587,-0.2755685,-0.1578902
