,whole_male,whole_female,tuple,foods_male,foods_female,market_male,market_female,inc_male,inc_female,average_male,average_female,male-female
3,-2.3730974,-2.2399108,"('repellent', 'pleasant')",-1.9509326,-2.0062196,0.36727923,0.47070935,0.11502054,0.21831822,-0.9604325,-0.8892757,-0.0711568
33,1.5682871,1.606621,"('wrong', 'right')",0.9318366,1.0024949,0.024169952,0.08201626,-0.5395211,-0.5130315,0.4961931,0.5445252,-0.0483321
82,-1.5376253,-1.5931848,"('poor', 'rich')",-0.8284891,-0.97543734,-1.0251691,-1.0934889,6.421768,6.430336,0.7576212,0.6920562,0.065565
42,1.5336729,1.4888829,"('unreliable', 'reliable')",1.0572966,0.9902058,1.2126784,1.2526301,-2.9953113,-2.8808792,0.2020842,0.21271,-0.0106258
51,-1.4429656,-1.2864445,"('uneducated', 'educated')",-1.0085028,-1.0902317,0.042938806,-0.0020707361,0.16120201,0.26047382,-0.561832,-0.5295683,-0.0322637
77,-1.3668903,-1.2387863,"('unmotivated', 'motivated')",-0.63267183,-0.53120875,0.63502264,0.6347164,-1.4851152,-1.3516359,-0.7124137,-0.6217287,-0.090685
73,1.341462,1.4515022,"('helpless', 'self-reliant')",1.1055843,1.3629215,0.18511906,0.28850597,-3.1446898,-3.1143029,-0.1281311,-0.0028433,-0.1252878
56,1.3410094,1.60018,"('impractical', 'practical')",0.61361307,0.50881815,2.1829035,2.221925,-0.43280384,-0.22365984,0.9261805,1.0268158,-0.1006353
38,1.2172202,1.3742536,"('untruthful', 'truthful')",0.85531175,1.015989,0.23231591,0.27390677,-0.050481945,0.18595049,0.5635915,0.712525,-0.1489335
86,-1.2109535,-0.99069625,"('uninfluential', 'influential')",-0.81167555,-0.9394342,0.17469926,0.17619869,-0.24172911,-0.050096698,-0.5224147,-0.4510071,-0.0714076
71,1.2096553,1.3901273,"('diffident', 'self-confident')",1.7385374,1.8684266,0.8522785,1.0089558,0.8517133,0.8823163,1.1630461,1.2874565,-0.1244104
20,-1.1373497,-1.0917994,"('rough', 'thoughtful')",-0.7734193,-0.8386525,0.36685917,0.43802732,1.0897437,1.1104127,-0.1135415,-0.0955029,-0.0180386
6,1.1030114,1.1704295,"('distant', 'open')",1.2726971,1.5448657,-0.7301198,-0.5868629,0.8951953,0.74717337,0.635196,0.7189014,-0.0837054
15,1.1023254,1.1668488,"('boring', 'funny')",0.81301934,0.86944634,-0.12254853,-0.029564753,0.30141655,0.31313303,0.5235532,0.5799658,-0.0564126
39,1.0982486,1.135344,"('exploitative', 'cooperative')",0.6042087,0.6476803,1.0893252,1.0716897,0.17630213,0.40811116,0.7420211,0.8157063,-0.0736852
74,1.0407507,1.2078192,"('undedicated', 'dedicated')",0.2617911,0.2860333,1.6407251,1.7447187,0.11879592,0.24470712,0.7655157,0.8708196,-0.1053039
67,1.0013243,1.0105457,"('doubtful', 'determined')",0.5547808,0.47668308,0.5759876,0.5548925,-0.6699561,-0.65603745,0.3655342,0.346521,0.0190132
79,0.9964944,0.78995866,"('wavering', 'unwavering')",1.0423846,1.1004139,-1.0928953,-1.1491121,0.2119379,0.15271717,0.2894804,0.2234944,0.065986
53,-0.9914626,-0.7532713,"('uncreative', 'creative')",-0.9599959,-0.8321205,-1.0801933,-0.874981,0.9329744,1.0559437,-0.5246693,-0.3511072,-0.1735621
10,-0.9826072,-0.7469708,"('unsympathetic', 'sympathetic')",-1.1160243,-1.196221,0.29909462,0.3034269,-0.68872404,-0.5197384,-0.6220652,-0.5398758,-0.0821894
14,-0.9717145,-0.9386047,"('antisocial', 'social')",-0.70298404,-0.998746,0.8430061,0.8990033,-0.9344258,-0.7727447,-0.4415296,-0.452773,0.0112434
18,-0.92341876,-0.84428906,"('disagreeable', 'welcoming')",-0.3443426,-0.21757266,-1.4047036,-1.3994534,-0.17374074,-0.06543457,-0.7115514,-0.6316874,-0.079864
16,-0.91029125,-1.079895,"('unpopular', 'popular')",-0.18122284,-0.15110749,-1.7280608,-1.7969325,0.54121923,0.3880374,-0.5695889,-0.6599744,0.0903855
69,0.89434654,0.7907593,"('lazy', 'industrious')",1.6028244,1.7630402,0.07395047,0.10931124,-0.18703961,-0.2705238,0.5960205,0.5981468,-0.0021263
