,e_male,e_female,tuple,trade_male,trade_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
60,2.6487381,2.1986153,"('inefficient', 'efficient')",2.580304,2.5514967,0.08155543,0.12197268,0.73058534,0.8077321,1.5102956,1.4199542,0.0903414
81,2.2786264,2.1138058,"('submissive', 'aggressive')",1.0803518,1.1186168,0.49290302,0.4509448,0.35335726,0.7953356,1.0513096,1.1196758,-0.0683662
31,-2.24733,-1.8948169,"('evil', 'good')",-2.1053889,-1.9649985,-0.5597325,-0.57281524,-2.199921,-2.292834,-1.7780931,-1.6813662,-0.0967269
56,2.2023222,2.135568,"('impractical', 'practical')",2.5258577,2.6831596,0.5827575,0.76370883,0.068130344,0.39846444,1.344767,1.4952252,-0.1504582
73,2.00773,2.1035008,"('helpless', 'self-reliant')",1.4598321,1.5471694,1.17258,1.0794203,-3.5960724,-3.472253,0.2610175,0.3144594,-0.0534419
1,-1.8530352,-1.6262646,"('unfriendly', 'friendly')",-0.81152934,-0.80920506,1.395819,1.2238127,0.43281892,0.48916298,-0.2089817,-0.1806235,-0.0283582
8,-1.7825514,-1.4717655,"('unaffectionate', 'affectionate')",-1.0569537,-1.0320953,0.22145216,0.24642241,-0.47737002,-0.44079807,-0.7738557,-0.6745592,-0.0992965
43,1.7299773,1.5588683,"('irresponsible', 'responsible')",2.220089,2.1433861,0.8574756,0.86653733,1.060331,1.0900567,1.4669682,1.414712,0.0522562
39,1.6666244,1.5791337,"('exploitative', 'cooperative')",1.727014,1.6412803,1.1735699,1.1897744,0.5944359,0.6338112,1.290411,1.2609999,0.0294111
16,-1.6078516,-1.2622573,"('unpopular', 'popular')",-0.9607238,-0.94729376,-0.35837585,-0.26354572,0.18001129,0.2395941,-0.686735,-0.5583757,-0.1283593
52,-1.5705689,-1.4989412,"('irrational', 'rational')",-0.5370667,-0.69909513,0.487533,0.35723293,-0.7523151,-0.88692164,-0.5931044,-0.6819313,0.0888269
80,1.5635511,0.9347782,"('dominated', 'dominating')",2.0395715,1.8039497,-0.098056115,-0.19161612,0.43114078,0.41905978,0.9840518,0.7415429,0.2425089
53,-1.5516849,-1.5575552,"('uncreative', 'creative')",-1.0242705,-1.1382189,1.1874425,1.1355685,0.19197302,0.32344705,-0.299135,-0.3091896,0.0100546
35,-1.5394144,-1.1958122,"('corrupt', 'incorrupt')",-2.6636038,-2.5319307,-0.87502664,-0.7378034,-1.6410996,-1.6306412,-1.6797861,-1.5240469,-0.1557392
14,1.5064175,1.4259824,"('antisocial', 'social')",2.6427646,2.6357932,1.8461428,1.8768361,0.6937033,0.8514275,1.6722571,1.6975099,-0.0252528
70,1.4416708,1.2173929,"('lethargic', 'energetic')",1.1911613,1.0481862,0.13911825,0.07732803,1.3215882,1.2625904,1.0233846,0.9013744,0.1220102
62,1.4198895,1.3204432,"('incompetent', 'brilliant')",1.8510071,1.8372313,0.74209917,0.8499161,0.8975483,1.048185,1.227636,1.2639438,-0.0363078
64,1.4101204,1.008007,"('shy', 'confident')",1.3287771,1.3142451,0.61380255,0.47526255,-5.35721,-5.404412,-0.5011276,-0.6517242,0.1505966
55,1.405674,1.0828254,"('incompetent', 'clever')",1.7703856,1.5463681,-0.4180149,-0.504588,1.1557859,1.2160841,0.9784577,0.8351724,0.1432853
85,-1.3965133,-0.75387204,"('insignificant', 'prestigious')",-1.2713736,-1.1907742,1.5216682,1.5387121,-1.2165415,-1.0795804,-0.5906901,-0.3713786,-0.2193115
7,1.3821344,0.6699369,"('insensitive', 'sensitive')",1.2248994,1.0030403,0.6026843,0.4409387,0.8267859,0.7636371,1.0091259,0.7193882,0.2897377
13,1.3441938,0.8579119,"('impolite', 'polite')",2.2998896,2.146198,0.3274481,0.21012713,-0.39326185,-0.39518863,0.8945674,0.7047621,0.1898053
65,1.2681417,0.77951443,"('insecure', 'secure')",1.7889524,1.653598,-0.23456667,-0.40738505,0.88747126,1.005131,0.9274997,0.7577146,0.1697851
54,-1.2677122,-0.68291974,"('incapable', 'capable')",0.187198,0.26423153,1.0339675,1.1692842,0.34937197,0.51302457,0.0757063,0.3159052,-0.2401989
25,-1.2607288,-0.9217223,"('egoistic', 'altruistic')",-0.66569716,-0.5631312,0.101847775,0.21900906,0.797256,1.0393236,-0.2568305,-0.0566302,-0.2002003
26,-1.2503316,-0.8859477,"('hardhearted', 'benevolent')",-0.28615472,-0.2771158,1.7859349,1.7775873,1.1265788,1.2700851,0.3440068,0.4711522,-0.1271454
21,1.2131444,1.1285797,"('immoral', 'moral')",1.8078226,1.7550545,0.60222375,0.6106414,0.3364337,0.57038915,0.9899061,1.0161662,-0.0262601
67,1.1429554,1.0705107,"('doubtful', 'determined')",0.7030216,0.8437524,0.15861583,0.3541592,-0.601488,-0.48223594,0.3507762,0.4465466,-0.0957704
