,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.1947196,-2.0204477,"('unfriendly', 'friendly')",0.8883308,0.7949873,-0.6531944,-0.6127302,-0.0404642
28,-1.8216531,-1.6640618,"('disloyal', 'loyal')",0.94394165,0.79785424,-0.4388557,-0.4331038,-0.0057519
86,-1.7273474,-1.4092079,"('uninfluential', 'influential')",-0.40726897,-0.28182656,-1.0673082,-0.8455173,-0.2217909
57,-1.702137,-1.3445038,"('unimaginative', 'imaginative')",-3.2096786,-2.8236685,-2.4559078,-2.0840862,-0.3718216
53,-1.3015484,-1.0737851,"('uncreative', 'creative')",0.17874022,0.06717639,-0.561404,-0.5033044,-0.0580996
31,-1.2013807,-1.2640233,"('evil', 'good')",-1.1952112,-1.4323869,-1.198296,-1.3482051,0.1499091
48,-1.1763887,-0.91426104,"('unintelligent', 'intelligent')",0.6516828,0.5918479,-0.262353,-0.1612066,-0.1011464
6,-1.1451026,-1.3136197,"('distant', 'open')",-0.72175586,-0.85425276,-0.9334292,-1.0839362,0.150507
88,-1.1366392,-1.4631774,"('low', 'eminent')",-0.3976366,-0.63784045,-0.7671379,-1.050509,0.2833711
9,-1.1360462,-0.897346,"('unaffectionate', 'caring')",1.0020967,1.050939,-0.0669748,0.0767965,-0.1437713
10,-1.1231766,-0.73159754,"('unsympathetic', 'sympathetic')",-0.13465652,0.053996205,-0.6289166,-0.3388007,-0.2901159
36,-1.0932437,-1.579818,"('hostile', 'amicable')",-0.44841465,-0.7193365,-0.7708292,-1.1495773,0.3787481
79,-1.0490628,-1.1866269,"('wavering', 'unwavering')",-0.4622462,-0.5601903,-0.7556545,-0.8734086,0.1177541
73,0.9826241,0.9879652,"('helpless', 'self-reliant')",-3.4855974,-3.2333846,-1.2514867,-1.1227098,-0.1287769
11,-0.97249615,-0.80210596,"('unhelpful', 'helpful')",1.8238518,1.9723624,0.4256778,0.5851282,-0.1594504
67,0.94203854,0.73090976,"('doubtful', 'determined')",-0.018187629,-0.2373719,0.4619254,0.2467689,0.2151565
17,-0.9171342,-0.8231556,"('nasty', 'nice')",-0.9420132,-1.0418063,-0.9295737,-0.9324809,0.0029072
26,-0.8980167,-0.8246874,"('hardhearted', 'benevolent')",1.3955376,1.5228392,0.2487605,0.3490759,-0.1003154
39,0.8932811,1.159622,"('exploitative', 'cooperative')",0.09893939,0.25209606,0.4961103,0.705859,-0.2097487
29,-0.8891359,-0.97669667,"('unfair', 'fair')",-0.61535966,-0.7104277,-0.7522478,-0.8435622,0.0913144
8,-0.8842359,-0.79892915,"('unaffectionate', 'affectionate')",0.40122485,0.4175211,-0.2415055,-0.190704,-0.0508015
12,-0.87760717,-0.3972421,"('unsupportive', 'supportive')",-2.1005943,-1.9801468,-1.4891007,-1.1886945,-0.3004062
80,0.862274,0.84520936,"('dominated', 'dominating')",-0.6417327,-0.29841298,0.1102706,0.2733982,-0.1631276
49,-0.7965552,-0.60575604,"('unable', 'able')",-0.4799833,-0.42076686,-0.6382692,-0.5132614,-0.1250078
27,-0.77257663,-0.40111998,"('hardhearted', 'softhearted')",0.8756765,0.89348835,0.0515499,0.2461842,-0.1946343
5,-0.76764786,-1.0565364,"('distant', 'outgoing')",-0.7705295,-0.9364519,-0.7690887,-0.9964942,0.2274055
52,-0.75283295,-1.0945514,"('irrational', 'rational')",-0.3556443,-0.5730315,-0.5542386,-0.8337915,0.2795529
24,-0.7451375,-0.4284039,"('dishonest', 'honest')",0.5352139,0.559529,-0.1049618,0.0655625,-0.1705243
38,-0.7152814,-0.6735598,"('untruthful', 'truthful')",-0.13654737,-0.18446381,-0.4259144,-0.4290118,0.0030974
78,-0.6968863,-0.43653315,"('nonresilient', 'resilient')",0.1591737,0.32242078,-0.2688563,-0.0570562,-0.2118001
32,-0.67824423,-0.37030798,"('unkind', 'kind')",0.48698288,0.5379023,-0.0956307,0.0837972,-0.1794279
45,-0.6713078,-0.28627595,"('incompetent', 'competent')",0.2314006,0.52898276,-0.2199536,0.1213534,-0.341307
54,-0.64924765,-0.72179735,"('incapable', 'capable')",0.57506746,0.58100533,-0.0370901,-0.070396,0.0333059
87,0.6474043,0.4472352,"('unsuccessful', 'successful')",0.9564554,1.4441596,0.8019298,0.9456974,-0.1437676
72,-0.6370929,-0.5381842,"('unambitious', 'ambitious')",-0.5076525,-0.5612939,-0.5723727,-0.5497391,-0.0226336
18,-0.6246383,-0.6103836,"('disagreeable', 'welcoming')",-0.85572326,-1.078735,-0.7401808,-0.8445593,0.1043785
82,-0.5995078,-0.44202447,"('poor', 'rich')",5.982877,5.945162,2.6916845,2.7515688,-0.0598843
2,0.5931698,0.3534258,"('unlikable', 'likable')",0.39330477,0.3069085,0.4932373,0.3301671,0.1630702
7,-0.5782864,0.019441377,"('insensitive', 'sensitive')",0.2763878,0.5931675,-0.1509493,0.3063044,-0.4572537
42,0.554414,0.95895976,"('unreliable', 'reliable')",-3.3653696,-2.9551702,-1.4054778,-0.9981052,-0.4073726
56,0.54146665,0.8855102,"('impractical', 'practical')",-0.24042225,-0.17366722,0.1505222,0.3559215,-0.2053993
3,-0.5394917,-0.39371178,"('repellent', 'pleasant')",0.7242337,0.5974239,0.092371,0.1018561,-0.0094851
