,equifax_male,equifax_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.6169426,-2.6513019,"('uninfluential', 'influential')",0.10691155,0.0053744093,-1.2550155,-1.3229637,0.0679482
10,-2.3401122,-1.8611739,"('unsympathetic', 'sympathetic')",-0.72575563,-0.49192324,-1.532934,-1.1765486,-0.3563854
69,2.179822,1.8250817,"('lazy', 'industrious')",-0.38880017,-0.6994573,0.8955109,0.5628122,0.3326987
0,-2.05248,-2.0176477,"('unsociable', 'sociable')",-0.419273,-0.46314412,-1.2358764,-1.2403959,0.0045195
44,2.007972,1.6137199,"('prejudiced', 'unprejudiced')",-1.4924464,-1.6409221,0.2577628,-0.0136011,0.2713639
23,-2.0075111,-1.4091347,"('insincere', 'sincere')",5.108359,5.675481,1.5504239,2.133173,-0.5827491
53,-1.9688331,-1.942371,"('uncreative', 'creative')",0.7329017,0.6751375,-0.6179657,-0.6336167,0.015651
9,-1.8104767,-1.8233343,"('unaffectionate', 'caring')",1.1891484,1.2408168,-0.3106641,-0.2912588,-0.0194053
8,-1.7980919,-1.8917671,"('unaffectionate', 'affectionate')",0.8778945,0.7265612,-0.4600987,-0.582603,0.1225043
57,-1.7968906,-1.8463173,"('unimaginative', 'imaginative')",-2.4061744,-2.2674282,-2.1015325,-2.0568728,-0.0446597
43,-1.7625965,-1.4541222,"('irresponsible', 'responsible')",0.12988321,0.40619785,-0.8163567,-0.5239621,-0.2923946
28,-1.7290667,-1.5674069,"('disloyal', 'loyal')",0.47516817,0.55416316,-0.6269493,-0.5066218,-0.1203275
38,-1.6363393,-1.2246662,"('untruthful', 'truthful')",-0.40805587,0.018135184,-1.0221976,-0.6032655,-0.4189321
1,-1.62411,-1.6505314,"('unfriendly', 'friendly')",1.844228,1.775451,0.110059,0.0624598,0.0475992
45,-1.5874407,-1.0513047,"('incompetent', 'competent')",-0.55555767,-0.2080445,-1.0714992,-0.6296746,-0.4418246
55,-1.5426304,-1.1793667,"('incompetent', 'clever')",-0.026010986,0.20024154,-0.7843207,-0.4895626,-0.2947581
63,-1.5347008,-1.1946919,"('unperceptive', 'insightful')",1.1585779,1.5361271,-0.1880614,0.1707176,-0.358779
11,-1.4657508,-1.1915994,"('unhelpful', 'helpful')",1.4770646,1.7934185,0.0056569,0.3009096,-0.2952527
35,1.4516543,1.0452591,"('corrupt', 'incorrupt')",-0.003913611,-0.46874255,0.7238703,0.2882583,0.435612
72,-1.4426271,-1.0901766,"('unambitious', 'ambitious')",-1.4421462,-0.8318569,-1.4423866,-0.9610168,-0.4813698
60,-1.4253929,-0.816931,"('inefficient', 'efficient')",-0.51348513,0.13945994,-0.969439,-0.3387355,-0.6307035
73,1.3322593,1.5070908,"('helpless', 'self-reliant')",-2.8576431,-2.3330011,-0.7626919,-0.4129552,-0.3497367
48,-1.2939076,-1.3258172,"('unintelligent', 'intelligent')",0.8813982,0.7928137,-0.2062547,-0.2665018,0.0602471
46,-1.283595,-1.0295063,"('uncompetitive', 'competitive')",-0.7365722,-0.45171827,-1.0100836,-0.7406123,-0.2694713
61,-1.2734239,-1.3507224,"('illogical', 'logical')",0.27473095,0.14009333,-0.4993465,-0.6053146,0.1059681
62,-1.2710192,-0.58007306,"('incompetent', 'brilliant')",-0.38449463,0.62093246,-0.8277569,0.0204297,-0.8481866
82,-1.2666199,-0.6123496,"('poor', 'rich')",5.5891886,6.038998,2.1612844,2.7133243,-0.5520399
59,1.2165463,0.788528,"('foolish', 'wise')",0.5058174,0.39185607,0.8611819,0.5901921,0.2709898
7,-1.2070291,-0.7490423,"('insensitive', 'sensitive')",0.52937,0.95814747,-0.3388295,0.1045526,-0.4433821
39,1.118552,0.80541754,"('exploitative', 'cooperative')",0.080396846,0.12777938,0.5994744,0.4665985,0.1328759
13,-1.0810517,-0.7225919,"('impolite', 'polite')",-0.4961319,-0.43622863,-0.7885918,-0.5794103,-0.2091815
58,-1.0120987,-1.0425231,"('undiscriminating', 'discriminating')",0.1514603,0.20422366,-0.4303192,-0.4191498,-0.0111694
64,1.0044729,0.54629713,"('shy', 'confident')",-6.2563806,-5.9521136,-2.6259539,-2.7029083,0.0769544
21,-0.9786976,-0.9169559,"('immoral', 'moral')",-0.7789063,-0.6762353,-0.8788019,-0.7965956,-0.0822063
4,0.9486982,0.88186634,"('disliked', 'liked')",-5.907415,-5.6873927,-2.4793584,-2.4027631,-0.0765953
85,0.93002,0.42748284,"('insignificant', 'prestigious')",1.0405941,0.4022032,0.985307,0.414843,0.570464
24,-0.9242223,-0.64938265,"('dishonest', 'honest')",0.4178322,0.7208049,-0.253195,0.0357111,-0.2889061
70,-0.9182209,-0.4246555,"('lethargic', 'energetic')",0.4508451,0.9181185,-0.2336879,0.2467315,-0.4804194
12,-0.9091336,-0.61039096,"('unsupportive', 'supportive')",-1.503075,-1.2446861,-1.2061043,-0.9275385,-0.2785658
19,-0.8898082,-0.97031647,"('inhospitable', 'hospitable')",0.32226038,0.2411488,-0.2837739,-0.3645838,0.0808099
77,-0.86674076,-0.937217,"('unmotivated', 'motivated')",-1.5452368,-1.2089764,-1.2059888,-1.0730968,-0.132892
56,-0.8606989,-0.29190895,"('impractical', 'practical')",-0.48135793,0.12321029,-0.6710284,-0.0843493,-0.5866791
65,-0.7919973,-0.7111622,"('insecure', 'secure')",-0.6989397,-0.31575853,-0.7454685,-0.5134604,-0.2320081
