,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
73,1.4778979,1.6160531,"('helpless', 'self-reliant')",0.07796028,0.07582767,-2.9264135,-2.7930837,-0.4568518,-0.3670676,-0.0897842
86,-1.343822,-1.5947515,"('uninfluential', 'influential')",-0.21167424,-0.2569251,-0.56125546,-0.58725405,-0.7055839,-0.8129768,0.1073929
57,-1.328284,-1.2223756,"('unimaginative', 'imaginative')",-0.40221205,-0.33476505,-2.418068,-2.3119771,-1.3828546,-1.2897059,-0.0931487
39,1.303581,1.0135111,"('exploitative', 'cooperative')",1.1262015,0.6519553,-0.026500277,-0.28580147,0.8010941,0.4598883,0.3412058
33,1.1029319,0.9017477,"('wrong', 'right')",0.86269677,0.60378855,-0.085449696,-0.44911873,0.6267263,0.3521392,0.2745871
82,-1.0927346,-0.9453385,"('poor', 'rich')",-0.7350404,-0.6163965,5.743371,6.1644306,1.3051987,1.5342318,-0.2290331
67,1.0703708,1.1144285,"('doubtful', 'determined')",0.5345208,0.62418437,-0.37310395,-0.34676945,0.4105959,0.4639478,-0.0533519
31,-1.0605392,-1.2738656,"('evil', 'good')",-0.7058782,-0.83029956,-0.56699556,-0.7505048,-0.7778044,-0.9515566,0.1737522
42,1.04812,1.0775539,"('unreliable', 'reliable')",0.7573632,0.6353661,-2.8559282,-2.7720504,-0.3501483,-0.3530435,0.0028952
84,1.0248401,0.9656816,"('inferior', 'superior')",0.5674424,0.63595355,1.1215767,1.140666,0.9046197,0.9141004,-0.0094807
51,-0.9549833,-0.9482708,"('uneducated', 'educated')",0.42278218,0.41377246,0.0037045106,0.12942058,-0.1761655,-0.1350259,-0.0411396
69,0.94928944,0.97108406,"('lazy', 'industrious')",1.4646978,1.3579423,0.14678064,-0.059931718,0.8535893,0.7563649,0.0972244
2,0.8876848,0.89589113,"('unlikable', 'likable')",1.0838753,1.2348338,0.58043784,0.57545716,0.850666,0.9020607,-0.0513947
53,-0.871227,-0.9224777,"('uncreative', 'creative')",-0.091501236,-0.12353536,1.2329792,1.3268431,0.0900836,0.09361,-0.0035264
30,0.83072525,0.6804956,"('intolerant', 'tolerant')",0.7354674,0.5955232,1.1944366,0.9783008,0.9202097,0.7514399,0.1687698
64,0.7766028,0.63266623,"('shy', 'confident')",0.41393498,0.2439745,-6.4595785,-6.473578,-1.7563469,-1.8656457,0.1092988
83,0.75823015,0.75112355,"('powerless', 'powerful')",-0.0022989288,0.057007276,-0.84999967,-0.7549732,-0.0313562,0.0177192,-0.0490754
6,-0.7065487,-0.9258146,"('distant', 'open')",-0.39576644,-0.5110236,0.78390384,0.6066276,-0.1061371,-0.2767369,0.1705998
10,-0.7023382,-0.69116354,"('unsympathetic', 'sympathetic')",-0.53031546,-0.57402873,-0.5226785,-0.42175254,-0.5851107,-0.5623149,-0.0227958
59,0.6587499,0.3779828,"('foolish', 'wise')",0.25033724,0.019369971,0.85015726,0.7300996,0.5864148,0.3758175,0.2105973
55,-0.65073717,-0.652236,"('incompetent', 'clever')",-0.36875698,-0.4130213,-0.43347216,-0.38903534,-0.4843221,-0.4847642,0.0004421
36,-0.6344445,-0.7469721,"('hostile', 'amicable')",-0.2633791,-0.3788933,0.5181252,0.30990922,-0.1265661,-0.2719854,0.1454193
87,0.6304751,0.9835829,"('unsuccessful', 'successful')",1.1061811,1.4340342,0.71220994,1.2184215,0.8162887,1.2120128,-0.3957241
62,0.6016773,0.8750077,"('incompetent', 'brilliant')",0.7188411,1.055649,-0.01982976,0.30398494,0.4335629,0.7448805,-0.3113176
25,-0.5909888,-0.9612164,"('egoistic', 'altruistic')",0.37727225,0.32092178,1.7495571,1.5191333,0.5119468,0.2929462,0.2190006
79,-0.58121747,-0.44794422,"('wavering', 'unwavering')",-0.9002647,-0.66921717,0.11358951,0.42016417,-0.4559642,-0.2323324,-0.2236318
71,0.5787746,0.5924329,"('diffident', 'self-confident')",0.80243343,0.8243544,0.52331513,0.57786995,0.634841,0.6648858,-0.0300448
