,express_male,express_female,tuple,scripts_male,scripts_female,holding_male,holding_female,co_male,co_female,average_male,average_female,male-female
85,-2.6270719,-1.9291103,"('insignificant', 'prestigious')",-1.7875179,-3.6797922,0.14771366,-0.08531305,-0.05159761,-0.35004488,-1.0796185,-1.511065,0.4314465
31,-2.308056,-1.9482473,"('evil', 'good')",-1.5412732,-2.9954095,-1.1373388,-1.028067,-0.4182121,-0.746048,-1.35122,-1.679443,0.328223
16,-2.2320862,-1.9971267,"('unpopular', 'popular')",-1.5802054,-2.157891,-1.4762559,-1.6507833,0.10729747,-0.083866365,-1.2953125,-1.472417,0.1771045
60,2.201241,1.5559071,"('inefficient', 'efficient')",2.2981145,3.8959193,0.88801944,0.6263021,-0.4550799,-0.34886873,1.2330737,1.432315,-0.1992413
52,-2.1882758,-1.5229986,"('irrational', 'rational')",-0.33493122,-1.5444844,-0.61067814,-0.5994309,-0.4488065,-0.6985806,-0.8956729,-1.0913737,0.1957008
56,2.0663078,1.6708198,"('impractical', 'practical')",2.0856838,2.991843,1.017899,0.87950796,-0.84068483,-0.73564816,1.0823015,1.2016306,-0.1193291
59,-2.0524747,-1.976643,"('foolish', 'wise')",-1.0764748,-2.4124446,-0.5228854,-0.73196894,-0.11389408,-0.34423462,-0.9414322,-1.3663228,0.4248906
62,1.9697132,1.2582681,"('incompetent', 'brilliant')",2.2165594,3.2534301,1.1569556,1.0286766,-0.20626901,-0.040391732,1.2842399,1.3749957,-0.0907558
46,1.8349144,1.1639949,"('uncompetitive', 'competitive')",0.9147437,2.5109568,0.72296035,0.73806924,-0.3243689,-0.05291261,0.7870624,1.090027,-0.3029646
70,1.8190124,1.2472885,"('lethargic', 'energetic')",0.8931865,2.100342,0.7441036,0.7478465,0.49548936,0.6455226,0.987948,1.1852499,-0.1973019
45,1.8002673,1.1183208,"('incompetent', 'competent')",1.8777624,2.83696,1.7325342,1.6431866,0.18685666,0.45128644,1.3993552,1.5124384,-0.1130832
35,-1.7423791,-1.1266048,"('corrupt', 'incorrupt')",-1.7351357,-3.115945,-1.3215294,-1.4072181,-0.33291954,-0.5284099,-1.2829909,-1.5445445,0.2615536
57,1.6272749,1.1851418,"('unimaginative', 'imaginative')",2.0950608,2.2880857,0.9256924,0.9094125,-2.8052788,-2.4449952,0.4606874,0.4844112,-0.0237238
50,-1.5788425,-1.4454355,"('clumsy', 'skillful')",-1.6950186,-1.5211173,-0.7595949,-0.78179055,-0.49096,-0.72878325,-1.131104,-1.1192816,-0.0118224
13,1.5607417,1.5751555,"('impolite', 'polite')",1.0545032,2.0539234,0.08362453,0.111131385,-0.2762901,-0.03286112,0.6056448,0.9268373,-0.3211925
22,1.4792523,0.94259083,"('untrustworthy', 'trustworthy')",1.5435932,1.7804803,0.6907727,0.5274431,-0.60492194,-0.47249594,0.7771741,0.6945046,0.0826695
81,1.4775019,1.4497123,"('submissive', 'aggressive')",1.4734756,3.3749871,0.8786377,1.3509777,-0.5886249,-0.11094559,0.8102475,1.5161829,-0.7059354
69,-1.4457341,-0.9008511,"('lazy', 'industrious')",-1.086613,-1.8605866,-0.44295365,-0.47890234,-0.9233323,-0.9446001,-0.9746583,-1.0462351,0.0715768
24,1.4367274,1.3345273,"('dishonest', 'honest')",0.8676562,0.8938169,-0.40692228,-0.3301214,0.7645976,0.76020664,0.6655147,0.6646073,0.0009074
55,1.4021701,0.723641,"('incompetent', 'clever')",1.6655524,3.1280587,0.71639085,0.7998972,0.0011378936,0.2400206,0.9463128,1.2229044,-0.2765916
15,1.3807648,1.6750134,"('boring', 'funny')",2.1931024,1.5289726,0.4545744,0.46748507,0.43561572,0.5550863,1.1160144,1.0566393,0.0593751
14,1.3180801,0.9541285,"('antisocial', 'social')",1.79056,3.1331604,2.3901792,2.639238,0.08500818,0.3329991,1.3959569,1.7648816,-0.3689247
80,1.3092291,0.6758514,"('dominated', 'dominating')",0.9751753,2.3625689,1.2747731,1.0593354,-0.7134167,-0.44357935,0.7114402,0.913544,-0.2021038
26,1.2754287,1.453178,"('hardhearted', 'benevolent')",0.9435061,0.6509334,2.9233773,3.1786344,1.8792596,2.0162055,1.7553929,1.8247378,-0.0693449
39,1.1971816,0.99092686,"('exploitative', 'cooperative')",0.56228834,0.9129333,0.25697207,0.20795465,0.6384865,0.65878326,0.6637322,0.6926495,-0.0289173
30,1.1964486,1.217492,"('intolerant', 'tolerant')",1.2400707,2.0577712,0.30356944,0.7481464,0.28057632,0.51966214,0.7551662,1.1357679,-0.3806017
76,1.1697617,1.1322782,"('anxious', 'daring')",1.2675328,2.4543421,0.3683521,0.5631041,-0.12716952,0.046355482,0.6696193,1.0490199,-0.3794006
86,1.1566046,0.8982072,"('uninfluential', 'influential')",1.1408045,1.9271964,0.20922495,0.45772472,-0.5022888,-0.20773673,0.5010863,0.7688479,-0.2677616
72,1.1215602,0.6867022,"('unambitious', 'ambitious')",0.4351407,0.5011051,0.34923074,0.14702281,-0.38441524,-0.29707327,0.3803791,0.2594392,0.1209399
68,-1.1195512,-1.3681719,"('dependent', 'independent')",-1.2052004,-1.1222829,-1.8769209,-1.9164627,-1.7505418,-1.8413148,-1.4880536,-1.5620581,0.0740045
6,-1.089588,-0.5179701,"('distant', 'open')",-1.2688137,-2.777389,-0.7770746,-0.97024,0.08196509,-0.27312014,-0.7633778,-1.1346798,0.371302
23,1.0864323,0.7842078,"('insincere', 'sincere')",1.6566997,2.266038,0.1780921,-0.152127,5.8737097,5.5474253,2.1987333,2.1113861,0.0873472
