,marriott_male,marriott_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
26,3.4551175,3.1996942,"('hardhearted', 'benevolent')",1.6227292,1.4023876,1.8881816,1.6337016,2.3220094,2.0785945,0.2434149
81,-3.3936985,-3.5463161,"('submissive', 'aggressive')",-0.19746308,-0.0033393353,-1.5138994,-1.2371157,-1.701687,-1.5955904,-0.1060966
1,3.0210907,2.9500597,"('unfriendly', 'friendly')",0.7401387,0.47936237,2.2779717,1.9090743,2.0130671,1.7794987,0.2335684
85,2.9956,2.956243,"('insignificant', 'prestigious')",0.33125955,0.18982404,1.161533,0.7972185,1.4961308,1.3144286,0.1817022
80,-2.7599008,-2.8560297,"('dominated', 'dominating')",-0.020670116,-0.088890545,-1.559065,-1.5476103,-1.4465453,-1.4975103,0.050965
71,2.6498694,2.7129807,"('diffident', 'self-confident')",1.1943591,1.1224549,1.1028643,0.99785376,1.649031,1.6110964,0.0379346
45,-2.4844642,-2.387824,"('incompetent', 'competent')",-0.3961402,-0.28326485,-0.79395616,-0.6848499,-1.2248535,-1.1186463,-0.1062072
36,2.4496977,2.492882,"('hostile', 'amicable')",1.032235,0.9456064,1.0331888,0.7581329,1.5050405,1.3988738,0.1061667
62,-2.4044566,-2.3031602,"('incompetent', 'brilliant')",-0.076063946,0.255895,-0.56816554,-0.17473596,-1.0162287,-0.7406671,-0.2755616
44,-2.3607354,-2.4277751,"('prejudiced', 'unprejudiced')",0.16775432,0.23384616,-1.379274,-1.2091674,-1.1907517,-1.1343654,-0.0563863
21,-2.3142636,-2.403393,"('immoral', 'moral')",0.1265524,0.12791952,-1.0515584,-1.0279524,-1.0797566,-1.101142,0.0213854
6,2.255201,2.3878675,"('distant', 'open')",0.040405348,0.055299953,0.990341,0.8645453,1.0953158,1.1025709,-0.0072551
60,-2.187703,-2.1760473,"('inefficient', 'efficient')",-0.0009638332,0.12708344,-0.637634,-0.25665542,-0.9421003,-0.7685397,-0.1735606
46,-2.1664522,-2.1444325,"('uncompetitive', 'competitive')",0.3004135,0.36508805,-0.6714482,-0.4190614,-0.8458289,-0.732802,-0.1130269
11,-2.115278,-2.0476427,"('unhelpful', 'helpful')",-0.13338971,-0.11664701,1.2253522,1.3217682,-0.3411052,-0.2808405,-0.0602647
64,-2.0525799,-2.15018,"('shy', 'confident')",0.21313119,0.37174612,-6.241778,-6.046208,-2.6937421,-2.6082141,-0.085528
55,-1.9889487,-2.1107574,"('incompetent', 'clever')",-0.5918691,-0.6553841,-0.36852372,-0.30113798,-0.9831138,-1.0224264,0.0393126
59,1.9816514,2.0487134,"('foolish', 'wise')",0.67111593,0.70039076,0.8291432,0.6857599,1.1606369,1.1449547,0.0156822
3,-1.9404178,-1.7611803,"('repellent', 'pleasant')",-0.23405026,-0.27225715,-0.0063372515,0.15175104,-0.7269351,-0.6272288,-0.0997063
69,1.921249,1.9493062,"('lazy', 'industrious')",1.8559116,1.892825,-0.1651718,-0.20609978,1.2039963,1.2120105,-0.0080142
5,1.8995291,2.0489495,"('distant', 'outgoing')",-0.0932249,-0.00344792,0.15691595,0.12489186,0.6544067,0.7234644,-0.0690577
77,-1.8859406,-1.9406072,"('unmotivated', 'motivated')",-0.54179376,-0.51233935,-1.2191198,-1.1016881,-1.2156181,-1.1848783,-0.0307398
10,-1.8586051,-1.9233669,"('unsympathetic', 'sympathetic')",-0.9152778,-0.9337745,-0.5416436,-0.41789392,-1.1051755,-1.0916785,-0.013497
18,1.8518153,1.6920129,"('disagreeable', 'welcoming')",1.5438277,1.4735119,0.31017327,0.18884206,1.2352721,1.1181223,0.1171498
33,1.6812423,1.6511583,"('wrong', 'right')",1.0142094,0.92592007,0.004271902,-0.20699072,0.8999079,0.7900292,0.1098787
9,1.6807741,1.6581676,"('unaffectionate', 'caring')",0.29167783,0.22313243,1.4704453,1.2745411,1.1476324,1.051947,0.0956854
