,rockwell_male,rockwell_female,tuple,collins_male,collins_female,inc_male,inc_female,average_male,average_female,male-female
1,2.0684803,1.4183252,"('unfriendly', 'friendly')",1.908876,1.0509458,1.3035123,0.6754451,1.7602895,1.0482387,0.7120508
71,2.0294383,1.8175722,"('diffident', 'self-confident')",2.3040397,1.9945289,0.47896367,0.16471334,1.6041473,1.3256048,0.2785425
3,-1.8165865,-1.3032864,"('repellent', 'pleasant')",-0.722748,-0.09127616,0.24995339,0.3690121,-0.763127,-0.3418502,-0.4212768
69,1.7585409,1.1697286,"('lazy', 'industrious')",1.6917043,1.1484455,-0.69125605,-0.9458494,0.919663,0.4574416,0.4622214
81,-1.7036977,-1.3090125,"('submissive', 'aggressive')",-0.6459069,-0.16336116,-0.2873513,-0.067470826,-0.8789853,-0.5132815,-0.3657038
33,1.5050359,1.2001634,"('wrong', 'right')",0.9391135,0.5253077,-1.2531595,-1.5707134,0.3969967,0.0515859,0.3454108
26,1.4663043,0.75135267,"('hardhearted', 'benevolent')",1.8062105,1.1917411,1.4113023,1.0295507,1.5612723,0.9908814,0.5703909
10,-1.4376166,-1.2293229,"('unsympathetic', 'sympathetic')",-0.63262236,-0.25305647,0.31668264,0.62274176,-0.5845188,-0.2865459,-0.2979729
70,-1.4259897,-0.7571414,"('lethargic', 'energetic')",-0.771564,-0.21801557,1.0441307,1.5455394,-0.3844743,0.1901275,-0.5746018
77,-1.3852615,-1.2586557,"('unmotivated', 'motivated')",-0.1875888,0.439426,-0.64350545,-0.4226032,-0.7387853,-0.4139443,-0.324841
9,1.3571844,0.9249584,"('unaffectionate', 'caring')",0.99229497,0.28837132,0.41021568,0.00024200976,0.9198984,0.4045239,0.5153745
36,1.3231889,0.2518015,"('hostile', 'amicable')",1.050182,0.1593917,-0.12078897,-0.62931716,0.7508606,-0.072708,0.8235686
57,-1.2481402,-1.1014462,"('unimaginative', 'imaginative')",-0.7114521,-0.42552412,-1.415395,-1.7859211,-1.1249958,-1.1042972,-0.0206986
53,1.1958679,1.1957437,"('uncreative', 'creative')",0.23826909,0.23023199,1.2991546,1.1806988,0.9110972,0.8688915,0.0422057
17,-1.1234767,-1.0776956,"('nasty', 'nice')",0.7305514,0.6878134,-0.79548657,-0.93040353,-0.3961373,-0.4400953,0.043958
25,1.1222718,0.80658126,"('egoistic', 'altruistic')",0.7920251,0.29285255,0.9211286,0.7070274,0.9451418,0.6021537,0.3429881
85,1.0878278,0.4389076,"('insignificant', 'prestigious')",0.9096602,0.3699739,-0.10904681,-0.54815394,0.6294804,0.0869092,0.5425712
58,1.0776508,0.9414415,"('undiscriminating', 'discriminating')",1.3324248,1.2300885,0.57118374,0.3960925,0.9937531,0.8558741,0.137879
