,ciena_male,ciena_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.7786641,-1.5428932,"('unfriendly', 'friendly')",0.71850073,0.36964288,-0.5300817,-0.5866252,0.0565435
31,-1.5644873,-1.4217957,"('evil', 'good')",-1.4399587,-1.6639715,-1.502223,-1.5428836,0.0406606
86,-1.5535855,-1.3571975,"('uninfluential', 'influential')",-0.5534742,-0.5728399,-1.0535299,-0.9650187,-0.0885112
79,-1.5058588,-1.1562302,"('wavering', 'unwavering')",-0.7346585,-0.5914025,-1.1202586,-0.8738164,-0.2464422
53,-1.4954529,-1.1116095,"('uncreative', 'creative')",0.3702604,0.2309912,-0.5625963,-0.4403091,-0.1222872
57,-1.4775068,-1.2288756,"('unimaginative', 'imaginative')",-3.2854822,-3.2809517,-2.3814945,-2.2549138,-0.1265807
6,-1.4202826,-1.1098822,"('distant', 'open')",-1.0785102,-1.2550787,-1.2493963,-1.1824805,-0.0669158
5,-1.393749,-0.94495517,"('distant', 'outgoing')",-0.85320413,-0.98499656,-1.1234765,-0.9649758,-0.1585007
19,-1.378685,-1.1925282,"('inhospitable', 'hospitable')",-0.7671919,-0.6069946,-1.0729384,-0.8997614,-0.173177
8,-1.2741832,-1.1785306,"('unaffectionate', 'affectionate')",-0.20765866,-0.41286984,-0.7409209,-0.7957002,0.0547793
2,1.2029347,1.5168831,"('unlikable', 'likable')",0.52206683,0.6163965,0.8625008,1.0666398,-0.204139
10,-1.1936921,-1.0366322,"('unsympathetic', 'sympathetic')",-0.20419452,-0.07367092,-0.6989433,-0.5551516,-0.1437917
9,-1.1657984,-0.9089177,"('unaffectionate', 'caring')",0.63095766,0.4764723,-0.2674204,-0.2162227,-0.0511977
62,1.1634215,1.5198933,"('incompetent', 'brilliant')",1.1909459,1.3031616,1.1771836,1.4115274,-0.2343438
39,0.9297257,0.29201308,"('exploitative', 'cooperative')",0.028977798,-0.031424202,0.4793518,0.1302944,0.3490574
38,-0.8961321,-0.37147444,"('untruthful', 'truthful')",0.11980122,0.42502648,-0.3881654,0.026776,-0.4149414
60,0.8684803,0.8165551,"('inefficient', 'efficient')",0.91726714,0.8758576,0.8928738,0.8462063,0.0466675
76,0.8669505,1.204229,"('anxious', 'daring')",0.17753232,0.4368775,0.5222414,0.8205532,-0.2983118
36,-0.8594737,-0.76025045,"('hostile', 'amicable')",-0.83127487,-1.065991,-0.8453743,-0.9131207,0.0677464
84,0.83417237,0.74330944,"('inferior', 'superior')",1.0617305,0.978053,0.9479514,0.8606812,0.0872702
78,-0.824977,-0.6624816,"('nonresilient', 'resilient')",0.14239888,0.26094976,-0.341289,-0.2007659,-0.1405231
14,0.8084224,0.6301573,"('antisocial', 'social')",0.24411589,0.14463022,0.5262691,0.3873938,0.1388753
54,-0.78843945,-0.32360327,"('incapable', 'capable')",0.5881497,0.7895509,-0.1001449,0.2329738,-0.3331187
42,0.77371687,1.071436,"('unreliable', 'reliable')",-3.2530026,-3.0502715,-1.2396429,-0.9894177,-0.2502252
65,0.77289826,0.5931105,"('insecure', 'secure')",0.26475385,0.28017417,0.5188261,0.4366423,0.0821838
63,-0.7496291,-0.5324906,"('unperceptive', 'insightful')",0.57509506,0.7061707,-0.087267,0.08684,-0.174107
12,-0.72923386,-0.42805928,"('unsupportive', 'supportive')",-2.111924,-2.0054867,-1.420579,-1.216773,-0.203806
23,-0.7241859,-0.6333466,"('insincere', 'sincere')",6.186047,6.0374794,2.7309306,2.7020664,0.0288642
45,-0.7034534,-0.72009176,"('incompetent', 'competent')",0.022080276,-0.123688474,-0.3406866,-0.4218901,0.0812035
88,-0.6820549,-0.48547095,"('low', 'eminent')",-0.43044227,-0.35135478,-0.5562485,-0.4184129,-0.1378356
7,-0.6779126,-0.644452,"('insensitive', 'sensitive')",0.26265,0.19752383,-0.2076313,-0.2234641,0.0158328
28,-0.6693475,-0.609939,"('disloyal', 'loyal')",0.8696142,0.7851872,0.1001333,0.0876241,0.0125092
24,-0.6629611,-0.6846636,"('dishonest', 'honest')",0.7643651,0.706856,0.050702,0.0110962,0.0396058
35,-0.6428516,-0.76623285,"('corrupt', 'incorrupt')",-0.9761945,-0.98257434,-0.809523,-0.8744036,0.0648806
66,-0.62665004,-0.55924636,"('inactive', 'active')",-0.1683915,-0.0020338967,-0.3975208,-0.2806401,-0.1168807
49,0.54210085,0.6120948,"('unable', 'able')",0.010002494,0.160979,0.2760517,0.3865369,-0.1104852
0,-0.52116734,-0.69824755,"('unsociable', 'sociable')",-0.09352055,-0.3607041,-0.307344,-0.5294758,0.2221318
44,0.5186948,0.2477346,"('prejudiced', 'unprejudiced')",-1.5354491,-1.4488771,-0.5083772,-0.6005713,0.0921941
70,-0.50285196,-0.16500948,"('lethargic', 'energetic')",0.20537037,0.4102474,-0.1487408,0.122619,-0.2713598
73,0.49638093,0.62283844,"('helpless', 'self-reliant')",-3.4154608,-3.4077172,-1.4595399,-1.3924394,-0.0671005
67,0.4687063,0.47149527,"('doubtful', 'determined')",-0.43142036,-0.35070065,0.018643,0.0603973,-0.0417543
11,-0.43363124,-0.29258737,"('unhelpful', 'helpful')",2.154838,2.1923308,0.8606035,0.9498717,-0.0892682
61,-0.41591832,-0.34308755,"('illogical', 'logical')",0.45631862,0.44826418,0.0202001,0.0525883,-0.0323882
69,0.4150241,-0.0029287525,"('lazy', 'industrious')",-1.0018761,-1.0051918,-0.293426,-0.5040603,0.2106343
13,-0.413923,-0.2728113,"('impolite', 'polite')",-0.15857142,-0.13515717,-0.2862472,-0.2039842,-0.082263
30,0.41342658,0.6265947,"('intolerant', 'tolerant')",1.2954942,1.3046542,0.8544604,0.9656245,-0.1111641
25,-0.41162616,-0.3444609,"('egoistic', 'altruistic')",0.5750686,0.44955513,0.0817212,0.0525471,0.0291741
46,-0.40390146,-0.45517027,"('uncompetitive', 'competitive')",-0.48319042,-0.33006024,-0.4435459,-0.3926153,-0.0509306
71,-0.39189574,-0.29277888,"('diffident', 'self-confident')",-0.087802924,-0.0873189,-0.2398493,-0.1900489,-0.0498004
48,0.3918193,0.083899274,"('unintelligent', 'intelligent')",1.2303264,1.1861764,0.8110728,0.6350378,0.176035
43,-0.39156395,-0.29232022,"('irresponsible', 'responsible')",0.5255311,0.46317476,0.0669836,0.0854273,-0.0184437
37,-0.3882476,-0.43823272,"('fake', 'genuine')",-0.1346854,-0.23534817,-0.2614665,-0.3367904,0.0753239
75,0.35098532,0.7224709,"('meek', 'impulsive')",-0.84409714,-0.7174847,-0.2465559,0.0024931,-0.249049
74,-0.34630638,-0.029413754,"('undedicated', 'dedicated')",-0.74524736,-0.52836895,-0.5457768,-0.2788914,-0.2668854
4,-0.34011304,-0.13643268,"('disliked', 'liked')",-7.2432356,-7.1118393,-3.7916744,-3.624136,-0.1675384
77,-0.33022833,-0.28988943,"('unmotivated', 'motivated')",-0.5239413,-0.43450856,-0.4270848,-0.362199,-0.0648858
72,0.31414768,0.552435,"('unambitious', 'ambitious')",-0.2824848,-0.18785194,0.0158314,0.1822915,-0.1664601
51,-0.30637532,-0.040084995,"('uneducated', 'educated')",0.4599833,0.5815067,0.076804,0.2707109,-0.1939069
64,-0.30504817,-0.23257299,"('shy', 'confident')",-6.0664682,-5.9310994,-3.1857581,-3.0818362,-0.1039219
20,0.29283208,0.33288425,"('rough', 'thoughtful')",0.63111806,0.5637087,0.4619751,0.4482965,0.0136786
55,0.2856873,0.3872014,"('incompetent', 'clever')",0.6379155,0.59573483,0.4618014,0.4914681,-0.0296667
59,0.27935436,0.29748085,"('foolish', 'wise')",-0.22915314,-0.22418106,0.0251006,0.0366499,-0.0115493
58,0.27253532,0.4724064,"('undiscriminating', 'discriminating')",0.28318164,0.23105371,0.2778585,0.35173,-0.0738715
3,-0.26174185,-0.34840062,"('repellent', 'pleasant')",1.1255383,1.0759994,0.4318982,0.3637994,0.0680988
82,-0.25722665,-0.13729726,"('poor', 'rich')",6.5609884,6.6242733,3.151881,3.2434881,-0.0916071
47,-0.23509793,0.013655746,"('stupid', 'smart')",5.5383053,5.4914246,2.6516037,2.7525401,-0.1009364
41,-0.222303,-0.23662804,"('unforgiving', 'forgiving')",-0.24866787,-0.4794501,-0.2354854,-0.3580391,0.1225537
83,0.22203852,0.39284816,"('powerless', 'powerful')",-0.74882877,-0.80232066,-0.2633951,-0.2047362,-0.0586589
22,-0.20815729,-0.031111449,"('untrustworthy', 'trustworthy')",-1.0632731,-1.1702561,-0.6357152,-0.6006838,-0.0350314
80,0.1879425,0.14444503,"('dominated', 'dominating')",-0.6827566,-0.52005005,-0.247407,-0.1878025,-0.0596045
52,0.16132861,0.024930138,"('irrational', 'rational')",-0.39646828,-0.61775076,-0.1175698,-0.2964103,0.1788405
50,0.15468067,0.21765271,"('clumsy', 'skillful')",-0.2987391,-0.17574501,-0.0720292,0.0209538,-0.092983
27,-0.1546445,-0.15224034,"('hardhearted', 'softhearted')",0.783423,0.58811134,0.3143893,0.2179355,0.0964538
34,0.15276174,-0.01730503,"('mean', 'honorable')",5.9230313,5.952147,3.0378966,2.9674211,0.0704755
17,-0.14116213,0.04240941,"('nasty', 'nice')",-0.6402223,-0.4937357,-0.3906922,-0.2256631,-0.1650291
81,0.11516053,0.20635614,"('submissive', 'aggressive')",0.076138794,0.31301576,0.0956497,0.2596859,-0.1640362
68,-0.10305316,-0.12813015,"('dependent', 'independent')",-0.24641114,-0.15186022,-0.1747321,-0.1399952,-0.0347369
56,0.09574673,0.114571065,"('impractical', 'practical')",0.19207984,0.20044217,0.1439133,0.1575066,-0.0135933
