,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,male-female
85,-2.0195165,-1.0654112,"('insignificant', 'prestigious')",1.7669125,2.1484995,2.2004938,2.5162613,0.8087579,1.0790893,0.64509183,0.8153493,0.6803479,1.0987576,-0.4184097
80,1.7669084,1.0661001,"('dominated', 'dominating')",-0.4282416,-0.7736881,-1.0703276,-1.4541647,-0.37881356,-0.6448554,-1.427619,-1.5626909,-0.3076187,-0.6738598,0.3662411
8,-1.7145872,-1.2307882,"('unaffectionate', 'affectionate')",-1.040908,-0.81553286,0.37207755,0.589075,0.6187937,0.7327922,0.41433248,0.5924481,-0.2700583,-0.0264012,-0.2436571
79,-1.671328,-1.1283115,"('wavering', 'unwavering')",2.5310886,2.693936,0.67888516,0.8397083,-0.35903296,-0.26947048,0.00843497,0.08495776,0.2376096,0.4441641,-0.2065545
16,-1.6581824,-1.3812793,"('unpopular', 'popular')",0.25774062,0.2363681,-0.08374495,-0.1472775,-0.5708322,-0.599872,0.35189673,0.21643093,-0.3406244,-0.335126,-0.0054984
4,-1.566071,-1.1315857,"('disliked', 'liked')",1.0356358,1.2799392,0.21638018,0.2824488,-1.3687979,-1.2417754,-6.474959,-6.489922,-1.6315624,-1.460179,-0.1713834
31,-1.4328184,-0.5899836,"('evil', 'good')",1.751521,2.2795181,0.7546877,1.2232296,-0.73261523,-0.3715586,-1.3649225,-1.1964577,-0.2048295,0.2689495,-0.473779
37,1.4325817,1.0516981,"('fake', 'genuine')",0.53994805,0.3782649,0.5315517,0.5699522,-0.20416594,-0.2082621,0.19584489,0.28733805,0.499152,0.4157982,0.0833538
50,-1.391018,-1.037523,"('clumsy', 'skillful')",1.350186,1.3988078,-0.2049585,-0.26648545,-0.7598137,-0.76402336,0.29255438,0.30783662,-0.14261,-0.0722775,-0.0703325
18,-1.3768779,-1.2447276,"('disagreeable', 'welcoming')",0.8405639,0.824166,-0.7846098,-0.8138206,-0.32766396,-0.48597348,-0.47110584,-0.4526327,-0.4239387,-0.4345977,0.010659
28,-1.2132192,-1.3015158,"('disloyal', 'loyal')",-1.462595,-1.5883651,-1.226508,-1.1355251,0.08526184,0.25011516,0.7813284,0.76802397,-0.6071464,-0.6014534,-0.005693
10,-1.1341617,-1.8286127,"('unsympathetic', 'sympathetic')",-3.361638,-3.8175356,-3.0383825,-3.2486875,-0.4942392,-0.6418603,-0.37694106,-0.43893763,-1.6810724,-1.9951265,0.3140541
52,-1.133023,-0.48584038,"('irrational', 'rational')",0.7071469,1.0805749,1.3991656,1.5856544,-0.048851747,0.054160416,0.1726882,0.20628738,0.2194252,0.4881673,-0.2687421
74,1.1254233,0.81199926,"('undedicated', 'dedicated')",-0.099991046,-0.2448089,-0.82122993,-0.87872493,0.12050037,0.022492189,0.2535592,0.28266817,0.1156524,-0.0012748,0.1169272
59,-1.0505701,-0.34848958,"('foolish', 'wise')",1.3376021,1.4813122,1.2730273,1.2979008,0.16528253,0.26267442,0.3965115,0.4051237,0.4243707,0.6197042,-0.1953335
38,-1.0353703,-1.0081769,"('untruthful', 'truthful')",-1.3413489,-1.4154323,-0.7648968,-0.83849853,-0.16387802,-0.21050039,-0.17427897,-0.16938579,-0.6959546,-0.7283988,0.0324442
41,-1.0316263,-1.032902,"('unforgiving', 'forgiving')",-1.592359,-1.5690949,-1.5378177,-1.5255711,0.13863516,0.019773278,-0.11085799,-0.17141971,-0.8268052,-0.8558429,0.0290377
58,-0.9992273,-1.1056538,"('undiscriminating', 'discriminating')",-1.1144066,-1.12971,-1.0911255,-1.1870923,0.33302677,0.33850002,0.29058102,0.35653818,-0.5162303,-0.5454836,0.0292533
