,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,2.78776,2.8835986,"('unsupportive', 'supportive')",0.009889238,0.07572307,-1.9803709,-2.0836976,0.2724261,0.2918747,-0.0194486
39,2.7227976,2.4390373,"('exploitative', 'cooperative')",0.68307745,0.61956525,0.33039767,0.37304023,1.2454243,1.1438809,0.1015434
9,2.680679,2.874326,"('unaffectionate', 'caring')",0.3376464,0.25328875,0.91718936,1.0482471,1.3118383,1.3919539,-0.0801156
74,2.0379713,1.9967079,"('undedicated', 'dedicated')",0.6983538,0.6300549,-0.054436393,-0.13472608,0.8939629,0.8306789,0.063284
2,2.01517,1.7060443,"('unlikable', 'likable')",1.3248292,1.2836683,0.7710529,0.6399036,1.3703507,1.2098721,0.1604786
16,-1.7978373,-1.6495355,"('unpopular', 'popular')",0.12634097,0.22150043,0.058431298,0.23034632,-0.5376883,-0.3992296,-0.1384587
43,1.6503788,1.726474,"('irresponsible', 'responsible')",0.18413632,0.054590505,0.4942145,0.2130672,0.7762432,0.6647106,0.1115326
44,-1.647325,-1.2646149,"('prejudiced', 'unprejudiced')",0.29826725,0.43672818,-1.1701126,-1.0807186,-0.8397234,-0.6362018,-0.2035216
28,1.5924339,1.494052,"('disloyal', 'loyal')",-0.080370754,-0.24966347,1.1412812,1.1379104,0.8844481,0.7940996,0.0903485
8,1.5520281,1.6969844,"('unaffectionate', 'affectionate')",0.038186178,-0.08497465,0.29060268,0.42515093,0.626939,0.6790535,-0.0521145
26,1.46683,1.6056195,"('hardhearted', 'benevolent')",1.6574832,1.7625598,1.7022387,1.8945534,1.6088506,1.7542442,-0.1453936
71,1.4664208,1.6159817,"('diffident', 'self-confident')",0.7921426,0.9032172,0.049038567,0.3540766,0.7692007,0.9577585,-0.1885578
84,1.4184697,1.5545512,"('inferior', 'superior')",0.20454311,0.33335364,1.0100993,0.90622854,0.877704,0.9313778,-0.0536738
73,1.3448342,1.8745165,"('helpless', 'self-reliant')",0.66600513,0.8652346,-3.359136,-3.1519232,-0.4494322,-0.1373907,-0.3120415
33,1.3282689,1.3216152,"('wrong', 'right')",0.5558301,0.7293061,-0.9382268,-0.6750991,0.3152907,0.4586074,-0.1433167
7,1.286515,1.1267688,"('insensitive', 'sensitive')",-0.19216332,-0.06759013,0.55304253,0.6112345,0.5491314,0.5568044,-0.007673
85,1.272455,1.9026811,"('insignificant', 'prestigious')",-0.16237083,0.14831689,-0.49912232,-0.040531114,0.203654,0.6701556,-0.4665016
56,1.257756,1.0527315,"('impractical', 'practical')",0.680684,0.71179324,-0.40108746,-0.5713726,0.5124509,0.3977174,0.1147335
0,1.2112854,0.8310339,"('unsociable', 'sociable')",-0.1882734,-0.54816836,-0.11886038,-0.5235637,0.3013839,-0.0802327,0.3816166
38,1.2044019,1.3790934,"('untruthful', 'truthful')",-0.25851184,-0.3289882,-0.29155433,-0.31866986,0.2181119,0.2438118,-0.0256999
62,1.1862515,0.9492575,"('incompetent', 'brilliant')",0.24202621,0.23030418,0.5105941,0.35485923,0.6462906,0.5114736,0.134817
